Time(sec),A29R1LR84VSJU
197.0,14.280971738288795
198.0,14.859756097560957
199.0,15.438540456833124
200.0,16.017324816105287
201.0,16.59610917537745
202.0,17.174893534649616
203.0,17.753677893921783
204.0,18.332462253193945
205.0,18.91124661246611
206.0,19.49003097173827
207.0,20.068815331010434
208.0,20.6475996902826
209.0,21.226384049554763
210.0,21.805168408826926
211.0,22.383952768099093
212.0,22.962737127371255
213.0,23.541521486643422
214.0,24.120305845915585
215.0,24.699090205187748
216.0,25.277874564459914
217.0,25.856658923732073
218.0,26.43544328300424
219.0,27.014227642276403
220.0,27.593012001548566
221.0,28.171796360820736
222.0,28.7505807200929
223.0,29.32936507936506
224.0,29.908149438637224
225.0,30.486933797909387
226.0,31.06571815718155
227.0,31.64450251645372
228.0,32.22328687572588
229.0,32.802071234998046
230.0,33.38085559427021
231.0,33.95963995354238
232.0,34.53842431281454
233.0,35.117208672086704
234.0,35.69599303135887
235.0,36.27477739063103
236.0,36.85356174990319
237.0,37.432346109175356
238.0,38.01113046844752
239.0,38.58991482771968
240.0,39.16869918699185
241.0,39.747483546264014
242.0,40.32626790553618
243.0,40.90505226480834
244.0,41.4838366240805
245.0,42.06262098335267
246.0,42.641405342624836
247.0,43.220189701897
248.0,43.79897406116916
249.0,44.377758420441324
250.0,44.956542779713494
251.0,45.53532713898566
252.0,46.11411149825782
253.0,46.69289585752998
254.0,47.271680216802146
255.0,47.850464576074316
256.0,48.42924893534648
257.0,49.00803329461864
258.0,49.586817653890805
259.0,50.16560201316297
260.0,50.74438637243513
261.0,51.32317073170729
262.0,51.901955090979456
263.0,52.48073945025162
264.0,53.05952380952378
265.0,53.638308168795945
266.0,54.21709252806811
267.0,54.79587688734027
268.0,55.37466124661243
269.0,55.95344560588461
270.0,56.53222996515677
271.0,57.111014324428936
272.0,57.6897986837011
273.0,58.26858304297326
274.0,58.84736740224544
275.0,59.4261517615176
276.0,60.004936120789765
277.0,60.58372048006193
278.0,61.16250483933409
279.0,61.74128919860625
280.0,62.320073557878416
281.0,62.89885791715058
282.0,63.47764227642274
283.0,64.0564266356949
284.0,64.63521099496707
285.0,65.21399535423923
286.0,65.7927797135114
287.0,66.37156407278356
288.0,66.95034843205573
289.0,67.5291327913279
290.0,68.10791715060006
291.0,68.68670150987222
292.0,69.26548586914438
293.0,69.84427022841655
294.0,70.42305458768871
295.0,71.00183894696087
296.0,71.58062330623304
297.0,72.1594076655052
298.0,72.73819202477736
299.0,73.31697638404952
300.0,73.89576074332169
301.0,74.47454510259385
302.0,75.05332946186601
303.0,75.63211382113818
304.0,76.21089818041034
305.0,76.7896825396825
306.0,77.36846689895467
307.0,77.94725125822684
308.0,78.526035617499
309.0,79.10481997677117
