Time(sec),AJE5OG666CBAC
453.0,-99.82502831257078
454.0,-99.8272933182333
455.0,-99.82955832389581
456.0,-99.83182332955832
457.0,-99.83408833522084
458.0,-99.83635334088335
459.0,-99.83861834654587
460.0,-99.84088335220838
461.0,-99.84314835787089
462.0,-99.84541336353341
463.0,-99.84767836919592
464.0,-99.84994337485844
465.0,-99.85220838052095
466.0,-99.85447338618346
467.0,-99.85673839184598
468.0,-99.85900339750849
469.0,-99.86126840317101
470.0,-99.86353340883352
471.0,-99.86579841449603
472.0,-99.86806342015855
473.0,-99.87032842582106
474.0,-99.87259343148358
475.0,-99.87485843714609
476.0,-99.8771234428086
477.0,-99.87938844847113
478.0,-99.88165345413363
479.0,-99.88391845979615
480.0,-99.88618346545866
481.0,-99.88844847112118
482.0,-99.8907134767837
483.0,-99.89297848244621
484.0,-99.89524348810872
485.0,-99.89750849377124
486.0,-99.89977349943375
487.0,-99.90203850509627
488.0,-99.90430351075878
489.0,-99.90656851642129
490.0,-99.90883352208381
491.0,-99.91109852774632
492.0,-99.91336353340884
493.0,-99.91562853907135
494.0,-99.91789354473386
495.0,-99.92015855039638
496.0,-99.92242355605889
497.0,-99.92468856172141
498.0,-99.92695356738392
499.0,-99.92921857304643
500.0,-99.93148357870895
501.0,-99.93374858437146
502.0,-99.93601359003398
503.0,-99.93827859569649
504.0,-99.940543601359
505.0,-99.94280860702152
506.0,-99.94507361268403
507.0,-99.94733861834655
508.0,-99.94960362400906
509.0,-99.95186862967157
510.0,-99.95413363533409
511.0,-99.9563986409966
512.0,-99.95866364665912
513.0,-99.96092865232163
514.0,-99.96319365798414
515.0,-99.96545866364666
516.0,-99.96772366930917
517.0,-99.96998867497169
518.0,-99.9722536806342
519.0,-99.9745186862967
520.0,-99.97678369195924
521.0,-99.97904869762175
522.0,-99.98131370328426
523.0,-99.98357870894677
524.0,-99.98584371460929
525.0,-99.98810872027181
526.0,-99.99037372593432
527.0,-99.99263873159683
528.0,-99.99490373725935
529.0,-99.99716874292186
530.0,-99.9993657984145
531.0,-100.0
532.0,-100.0
533.0,-100.0
534.0,-100.0
535.0,-100.0
536.0,-100.0
537.0,-100.0
538.0,-100.0
539.0,-100.0
540.0,-99.29438775510204
541.0,-94.32653061224491
542.0,-93.20408163265307
543.0,-90.6975470957614
544.0,-99.0
545.0,-99.0
546.0,-99.0
547.0,-99.0
548.0,-99.0
549.0,-99.0
550.0,-99.0
551.0,-99.0
552.0,-99.0
553.0,-99.0
554.0,-99.0
555.0,-99.0
556.0,-99.0
557.0,-99.0
558.0,-99.0
559.0,-99.0
560.0,-99.0
561.0,-99.0
562.0,-99.0
563.0,-99.0
564.0,-99.0
565.0,-99.0
566.0,-99.0
567.0,-99.0
568.0,-99.0
569.0,-99.0
570.0,-99.0
571.0,-99.0
572.0,-99.0
573.0,-99.0
574.0,-99.0
575.0,-99.0
576.0,-99.0
577.0,-99.0
578.0,-99.0
579.0,-99.0
580.0,-99.0
581.0,-99.0
582.0,-99.0
583.0,-99.0
584.0,-99.0
585.0,-99.0
586.0,-99.0
587.0,-99.0
588.0,-99.0
589.0,-99.0
590.0,-99.0
591.0,-99.0
592.0,-99.0
593.0,-99.0
594.0,-99.0
595.0,-99.0
596.0,-99.0
597.0,-99.0
