Time(sec),A6PO7JT39QQGP
491.0,-42.67857142857143
492.0,-42.67857142857143
493.0,-42.67857142857143
494.0,-42.77455357142857
495.0,-43.59040178571429
496.0,-44.550223214285715
497.0,-45.510044642857146
498.0,-46.46986607142857
499.0,-47.4296875
500.0,-48.38950892857143
501.0,-49.34933035714286
502.0,-50.30915178571429
503.0,-51.26897321428572
504.0,-52.228794642857146
505.0,-53.18861607142858
506.0,-54.1484375
507.0,-55.10825892857143
508.0,-56.068080357142854
509.0,-57.02790178571429
510.0,-57.98772321428572
511.0,-58.947544642857146
512.0,-59.90736607142858
513.0,-60.8671875
514.0,-61.82700892857143
515.0,-62.78683035714287
516.0,-63.74665178571429
517.0,-64.70647321428572
518.0,-65.66629464285714
519.0,-66.62611607142858
520.0,-67.5859375
521.0,-68.54575892857143
522.0,-69.50558035714286
523.0,-70.46540178571429
524.0,-71.42522321428572
525.0,-72.38504464285714
526.0,-73.34486607142858
527.0,-74.3046875
528.0,-75.26450892857143
529.0,-76.22433035714286
530.0,-77.18415178571429
531.0,-78.14397321428572
532.0,-79.10379464285714
533.0,-80.06361607142858
534.0,-81.03303571428572
535.0,-82.60714285714286
536.0,-84.52678571428572
537.0,-86.44642857142858
538.0,-88.36607142857143
539.0,-90.28571428571429
540.0,-92.20535714285714
541.0,-94.125
542.0,-96.04464285714286
543.0,-97.96428571428572
544.0,-91.0469494047619
545.0,-67.79666666666667
546.0,-54.266666666666666
547.0,-53.5
548.0,-53.5
549.0,-53.5
550.0,-53.5
551.0,-53.5
552.0,-53.5
553.0,-53.5
554.0,-53.5
555.0,-53.5
556.0,-53.53888888888889
557.0,-57.84444444444445
558.0,-73.2031746031746
559.0,-94.22876984126984
560.0,-100.0
561.0,-100.0
562.0,-100.0
563.0,-100.0
564.0,-100.0
565.0,-100.0
566.0,-100.0
567.0,-100.0
568.0,-100.0
569.0,-100.0
570.0,-99.985
571.0,-99.7875
572.0,-99.5375
573.0,-99.2875
574.0,-98.10249999999999
575.0,-85.76666666666667
576.0,-71.0
577.0,-68.25
578.0,-68.25
579.0,-68.25
580.0,-68.25
581.0,-68.25
582.0,-68.25
583.0,-68.25
584.0,-68.25
585.0,-68.25
586.0,-67.505
587.0,-53.36333333333333
588.0,-37.61666666666667
589.0,-23.128571428571426
590.0,-5.675
591.0,-15.680000000000001
592.0,-16.0
593.0,-16.0
594.0,-16.0
595.0,-16.0
596.0,-16.0
