Time(sec),A3TDR6MXS6UO5
220.0,-18.89976871680657
221.0,-18.619708020264802
222.0,-18.339647323723035
223.0,-18.05958662718127
224.0,-17.779525930639505
225.0,-17.49946523409774
226.0,-17.219404537555974
227.0,-16.93934384101421
228.0,-16.659283144472443
229.0,-16.37922244793068
230.0,-16.099161751388912
231.0,-15.819101054847147
232.0,-15.53904035830538
233.0,-15.258979661763615
234.0,-14.978918965221851
235.0,-14.698858268680084
236.0,-14.418797572138317
237.0,-14.138736875596553
238.0,-13.858676179054788
239.0,-13.57861548251302
240.0,-13.298554785971257
241.0,-13.01849408942949
242.0,-12.738433392887725
243.0,-12.45837269634596
244.0,-12.178311999804194
245.0,-11.898251303262429
246.0,-11.618190606720663
247.0,-11.338129910178896
248.0,-11.05806921363713
249.0,-10.778008517095365
250.0,-10.4979478205536
251.0,-10.217887124011835
252.0,-9.937826427470068
253.0,-9.657765730928302
254.0,-9.377705034386539
255.0,-9.097644337844772
256.0,-8.817583641303006
257.0,-8.537522944761239
258.0,-8.257462248219475
259.0,-7.97740155167771
260.0,-7.697340855135944
261.0,-7.417280158594177
262.0,-7.137219462052412
263.0,-6.857158765510647
264.0,-6.577098068968882
265.0,-6.297037372427117
266.0,-6.01697667588535
267.0,-5.736915979343584
268.0,-5.456855282801818
269.0,-5.176794586260054
270.0,-4.896733889718287
271.0,-4.616673193176522
272.0,-4.336612496634755
273.0,-4.056551800092992
274.0,-3.7764911035512254
275.0,-3.49643040700946
276.0,-3.216369710467693
277.0,-2.9363090139259285
278.0,-2.6562483173841627
279.0,-2.376187620842397
280.0,-2.0961269243006315
281.0,-1.8160662277588657
282.0,-1.5360055312171
283.0,-1.2559448346753341
284.0,-0.9758841381335699
285.0,-0.6958234415918028
286.0,-0.4157627450500385
287.0,-0.1357020485082714
288.0,0.1443586480334929
289.0,0.42441934457526004
290.0,0.7044800411170243
291.0,0.98454073765879
292.0,1.2646014342005558
293.0,1.5446621307423214
294.0,1.8247228272840872
295.0,2.1047835238258528
296.0,2.3848442203676186
297.0,2.664904916909383
298.0,2.94496561345115
299.0,3.2250263099929155
300.0,3.5050870065346813
301.0,3.7851477030764458
302.0,4.0652083996182125
303.0,4.345269096159977
304.0,4.625329792701744
305.0,4.9053904892435085
306.0,5.185451185785274
307.0,5.46551188232704
308.0,5.745572578868807
309.0,6.025633275410572
310.0,6.305693971952337
311.0,6.585754668494102
312.0,6.865815365035867
313.0,7.145876061577634
314.0,7.4259367581194
315.0,7.705997454661166
316.0,7.98605815120293
317.0,8.266118847744696
318.0,8.546179544286462
319.0,8.826240240828229
320.0,9.106300937369992
321.0,9.386361633911758
322.0,9.666422330453525
323.0,9.94648302699529
324.0,10.226543723537056
325.0,10.506604420078821
326.0,10.786665116620586
327.0,11.066725813162353
328.0,11.346786509704119
329.0,11.626847206245884
330.0,11.90690790278765
331.0,12.186968599329415
332.0,12.467029295871182
333.0,12.747089992412945
334.0,13.027150688954714
335.0,13.307211385496476
336.0,13.587272082038243
337.0,13.86733277858001
338.0,14.147393475121774
339.0,14.427454171663538
340.0,14.707514868205305
341.0,14.987575564747072
342.0,15.267636261288837
343.0,15.5476969578306
344.0,15.827757654372368
345.0,16.107818350914137
346.0,16.3878790474559
347.0,16.667939743997664
348.0,16.94800044053943
349.0,17.2280611370812
350.0,17.50812183362296
351.0,17.788182530164725
352.0,18.068243226706493
353.0,18.34830392324826
354.0,18.628364619790023
355.0,18.90842531633179
356.0,19.188486012873557
357.0,19.46854670941532
358.0,19.748607405957085
359.0,20.02866810249885
360.0,20.30872879904062
361.0,20.588789495582382
362.0,20.86885019212415
363.0,21.148910888665917
364.0,21.428971585207684
365.0,21.709032281749444
366.0,21.98909297829121
367.0,22.269153674832978
368.0,22.54921437137474
369.0,22.829275067916505
370.0,23.109335764458272
371.0,23.38939646100004
372.0,23.669457157541807
373.0,23.94951785408357
374.0,24.229578550625337
375.0,24.509639247167105
376.0,24.789699943708868
377.0,25.06976064025063
