Time(sec),A1NRY8F9U4AYE
238.0,58.412280701754376
239.0,59.05555555555556
240.0,59.69883040935672
241.0,60.34210526315788
242.0,60.985380116959064
243.0,61.62865497076022
244.0,62.271929824561404
245.0,62.91520467836257
246.0,63.55847953216373
247.0,64.2017543859649
248.0,64.84502923976608
249.0,65.48830409356724
250.0,66.13157894736841
251.0,66.77485380116958
252.0,67.41812865497074
253.0,68.06140350877192
254.0,68.7046783625731
255.0,69.34795321637426
256.0,69.99122807017542
257.0,70.63450292397661
258.0,71.27777777777777
259.0,71.92105263157893
260.0,72.56432748538012
261.0,73.20760233918128
262.0,73.85087719298245
263.0,74.49415204678363
264.0,75.1374269005848
265.0,75.78070175438596
266.0,76.42397660818713
267.0,77.0672514619883
268.0,77.71052631578947
269.0,78.35380116959064
270.0,78.99707602339181
271.0,79.64035087719297
272.0,80.28362573099415
273.0,80.92690058479532
274.0,81.57017543859648
275.0,82.21345029239765
276.0,82.85672514619883
277.0,83.49999999999999
278.0,84.14327485380116
279.0,84.78654970760233
280.0,85.36549707602339
281.0,85.46198830409355
282.0,85.46198830409355
283.0,85.46198830409355
284.0,85.46198830409355
285.0,85.46198830409355
286.0,85.46198830409355
287.0,85.46198830409355
288.0,85.46198830409355
289.0,85.46198830409355
290.0,85.52631578947367
291.0,86.07309941520467
292.0,86.71637426900584
293.0,87.45614035087718
294.0,88.6783625730994
295.0,89.96491228070174
296.0,91.25146198830409
297.0,92.53801169590642
298.0,93.82456140350875
299.0,95.11111111111111
300.0,96.39766081871343
301.0,97.68421052631578
302.0,98.97076023391813
303.0,81.6906171679198
304.0,19.548333333333332
305.0,-44.70333333333333
306.0,-81.33333333333333
307.0,-81.33333333333333
308.0,-81.33333333333333
309.0,-81.33333333333333
310.0,-81.33333333333333
311.0,-81.33333333333333
312.0,-81.33333333333333
313.0,-81.33333333333333
314.0,-81.33333333333333
315.0,-81.33333333333333
316.0,-95.9
317.0,-99.96666666666667
318.0,-100.0
319.0,-100.0
320.0,-100.0
321.0,-100.0
322.0,-100.0
323.0,-100.0
324.0,-100.0
325.0,-100.0
326.0,-100.0
327.0,-100.0
328.0,-100.0
329.0,-100.0
330.0,-100.0
331.0,-100.0
332.0,-100.0
333.0,-100.0
334.0,-100.0
335.0,-100.0
336.0,-100.0
337.0,-100.0
338.0,-100.0
339.0,-100.0
340.0,-100.0
341.0,-100.0
342.0,-100.0
343.0,-100.0
344.0,-100.0
345.0,-100.0
346.0,-100.0
347.0,-100.0
348.0,-100.0
349.0,-100.0
350.0,-100.0
351.0,-100.0
352.0,-100.0
353.0,-100.0
354.0,-100.0
355.0,-100.0
356.0,-100.0
357.0,-100.0
358.0,-100.0
359.0,-100.0
360.0,-100.0
361.0,-100.0
362.0,-100.0
363.0,-100.0
364.0,-100.0
365.0,-100.0
366.0,-100.0
367.0,-100.0
368.0,-100.0
369.0,-100.0
370.0,-100.0
371.0,-100.0
372.0,-100.0
373.0,-100.0
374.0,-100.0
375.0,-100.0
376.0,-100.0
377.0,-100.0
378.0,-100.0
379.0,-100.0
380.0,-100.0
381.0,-100.0
382.0,-100.0
383.0,-100.0
384.0,-100.0
385.0,-100.0
386.0,-100.0
387.0,-100.0
388.0,-100.0
389.0,-100.0
390.0,-100.0
391.0,-100.0
