,A1NRY8F9U4AYE,A3TDR6MXS6UO5,A2YP8M9VHFXZV
6754,-100.0,-100.0,49.0
6764,-100.0,-100.0,49.5
6771,-100.0,-100.0,50.0
6784,-100.0,-100.0,50.5
6789,-100.0,-100.0,51.0
6804,-100.0,-100.0,51.5
6806,-100.0,-100.0,52.0
6812,-100.0,-100.0,53.0
6824,-100.0,-100.0,54.0
6830,-100.0,-100.0,55.0
6844,-100.0,-100.0,55.5
6848,-100.0,-100.0,56.0
6864,-100.0,-100.0,56.5
6866,-100.0,-100.0,57.0
6883,-100.0,-100.0,58.0
6884,-100.0,-100.0,58.5
6900,-100.0,-100.0,59.0
6905,-100.0,-100.0,59.5
6918,-100.0,-100.0,60.0
6925,-100.0,-100.0,60.5
6935,-100.0,-100.0,61.0
6945,-100.0,-100.0,61.5
6953,-100.0,-100.0,62.0
6965,-100.0,-100.0,63.0
6971,-100.0,-100.0,64.0
6985,-100.0,-100.0,65.0
7005,-100.0,-100.0,66.0
7011,-100.0,-100.0,67.0
7025,-100.0,-100.0,67.5
7030,-100.0,-100.0,68.0
7044,-100.0,-100.0,68.5
7047,-100.0,-100.0,69.0
7064,-100.0,-100.0,69.5
7065,-100.0,-100.0,70.0
7082,-100.0,-100.0,71.0
7100,-100.0,-100.0,72.0
7117,-100.0,-100.0,73.0
7134,-100.0,-100.0,75.0
7152,-100.0,-100.0,76.0
7187,-100.0,-100.0,78.0
7204,-100.0,-100.0,79.0
7222,-100.0,-100.0,80.0
7229,-100.0,-100.0,81.0
7264,-100.0,-100.0,84.0
7281,-100.0,-100.0,85.0
7299,-100.0,-100.0,86.0
7317,-100.0,-100.0,87.0
7334,-100.0,-100.0,88.0
7351,-100.0,-100.0,89.0
7369,-100.0,-100.0,90.0
7386,-100.0,-100.0,91.0
7404,-100.0,-100.0,92.0
7422,-100.0,-100.0,94.0
7431,-100.0,-100.0,95.0
7445,-100.0,-100.0,96.0
7480,-100.0,-100.0,98.0
7489,-100.0,-100.0,98.5
7499,-100.0,-100.0,99.0
7516,-100.0,-100.0,100.0
7517,-100.0,-100.0,100.0
7542,-100.0,-100.0,100.0
7568,-100.0,-100.0,100.0
7594,-100.0,-100.0,100.0
7621,-100.0,-100.0,100.0
7647,-100.0,-100.0,100.0
7793,-100.0,-100.0,100.0
