,AXKVHJHF1EOVT,AQNCH42WD4ITI,A1XY2JMPVJCF4,A93LDI16XJWI8
169585,-68.0,-91.0,-86.33333333333333,-53.0
169591,-68.0,-91.0,-86.0,-53.0
169594,-68.0,-91.0,-86.0,-53.0
169599,-68.0,-91.0,-85.75,-53.0
169602,-68.0,-91.0,-85.5,-53.0
169604,-68.0,-91.0,-85.25,-53.0
169608,-67.83333333333333,-91.0,-85.0,-53.0
169611,-67.66666666666667,-91.0,-85.0,-53.0
169616,-67.5,-91.0,-84.66666666666667,-53.0
169618,-67.33333333333333,-91.0,-84.33333333333333,-53.0
169624,-67.16666666666667,-91.0,-84.0,-53.0
169627,-67.0,-91.0,-84.0,-53.0
169633,-67.0,-91.0,-83.33333333333333,-53.0
169637,-67.0,-91.0,-82.66666666666667,-53.0
169642,-67.0,-91.0,-82.0,-53.0
169649,-67.0,-91.0,-82.0,-53.0
169666,-67.0,-91.0,-82.0,-53.0
169671,-67.0,-91.0,-82.0,-53.0
169682,-67.0,-91.0,-82.0,-53.0
169685,-67.0,-91.0,-82.0,-53.0
169693,-67.0,-91.0,-82.0,-53.0
169699,-66.88888888888889,-91.0,-82.0,-53.0
169702,-66.77777777777777,-91.0,-82.0,-53.0
169716,-66.66666666666667,-91.0,-82.0,-53.0
169719,-66.55555555555556,-91.0,-82.0,-53.0
169733,-66.44444444444444,-91.0,-82.0,-53.0
169735,-66.33333333333333,-91.0,-82.0,-53.0
169749,-66.22222222222223,-91.0,-82.0,-53.0
169753,-66.11111111111111,-91.0,-82.0,-53.0
169761,-66.0,-91.0,-82.0,-53.0
169766,-66.0,-91.0,-82.0,-53.0
169769,-66.0,-91.0,-82.0,-53.0
169785,-66.0,-91.0,-82.0,-53.0
169802,-66.0,-91.0,-82.0,-53.0
169819,-66.0,-91.0,-82.0,-53.0
169835,-66.0,-91.0,-82.0,-53.0
169851,-66.0,-91.0,-82.0,-53.0
169862,-66.0,-91.0,-82.0,-53.0
169869,-66.0,-91.0,-82.0,-52.666666666666664
169870,-66.0,-91.0,-82.0,-52.333333333333336
169881,-65.66666666666667,-91.0,-82.0,-52.0
169882,-65.33333333333333,-91.0,-82.0,-52.0
169885,-65.0,-91.0,-82.0,-51.666666666666664
169890,-65.0,-91.0,-82.0,-51.333333333333336
169896,-65.0,-91.0,-82.0,-51.0
169900,-65.0,-91.0,-82.0,-51.0
169912,-65.0,-91.0,-82.0,-50.5
169913,-64.75,-91.0,-82.0,-50.0
169916,-64.5,-91.0,-82.0,-50.0
169919,-64.25,-91.0,-82.0,-49.666666666666664
169926,-64.0,-91.0,-82.0,-49.333333333333336
169931,-64.0,-91.0,-82.0,-49.0
169934,-64.0,-91.0,-82.0,-49.0
169936,-64.0,-91.0,-82.0,-48.5
169949,-64.0,-91.0,-82.0,-48.0
169952,-64.0,-91.0,-82.0,-48.0
169967,-64.0,-91.0,-82.0,-47.5
169968,-63.666666666666664,-91.0,-82.0,-47.0
169970,-63.333333333333336,-91.0,-82.0,-47.0
169979,-63.0,-91.0,-82.0,-46.666666666666664
169985,-63.0,-91.0,-82.0,-46.333333333333336
169986,-63.0,-91.0,-82.0,-46.0
169987,-63.0,-91.0,-82.0,-46.0
170002,-63.0,-91.0,-82.0,-45.0
170004,-63.0,-91.0,-82.0,-45.0
170019,-63.0,-91.0,-82.0,-44.5
170020,-63.0,-91.0,-82.0,-44.0
170023,-62.75,-91.0,-82.0,-44.0
170028,-62.5,-91.0,-82.0,-43.0
170030,-62.25,-91.0,-82.0,-43.0
170034,-62.0,-91.0,-82.0,-42.333333333333336
170035,-62.0,-91.0,-82.0,-41.666666666666664
170046,-62.0,-91.0,-82.0,-41.0
170054,-62.0,-91.0,-82.0,-41.0
170067,-62.0,-91.0,-82.0,-41.0
170068,-61.666666666666664,-91.0,-82.0,-41.0
170085,-61.333333333333336,-91.0,-82.0,-41.0
170093,-61.0,-91.0,-82.0,-41.0
170101,-61.0,-91.0,-82.0,-41.0
170119,-61.0,-91.0,-82.0,-41.0
170140,-61.0,-91.0,-82.0,-41.0
170146,-61.0,-91.0,-82.0,-41.0
170167,-60.0,-91.0,-82.0,-41.0
170170,-60.0,-91.0,-82.0,-41.0
170174,-60.0,-91.0,-82.0,-41.0
170202,-59.5,-91.0,-82.0,-41.0
170204,-59.0,-91.0,-82.0,-41.0
170220,-59.0,-91.0,-82.0,-41.0
170236,-59.0,-91.0,-82.0,-41.0
170252,-59.0,-91.0,-82.0,-41.0
170254,-59.0,-91.0,-82.0,-41.0
170269,-58.5,-91.0,-82.0,-41.0
