,AU2980AA60A2C,AF8GOPFSTWCH8
393578,-100.0,-100.0
393594,-100.0,-100.0
393611,-100.0,-100.0
393628,-100.0,-100.0
393644,-100.0,-100.0
393661,-100.0,-100.0
393678,-100.0,-100.0
393694,-100.0,-100.0
395111,-100.0,-100.0
395128,-100.0,-100.0
395144,-100.0,-100.0
395161,-100.0,-100.0
395178,-100.0,-100.0
395194,-100.0,-100.0
395211,-100.0,-100.0
395228,-100.0,-100.0
395244,-100.0,-100.0
395262,-100.0,-100.0
401228,-100.0,-100.0
401245,-100.0,-100.0
401261,-100.0,-100.0
401278,-100.0,-100.0
401294,-100.0,-100.0
401311,-100.0,-100.0
401328,-100.0,-100.0
401344,-100.0,-100.0
407695,-100.0,-100.0
407711,-100.0,-100.0
407728,-100.0,-100.0
407744,-100.0,-100.0
407761,-100.0,-100.0
407778,-100.0,-100.0
407794,-100.0,-100.0
407811,-100.0,-100.0
407828,-100.0,-100.0
413778,-100.0,-100.0
413796,-100.0,-100.0
413811,-100.0,-100.0
413828,-100.0,-100.0
413844,-100.0,-100.0
413861,-100.0,-100.0
413878,-100.0,-100.0
413895,-100.0,-100.0
413911,-100.0,-100.0
413928,-100.0,-100.0
413945,-100.0,-100.0
413961,-100.0,-100.0
414744,-100.0,-100.0
414762,-100.0,-100.0
414779,-100.0,-100.0
414796,-100.0,-100.0
414828,-100.0,-100.0
414844,-100.0,-100.0
414861,-100.0,-100.0
414878,-100.0,-100.0
414896,-100.0,-100.0
417999,-100.0,-100.0
418017,-100.0,-100.0
418050,-100.0,-100.0
418100,-100.0,-100.0
418566,-100.0,-100.0
418584,-100.0,-100.0
418616,-100.0,-100.0
418650,-100.0,-100.0
418667,-100.0,-100.0
418686,-100.0,-100.0
433771,-100.0,-100.0
433786,-100.0,-100.0
433791,-100.0,-100.0
433801,-100.0,-100.0
433803,-100.0,-100.0
433816,-100.0,-100.0
433818,-100.0,-100.0
433831,-100.0,-100.0
433834,-100.0,-100.0
433847,-100.0,-100.0
433849,-100.0,-100.0
433862,-100.0,-100.0
433865,-100.0,-100.0
433887,-100.0,-100.0
448501,-100.0,-100.0
448515,-100.0,-100.0
448518,-100.0,-100.0
448530,-100.0,-100.0
448532,-100.0,-100.0
448548,-100.0,-100.0
448562,-100.0,-100.0
448563,-100.0,-100.0
448587,-100.0,-100.0
448589,-100.0,-100.0
448602,-100.0,-100.0
448962,-100.0,-100.0
448988,-100.0,-100.0
449678,-100.0,-100.0
449698,-100.0,-100.0
449711,-100.0,-100.0
449728,-100.0,-100.0
449745,-100.0,-100.0
449761,-100.0,-100.0
449778,-100.0,-100.0
449795,-100.0,-100.0
449811,-100.0,-100.0
449828,-100.0,-100.0
450961,-100.0,-100.0
450979,-100.0,-100.0
450995,-100.0,-100.0
451011,-100.0,-100.0
451028,-100.0,-100.0
451045,-100.0,-100.0
451062,-100.0,-100.0
451078,-100.0,-100.0
451095,-100.0,-100.0
451111,-100.0,-100.0
451129,-100.0,-100.0
451528,-100.0,-100.0
451545,-100.0,-100.0
451562,-100.0,-100.0
451578,-100.0,-100.0
451595,-100.0,-100.0
451611,-100.0,-100.0
451628,-100.0,-100.0
451645,-100.0,-100.0
451661,-100.0,-100.0
451678,-100.0,-100.0
451695,-100.0,-100.0
451711,-100.0,-100.0
451728,-100.0,-100.0
451745,-100.0,-100.0
451761,-100.0,-100.0
451778,-100.0,-100.0
451795,-100.0,-100.0
455832,-100.0,-100.0
455849,-100.0,-100.0
455881,-100.0,-100.0
455911,-100.0,-100.0
455928,-100.0,-100.0
455931,-100.0,-100.0
455945,-100.0,-100.0
455948,-100.0,-100.0
455961,-100.0,-100.0
455965,-100.0,-100.0
455978,-100.0,-100.0
455995,-100.0,-100.0
456011,-100.0,-100.0
456014,-100.0,-100.0
456028,-100.0,-100.0
456045,-100.0,-100.0
456048,-100.0,-100.0
456061,-100.0,-100.0
456078,-100.0,-100.0
456080,-100.0,-100.0
456114,-100.0,-100.0
457761,-100.0,-100.0
457779,-100.0,-100.0
457795,-100.0,-100.0
457811,-100.0,-100.0
457828,-100.0,-100.0
457845,-100.0,-100.0
457864,-100.0,-100.0
459662,-100.0,-100.0
459680,-100.0,-100.0
459695,-100.0,-100.0
459711,-100.0,-100.0
459728,-100.0,-100.0
459745,-100.0,-100.0
459761,-100.0,-100.0
459778,-100.0,-100.0
459795,-100.0,-100.0
459812,-100.0,-100.0
460128,-100.0,-100.0
460145,-100.0,-100.0
460161,-100.0,-100.0
460179,-100.0,-100.0
460195,-100.0,-100.0
460211,-100.0,-100.0
460228,-100.0,-100.0
460245,-100.0,-100.0
460261,-100.0,-100.0
460278,-100.0,-100.0
460296,-100.0,-100.0
465161,-100.0,-100.0
465179,-100.0,-100.0
465195,-100.0,-100.0
465211,-100.0,-100.0
465228,-100.0,-100.0
465245,-100.0,-100.0
465262,-100.0,-100.0
465278,-100.0,-100.0
465295,-100.0,-100.0
465311,-100.0,-100.0
