,A29R1LR84VSJU,A1UH47OTAH2RT,A2JNCB317KX86,A1EUJEHDI66UT
29906,,,,
29923,,,,
29940,,,,
29956,,,,
29973,,,,
29990,,,,
30007,,,,
30023,,,,
30040,,,,
30057,,,,
30073,,,,
30090,,,,
30107,,,,
30124,,,,
30140,,,,
30157,,,,
30174,,,,
30191,,,,
30208,,,,
30224,,,,
30241,,,,
30258,,,,
30274,,,,
30291,,,,
30307,,,,
30325,,,,
30341,,,,
30358,,,,
30375,,,,
30391,,,,
30408,,,,
30425,,,,
30441,,,,
30458,,,,
30475,,,,
30491,,,,
30508,,,,
30525,,,,
30542,,,,
30558,,,,
30575,,,,
30592,,,,
30608,,,,
30625,,,,
30642,,,,
30659,,,,
30676,,,,
30692,,,,
30709,,,,
30726,,,,
30742,,,,
30759,,,,
30776,,,,
30793,,,,
30809,,,,
30826,,,,
30843,,,,
30861,,,,
30876,,,,
30893,,,,
30909,,,,
30927,,,,
30943,,,,
30960,,,,
30976,,,,
30993,,,,
31011,,,,
31026,,,,
31044,,,,
31061,,,,
31078,,,,
31093,,,,
31111,,,,
31128,,,,
31144,,,,
31160,,,,
31177,,,,
31194,,,,
31210,,,,
31227,,,,
31244,,,,
31261,,,,
31277,,,,
31294,,,,
31311,,,,
31327,,,,
31344,,,,
31362,,,,
31378,,,,
31394,,,,
31411,,,,
31428,,,,
31444,,,,
31463,,,,
31478,,,,
31495,,,,
31511,,,,
31528,,,,
31545,,,,
31561,,,,
31578,,,,
31595,,,,
31613,,,,
31614,,,,
32644,,,,
32645,,-91.0,,
32734,,-90.0,,
32748,,-90.0,,
32798,,-88.0,,
32799,,,,
32861,,,,
32862,,,,
32927,,,,
32941,,,,
32955,,,,
32972,,,,
32988,,,,
33007,,,,
33023,,,,
33038,,,,
33056,,,,
33073,,,,
33089,,,,
33106,,,,
33123,,,,
33139,,,,
33157,,,,
33173,,,,
33190,,,,
35464,,,,
35481,,,,
35497,,,,
35514,,,,
35531,,,,
35547,,,,
35564,,,,
35581,,,,
35598,,,,
35614,,,,
35631,,,,
35648,,,,
35665,,,,
35681,,,,
35698,,,,
35715,,,,
35731,,,,
35748,,,,
35765,,,,
35782,,,,
35798,,,,
35815,,,,
35832,,,,
35848,,,,
35865,,,,
35882,,,,
35899,,,,
35915,,,,
35932,,,,
35949,,,,
35965,,,,
35982,,,,
35999,,,,
36016,,,,
36032,,,,
36049,,,,
36066,,,,
36083,,,,
36100,,,,
36116,,,,
36133,,,,
36149,,,,
36167,,,,
36183,,,,
36200,,,,
36216,,,,
36233,,,,
36250,,,,
36266,,,,
36283,,,,
36300,,,,
36317,,,,
36333,,,,
36350,,,,
36367,,,,
36383,,,,
36400,,,,
36417,,,,
36434,,,,
36451,,,,
36467,,,,
36484,,,,
36501,,,,
36517,,,,
36535,,,,
36551,,,,
36567,,,,
36584,,,,
36601,,,,
36618,,,,
36634,,,,
36651,,,,
36668,,,,
36684,,,,
36701,,,,
36718,,,,
36735,,,,
36752,,,,
36768,,,,
36785,,,,
36801,,,,
36818,,,,
36835,,,,
36852,,,,
36868,,,,
36885,,,,
36902,,,,
36919,,,,
36936,,,,
36952,,,,
36969,,,,
36985,,,,
37003,,,,
37019,,,,
37036,,,,
37052,,,,
37069,,,,
37086,,,,
37102,,,,
37119,,,,
37136,,,,
37153,,,,
37170,,,,
37186,,,,
37204,,,,
37219,,,,
37236,,,,
37253,,,,
37270,,,,
37286,,,,
37303,,,,
37320,,,,
37337,,,,
37353,,,,
37371,,,,
37387,,,,
37404,,,,
37420,,,,
37437,,,,
37455,,,,
37470,,,,
37487,,,,
37504,,,,
37520,,,,
37537,,,,
37554,,,,
37571,,,,
37587,,,,
37605,,,,
37621,,,,
37637,,,,
37654,,,,
37671,,,,
37688,,,,
37704,,,,
37721,,,,
37738,,,,
37756,,,,
37771,,,,
37788,,,,
37805,,,,
37822,,,,
37838,,,,
37855,,,,
37872,,,,
37888,,,,
37905,,,,
37923,,,,
37938,,,,
37955,,,,
37972,,,,
37989,,,,
38005,,,,
38022,,,,
38039,,,,
38055,,,,
38073,,,,
38089,,,,
38106,,,,
38122,,,,
38139,,,,
38156,,,,
38173,,,,
38190,,,,
38206,,,,
38223,,,,
38239,,,,
38257,,,,
38274,,,,
38290,,,,
38307,,,,
38324,,,,
38340,,,,
