,A1NRY8F9U4AYE,A3QI1RV4HQ9MO,A2Q3SM0KEI497
93022,,,-100.0
93023,,,-100.0
93039,,,-100.0
93040,,,-100.0
93050,,,-100.0
93058,,,-100.0
93075,,,-100.0
93082,,,-100.0
93093,,,-100.0
93111,,,-100.0
93127,,,-100.0
93146,,,-100.0
93163,,,-100.0
93180,,,-100.0
93191,,,-100.0
93194,,,-100.0
93204,,,-100.0
93222,,,-100.0
93239,,,-100.0
93250,,,-100.0
93257,,,-100.0
93275,,,-100.0
93291,,,-100.0
93312,,,-100.0
93313,,,-100.0
93323,,,-100.0
93331,,,-100.0
93352,,,-100.0
93364,,,-100.0
93382,,,-100.0
93397,,,-100.0
93406,,,-100.0
93414,,,-100.0
93417,,,-100.0
93422,,,-100.0
93440,,,-100.0
93444,,,-100.0
93456,,,-100.0
93471,,,-100.0
93475,,,-100.0
93489,,,-100.0
93491,,,-100.0
93509,,,-100.0
93527,,,-100.0
93544,,,-100.0
93561,,,-100.0
93579,,,-100.0
93597,,,-100.0
93616,,,-100.0
93626,,,-100.0
93640,,,-100.0
93643,,,-100.0
93655,,,-100.0
93738,,,-100.0
93793,,,-100.0
93937,,,-100.0
93947,,,-100.0
94038,,,-100.0
94074,,,-100.0
94102,,,-100.0
94166,,,-100.0
94190,,,-100.0
94200,,,-100.0
94247,,,-100.0
94256,,,-100.0
94272,,,-100.0
94303,,,-100.0
94319,,,-100.0
94366,,,-100.0
94390,,,-100.0
94428,,,-100.0
94488,,,-100.0
94541,,,-100.0
94567,,,-100.0
94578,,,-100.0
94606,,,-100.0
94610,,,-100.0
94620,,,-100.0
94686,,,-100.0
94723,,,-100.0
94742,,,-100.0
94774,,,-100.0
94802,,,-100.0
94810,,,-100.0
94834,,,-100.0
94847,,,-100.0
94935,,,-100.0
94940,,,-100.0
94962,,,-100.0
94972,,,-100.0
94983,,,-100.0
94989,,,-100.0
94999,,,-100.0
95019,,,-100.0
95034,,,-100.0
95070,,,-100.0
95116,,,-100.0
95134,,,-100.0
95157,,,-100.0
95171,,,-100.0
95182,,,-100.0
95192,,,-100.0
95193,,,-100.0
95206,,,-100.0
95217,,,-100.0
95245,,,-100.0
95255,,,-100.0
95289,,,-100.0
95301,,,-100.0
95318,,,-100.0
95350,,,-100.0
95366,,,-100.0
95384,,,-100.0
95420,,,-100.0
95449,,,-100.0
95489,,,-100.0
95510,,,-100.0
95538,,,-100.0
95588,,,-100.0
95616,,,-100.0
95634,,,-100.0
95650,,,-100.0
95680,,,-100.0
95695,,,-100.0
95765,,,-100.0
95828,,,-100.0
95870,,,-100.0
95893,,,-100.0
96048,,,-100.0
96070,,,-100.0
96081,,,-100.0
96103,,,-100.0
96110,,,-100.0
96182,,,-100.0
96194,,,-100.0
96311,,,-100.0
96356,,,-100.0
96439,,,-100.0
96450,,,-100.0
96466,,,-100.0
96477,,,-100.0
96533,,,-100.0
96569,,,-100.0
96583,,,-100.0
96613,,,-100.0
96629,,,-100.0
96664,,,-100.0
96680,,,-100.0
96889,,,-100.0
96946,,,-100.0
97081,,,-100.0
97110,,,-100.0
97121,,,-100.0
97140,,,-100.0
97188,,,-100.0
97254,,,-100.0
97297,,,-100.0
97328,,,-100.0
97362,,,-100.0
97398,,,-100.0
97442,,,-100.0
97460,,,-100.0
97475,,,-100.0
97508,,,-100.0
97521,,,-100.0
97591,,,-100.0
97617,,,-100.0
97628,,,-100.0
97654,,,-100.0
97687,,,-100.0
97748,,,-100.0
97783,,,-100.0
97800,,,-100.0
97851,,,-100.0
97867,,,-100.0
97881,,,-100.0
97914,,,-100.0
97950,,,-100.0
98001,,,-100.0
98153,,,-100.0
98220,,,-100.0
98244,,,-100.0
98262,,,-100.0
98316,,,-100.0
98378,,,-100.0
98432,,,-100.0
98584,,,-100.0
98694,,,-100.0
98750,,,-100.0
98768,,,-100.0
98812,,,-100.0
99114,,,-100.0
99161,,,-100.0
109404,,,-100.0
109429,,,-99.0
109484,,,-99.0
109501,,,-98.0
112011,,,-98.0
112030,,,-99.0
112062,,,-99.0
112074,,,-100.0
114875,,,-100.0
114876,,,-100.0
114910,,,-100.0
