,AOEGJLWFISOZQ,AU2980AA60A2C,AJALV8WOILDPA
239426,-100.0,-100.0,-100.0
239443,-100.0,-100.0,-100.0
239460,-100.0,-100.0,-100.0
239476,-100.0,-100.0,-100.0
239493,-100.0,-100.0,-100.0
241010,-100.0,-100.0,-100.0
241028,-100.0,-100.0,-100.0
241043,-100.0,-100.0,-100.0
241060,-100.0,-100.0,-100.0
241077,-100.0,-100.0,-100.0
241093,-100.0,-100.0,-100.0
241110,-100.0,-100.0,-100.0
241127,-100.0,-100.0,-100.0
241143,-100.0,-100.0,-100.0
241160,-100.0,-100.0,-100.0
241177,-100.0,-100.0,-100.0
241193,-100.0,-100.0,-100.0
241210,-100.0,-100.0,-100.0
243272,-100.0,-100.0,-100.0
243290,-100.0,-100.0,-99.0
243305,-100.0,-100.0,-98.0
243322,-100.0,-100.0,-97.0
243339,-100.0,-100.0,-96.0
243355,-100.0,-100.0,-95.0
243372,-100.0,-100.0,-94.0
243389,-100.0,-100.0,-92.0
243405,-100.0,-100.0,-91.0
243422,-100.0,-100.0,-90.0
243439,-100.0,-100.0,-89.0
243455,-100.0,-100.0,-88.0
243472,-100.0,-100.0,-87.0
243489,-100.0,-100.0,-86.0
243505,-100.0,-100.0,-85.0
243522,-100.0,-100.0,-84.0
243539,-100.0,-100.0,-82.0
243556,-100.0,-100.0,-81.0
243572,-100.0,-100.0,-80.0
243589,-100.0,-100.0,-79.0
243606,-100.0,-100.0,-78.0
243622,-100.0,-100.0,-77.0
243639,-100.0,-100.0,-76.0
243658,-100.0,-100.0,-75.0
244039,-100.0,-100.0,-75.0
244057,-100.0,-100.0,-76.0
244073,-100.0,-100.0,-78.0
244089,-100.0,-100.0,-79.0
244106,-100.0,-100.0,-80.0
244123,-100.0,-100.0,-81.0
244140,-100.0,-100.0,-82.0
244156,-100.0,-100.0,-83.0
244173,-100.0,-100.0,-84.0
244189,-100.0,-100.0,-85.0
244208,-100.0,-100.0,-86.0
244223,-100.0,-100.0,-88.0
244240,-100.0,-100.0,-89.0
244256,-100.0,-100.0,-90.0
244273,-100.0,-100.0,-91.0
244290,-100.0,-100.0,-92.0
244306,-100.0,-100.0,-93.0
