,AUOV735LIDVBE,A1NJP8CPZQER4,A4FNENGCDFSOG,AF8GOPFSTWCH8
30321,-100.0,-100.0,-100.0,-100.0
30425,-100.0,-100.0,-100.0,-100.0
30473,-100.0,-100.0,-100.0,-100.0
30487,-100.0,-100.0,-100.0,-100.0
30508,-100.0,-100.0,-100.0,-100.0
30524,-100.0,-100.0,-100.0,-100.0
30544,-100.0,-100.0,-100.0,-100.0
30559,-100.0,-100.0,-100.0,-100.0
30603,-100.0,-100.0,-100.0,-100.0
30662,-100.0,-100.0,-100.0,-100.0
30706,-100.0,-100.0,-100.0,-100.0
30727,-100.0,-100.0,-100.0,-100.0
30750,-100.0,-100.0,-100.0,-100.0
30752,-100.0,-100.0,-100.0,-100.0
30774,-100.0,-100.0,-100.0,-100.0
30784,-100.0,-100.0,-100.0,-100.0
30809,-100.0,-100.0,-100.0,-100.0
30941,-100.0,-100.0,-100.0,-100.0
30964,-100.0,-100.0,-100.0,-100.0
30988,-100.0,-100.0,-100.0,-100.0
30994,-100.0,-100.0,-100.0,-100.0
31010,-100.0,-100.0,-100.0,-100.0
31027,-100.0,-100.0,-100.0,-100.0
31029,-100.0,-100.0,-100.0,-100.0
31045,-100.0,-100.0,-100.0,-100.0
31077,-100.0,-100.0,-100.0,-100.0
31094,-100.0,-100.0,-100.0,-100.0
31111,-100.0,-100.0,-100.0,-100.0
31127,-100.0,-100.0,-100.0,-100.0
31144,-100.0,-100.0,-100.0,-100.0
31153,-100.0,-100.0,-100.0,-100.0
31161,-100.0,-100.0,-100.0,-100.0
31173,-100.0,-100.0,-100.0,-100.0
31177,-100.0,-100.0,-100.0,-100.0
31194,-100.0,-100.0,-100.0,-100.0
31198,-100.0,-100.0,-100.0,-100.0
31211,-100.0,-100.0,-100.0,-100.0
31213,-100.0,-100.0,-100.0,-100.0
31227,-100.0,-100.0,-100.0,-100.0
31244,-100.0,-100.0,-100.0,-100.0
31261,-100.0,-100.0,-100.0,-100.0
31277,-100.0,-100.0,-100.0,-100.0
31278,-100.0,-100.0,-100.0,-100.0
31294,-100.0,-100.0,-100.0,-100.0
31295,-100.0,-100.0,-100.0,-100.0
31311,-100.0,-100.0,-100.0,-100.0
31327,-100.0,-100.0,-100.0,-100.0
31344,-100.0,-100.0,-100.0,-100.0
31355,-100.0,-100.0,-100.0,-100.0
31360,-100.0,-100.0,-100.0,-100.0
31361,-100.0,-100.0,-100.0,-100.0
31377,-100.0,-100.0,-100.0,-100.0
31378,-100.0,-100.0,-100.0,-100.0
31386,-100.0,-100.0,-100.0,-100.0
31394,-100.0,-100.0,-100.0,-100.0
31395,-100.0,-100.0,-100.0,-100.0
31406,-100.0,-100.0,-100.0,-100.0
31411,-100.0,-100.0,-100.0,-100.0
31424,-100.0,-100.0,-100.0,-100.0
31427,-100.0,-100.0,-100.0,-100.0
31445,-100.0,-100.0,-100.0,-100.0
31559,-100.0,-100.0,-100.0,-100.0
31572,-100.0,-100.0,-100.0,-100.0
31593,-100.0,-100.0,-100.0,-100.0
31606,-100.0,-100.0,-100.0,-100.0
31627,-100.0,-100.0,-100.0,-100.0
31647,-100.0,-100.0,-100.0,-100.0
31653,-100.0,-100.0,-100.0,-100.0
31661,-100.0,-100.0,-99.5,-100.0
31674,-100.0,-100.0,-99.0,-100.0
31677,-100.0,-100.0,-98.25,-100.0
31694,-100.0,-100.0,-97.5,-100.0
31711,-100.0,-100.0,-96.75,-100.0
31720,-100.0,-100.0,-96.0,-100.0
31727,-100.0,-100.0,-95.66666666666667,-100.0
31730,-100.0,-100.0,-95.33333333333333,-100.0
31737,-100.0,-100.0,-95.0,-100.0
31739,-100.0,-100.0,-94.75,-100.0
31744,-100.0,-100.0,-94.5,-100.0
31747,-100.0,-100.0,-94.25,-100.0
31753,-100.0,-100.0,-94.0,-100.0
31761,-100.0,-100.0,-93.6,-100.0
31774,-100.0,-100.0,-93.2,-100.0
31777,-100.0,-100.0,-92.8,-100.0
31781,-100.0,-100.0,-92.4,-100.0
31788,-100.0,-100.0,-92.0,-100.0
31795,-100.0,-100.0,-92.0,-100.0
31797,-100.0,-100.0,-92.0,-100.0
31811,-100.0,-100.0,-92.0,-100.0
31828,-100.0,-100.0,-92.0,-100.0
31846,-100.0,-100.0,-92.0,-100.0
31861,-100.0,-100.0,-92.0,-100.0
31887,-100.0,-100.0,-92.0,-100.0
31902,-100.0,-100.0,-92.0,-100.0
32107,-100.0,-100.0,-92.0,-100.0
32123,-100.0,-100.0,-92.0,-100.0
32132,-100.0,-100.0,-92.0,-100.0
32139,-100.0,-100.0,-92.0,-100.0
32171,-100.0,-100.0,-92.0,-100.0
32186,-100.0,-100.0,-92.0,-100.0
32189,-100.0,-100.0,-91.5,-100.0
32206,-100.0,-100.0,-91.0,-100.0
32236,-100.0,-100.0,-89.0,-100.0
32253,-100.0,-100.0,-88.0,-100.0
32277,-100.0,-100.0,-86.5,-100.0
32286,-100.0,-100.0,-85.0,-100.0
32292,-100.0,-100.0,-84.8,-100.0
32293,-100.0,-100.0,-84.6,-100.0
32304,-100.0,-100.0,-84.4,-100.0
32314,-100.0,-100.0,-84.2,-100.0
32321,-100.0,-100.0,-84.0,-100.0
32332,-100.0,-100.0,-84.0,-100.0
32362,-100.0,-100.0,-84.0,-100.0
32369,-100.0,-100.0,-84.0,-100.0
32392,-100.0,-100.0,-84.0,-100.0
32409,-100.0,-100.0,-84.0,-100.0
32467,-100.0,-100.0,-84.0,-100.0
32480,-100.0,-100.0,-84.0,-100.0
32511,-100.0,-100.0,-84.0,-100.0
32523,-100.0,-100.0,-84.0,-100.0
