,A3UTSRN8QLKWE,A3ST8XFT4X93K,A2YN6Z2DAW88X,A6PO7JT39QQGP
27278,-100.0,-100.0,-100.0,-74.0
27295,-100.0,-100.0,-100.0,-74.0
27301,-100.0,-100.0,-100.0,-74.0
27312,-100.0,-100.0,-100.0,-74.0
27319,-100.0,-100.0,-100.0,-74.0
27325,-100.0,-100.0,-100.0,-74.0
27334,-100.0,-100.0,-100.0,-74.0
27344,-100.0,-100.0,-100.0,-74.0
27361,-100.0,-100.0,-100.0,-74.0
27379,-100.0,-100.0,-100.0,-74.0
27384,-100.0,-100.0,-100.0,-74.0
27433,-100.0,-100.0,-100.0,-74.0
27464,-100.0,-100.0,-100.0,-74.0
27473,-100.0,-100.0,-100.0,-74.0
27496,-100.0,-100.0,-100.0,-74.0
27500,-100.0,-100.0,-100.0,-74.0
27520,-100.0,-100.0,-100.0,-74.0
27528,-100.0,-100.0,-100.0,-74.0
27545,-100.0,-100.0,-100.0,-74.0
27546,-100.0,-100.0,-100.0,-74.0
27551,-100.0,-100.0,-100.0,-74.0
27570,-100.0,-100.0,-100.0,-74.0
27575,-100.0,-100.0,-100.0,-74.0
27577,-100.0,-100.0,-100.0,-74.0
27588,-100.0,-100.0,-100.0,-74.0
27595,-100.0,-100.0,-100.0,-74.0
27642,-100.0,-100.0,-100.0,-74.0
27699,-100.0,-100.0,-100.0,-74.0
27721,-100.0,-100.0,-100.0,-74.0
27733,-100.0,-100.0,-100.0,-74.0
27738,-100.0,-100.0,-100.0,-74.0
27746,-100.0,-100.0,-100.0,-74.0
27752,-100.0,-100.0,-100.0,-74.0
27764,-100.0,-100.0,-100.0,-74.0
27771,-100.0,-100.0,-100.0,-74.0
27776,-100.0,-100.0,-100.0,-74.0
27777,-100.0,-100.0,-100.0,-74.0
27787,-100.0,-100.0,-100.0,-74.0
27796,-100.0,-100.0,-100.0,-74.0
27803,-100.0,-100.0,-100.0,-74.0
27822,-100.0,-100.0,-100.0,-74.0
27847,-100.0,-100.0,-100.0,-74.0
27885,-100.0,-100.0,-100.0,-74.0
27910,-100.0,-100.0,-100.0,-74.0
27976,-100.0,-100.0,-100.0,-74.0
27992,-100.0,-100.0,-100.0,-74.0
28107,-100.0,-100.0,-100.0,-74.0
28139,-100.0,-100.0,-100.0,-74.0
28141,-100.0,-100.0,-100.0,-74.0
28160,-100.0,-100.0,-100.0,-74.0
28183,-100.0,-100.0,-100.0,-74.0
28200,-100.0,-100.0,-100.0,-74.0
28202,-100.0,-100.0,-100.0,-74.0
28223,-100.0,-100.0,-100.0,-74.0
28227,-100.0,-100.0,-100.0,-74.0
28231,-100.0,-100.0,-100.0,-74.0
28248,-100.0,-100.0,-100.0,-74.0
28252,-100.0,-100.0,-100.0,-74.0
28272,-100.0,-100.0,-100.0,-74.0
28277,-100.0,-100.0,-100.0,-74.0
28298,-100.0,-100.0,-100.0,-74.0
28332,-100.0,-100.0,-100.0,-74.0
28376,-100.0,-100.0,-100.0,-74.0
28425,-100.0,-100.0,-100.0,-74.0
28452,-100.0,-100.0,-100.0,-74.0
28506,-100.0,-100.0,-100.0,-74.0
28535,-100.0,-100.0,-100.0,-74.0
28550,-100.0,-100.0,-100.0,-74.0
28616,-100.0,-100.0,-100.0,-74.0
28617,-100.0,-100.0,-100.0,-74.0
28647,-100.0,-100.0,-100.0,-74.0
28711,-100.0,-100.0,-100.0,-74.0
28737,-100.0,-100.0,-100.0,-74.0
28782,-100.0,-100.0,-100.0,-74.0
28797,-100.0,-100.0,-100.0,-74.0
28808,-100.0,-100.0,-100.0,-74.0
28852,-100.0,-100.0,-100.0,-74.0
28910,-100.0,-100.0,-100.0,-74.0
28938,-100.0,-100.0,-100.0,-74.0
28967,-100.0,-100.0,-100.0,-74.0
28983,-100.0,-100.0,-100.0,-74.0
28999,-100.0,-100.0,-100.0,-74.0
29027,-100.0,-100.0,-100.0,-74.0
29029,-100.0,-100.0,-100.0,-74.0
29040,-100.0,-100.0,-100.0,-74.0
29052,-100.0,-100.0,-100.0,-74.0
29056,-100.0,-100.0,-100.0,-74.0
29065,-100.0,-100.0,-100.0,-74.0
29076,-100.0,-100.0,-100.0,-74.0
29080,-100.0,-100.0,-100.0,-74.0
29100,-100.0,-100.0,-100.0,-74.0
29108,-100.0,-100.0,-100.0,-74.0
29119,-100.0,-100.0,-100.0,-74.0
29125,-100.0,-100.0,-100.0,-74.0
29130,-100.0,-100.0,-100.0,-74.0
29143,-100.0,-100.0,-100.0,-74.0
29151,-100.0,-100.0,-100.0,-74.0
29155,-100.0,-100.0,-100.0,-74.0
29164,-100.0,-100.0,-100.0,-74.0
29175,-100.0,-100.0,-100.0,-74.0
29181,-100.0,-100.0,-100.0,-74.0
29197,-100.0,-100.0,-100.0,-74.0
29200,-100.0,-100.0,-100.0,-74.0
29214,-100.0,-100.0,-100.0,-74.0
29229,-100.0,-100.0,-100.0,-74.0
29297,-100.0,-100.0,-100.0,-74.0
29325,-100.0,-100.0,-100.0,-74.0
29345,-100.0,-100.0,-100.0,-74.0
29380,-100.0,-100.0,-100.0,-74.0
29401,-100.0,-100.0,-100.0,-74.0
29412,-100.0,-100.0,-100.0,-74.0
29514,-100.0,-100.0,-100.0,-74.0
