,A3QFK8SWWMHIW,A3BPENSX5EVJ2,A371SNJNNUY9Z,AN26GE0GN8DP0
42515,-100.0,-100.0,-100.0,-100.0
42521,-100.0,-100.0,-100.0,-100.0
42539,-100.0,-100.0,-100.0,-100.0
43278,-100.0,-100.0,-100.0,-100.0
43296,-100.0,-100.0,-100.0,-99.0
43326,-100.0,-100.0,-100.0,-97.0
43343,-100.0,-100.0,-100.0,-96.0
43360,-100.0,-100.0,-100.0,-95.0
43377,-100.0,-100.0,-100.0,-94.0
43393,-100.0,-100.0,-100.0,-93.0
43410,-100.0,-100.0,-100.0,-92.0
43427,-100.0,-100.0,-100.0,-91.0
43443,-100.0,-100.0,-100.0,-90.0
43460,-100.0,-100.0,-100.0,-89.0
43477,-100.0,-100.0,-100.0,-87.0
43494,-100.0,-100.0,-100.0,-86.0
43510,-100.0,-100.0,-100.0,-85.0
43527,-100.0,-100.0,-100.0,-84.0
43544,-100.0,-100.0,-100.0,-83.0
43561,-100.0,-100.0,-100.0,-82.0
43577,-100.0,-100.0,-100.0,-81.0
43594,-100.0,-100.0,-100.0,-80.0
43611,-100.0,-100.0,-100.0,-78.0
43627,-100.0,-100.0,-100.0,-77.0
43644,-100.0,-100.0,-100.0,-76.0
43661,-100.0,-100.0,-100.0,-75.0
43677,-100.0,-100.0,-100.0,-74.0
43694,-100.0,-100.0,-100.0,-73.0
43711,-100.0,-100.0,-100.0,-72.0
43728,-100.0,-100.0,-100.0,-71.0
43744,-100.0,-100.0,-100.0,-70.0
43761,-100.0,-100.0,-100.0,-68.0
43778,-100.0,-100.0,-100.0,-67.0
43794,-100.0,-100.0,-100.0,-66.0
43811,-100.0,-100.0,-100.0,-65.0
43829,-100.0,-100.0,-100.0,-64.0
43844,-100.0,-100.0,-100.0,-63.0
43861,-100.0,-100.0,-100.0,-62.0
43878,-100.0,-100.0,-100.0,-61.0
43895,-100.0,-100.0,-100.0,-59.0
43911,-100.0,-100.0,-100.0,-58.0
43928,-100.0,-100.0,-100.0,-57.0
43945,-100.0,-100.0,-100.0,-56.0
43961,-100.0,-100.0,-100.0,-55.0
43978,-100.0,-100.0,-100.0,-54.0
43995,-100.0,-100.0,-100.0,-53.0
44011,-100.0,-100.0,-100.0,-52.0
44028,-100.0,-100.0,-100.0,-51.0
44045,-100.0,-100.0,-100.0,-49.0
44062,-100.0,-100.0,-100.0,-48.0
44078,-100.0,-100.0,-100.0,-47.0
44095,-100.0,-100.0,-100.0,-46.0
44112,-100.0,-100.0,-100.0,-45.0
44128,-100.0,-100.0,-100.0,-44.0
44145,-100.0,-100.0,-100.0,-43.0
44162,-100.0,-100.0,-100.0,-42.0
44179,-100.0,-100.0,-100.0,-41.0
44195,-100.0,-100.0,-100.0,-40.0
44212,-100.0,-100.0,-100.0,-38.0
44229,-100.0,-100.0,-100.0,-37.0
