,A2RJBMEEVBZ8E,A1NTYZ6IERUPC
57750,-100.0,-100.0
57767,-100.0,-100.0
57785,-100.0,-100.0
57802,-100.0,-100.0
57819,-100.0,-100.0
57837,-100.0,-100.0
57855,-100.0,-100.0
57872,-100.0,-100.0
57890,-100.0,-100.0
57907,-100.0,-100.0
57924,-100.0,-100.0
57942,-100.0,-100.0
57960,-100.0,-100.0
57967,-100.0,-100.0
57983,-100.0,-100.0
58001,-100.0,-100.0
58019,-100.0,-100.0
58036,-100.0,-100.0
58055,-100.0,-100.0
58072,-100.0,-100.0
58089,-100.0,-100.0
58107,-100.0,-100.0
58125,-100.0,-100.0
58141,-100.0,-100.0
58160,-100.0,-100.0
58176,-100.0,-100.0
58183,-100.0,-100.0
58201,-100.0,-100.0
58218,-100.0,-100.0
58236,-100.0,-100.0
58254,-100.0,-100.0
58270,-100.0,-100.0
58288,-100.0,-100.0
58306,-100.0,-100.0
58324,-100.0,-100.0
58341,-100.0,-100.0
58360,-100.0,-100.0
58375,-100.0,-100.0
58393,-100.0,-100.0
58401,-100.0,-100.0
58417,-100.0,-100.0
58436,-100.0,-100.0
58453,-100.0,-100.0
58470,-100.0,-100.0
58488,-100.0,-100.0
58506,-100.0,-100.0
58523,-100.0,-100.0
58541,-100.0,-100.0
58558,-100.0,-100.0
58575,-100.0,-100.0
58593,-100.0,-100.0
58600,-100.0,-100.0
58617,-100.0,-100.0
58634,-100.0,-100.0
58652,-100.0,-100.0
58669,-100.0,-100.0
58688,-100.0,-100.0
58705,-100.0,-100.0
58722,-100.0,-100.0
58739,-100.0,-100.0
58757,-100.0,-100.0
58774,-100.0,-100.0
58792,-100.0,-100.0
58810,-100.0,-100.0
58826,-100.0,-100.0
58834,-100.0,-100.0
58852,-100.0,-100.0
58868,-100.0,-100.0
58887,-100.0,-100.0
58905,-100.0,-100.0
58921,-100.0,-100.0
58939,-100.0,-100.0
58956,-100.0,-100.0
58974,-100.0,-100.0
58992,-100.0,-100.0
59011,-100.0,-100.0
59026,-100.0,-100.0
59033,-100.0,-100.0
59051,-100.0,-100.0
59069,-100.0,-100.0
59086,-100.0,-100.0
59106,-100.0,-100.0
59120,-100.0,-100.0
59139,-100.0,-100.0
59156,-100.0,-100.0
59173,-100.0,-100.0
59192,-100.0,-100.0
59208,-100.0,-100.0
59225,-100.0,-100.0
59243,-100.0,-100.0
