,AS7D4MNIH56ND,AZSSG2REHDX18,AYYSG3O9FNU15,AU2980AA60A2C,AJE5OG666CBAC,ACM1CEGHXTKZP
46082,-100.0,-100.0,,-40.0,-100.0,-100.0
46097,-100.0,-100.0,,-40.0,-100.0,-100.0
46099,-100.0,-100.0,,-40.0,-100.0,-100.0
46113,-100.0,-100.0,,-40.0,-100.0,-100.0
46115,-100.0,-100.0,,-40.0,-100.0,-100.0
46130,-100.0,-100.0,,-40.0,-100.0,-100.0
46133,-100.0,-100.0,,-40.0,-100.0,-100.0
46147,-100.0,-100.0,,-40.0,-100.0,-100.0
46149,-100.0,-100.0,,-40.0,-100.0,-100.0
46163,-100.0,-100.0,,-40.0,-100.0,-100.0
46166,-100.0,-100.0,,-40.0,-100.0,-100.0
46180,-100.0,-100.0,,-40.0,-100.0,-100.0
46182,-100.0,-100.0,,-40.0,-100.0,-100.0
46196,-100.0,-100.0,,-40.0,-100.0,-100.0
46199,-100.0,-100.0,,-40.0,-100.0,-100.0
46213,-100.0,-100.0,,-40.0,-100.0,-100.0
46216,-100.0,-100.0,,-40.0,-100.0,-100.0
46230,-100.0,-100.0,,-40.0,-100.0,-100.0
46314,-100.0,-100.0,,-40.0,-100.0,-100.0
46330,-100.0,-100.0,,-40.0,-100.0,-100.0
46332,-100.0,-100.0,,-40.0,-100.0,-100.0
46347,-100.0,-100.0,,-40.0,-100.0,-100.0
46349,-100.0,-100.0,,-40.0,-100.0,-100.0
46363,-100.0,-100.0,,-40.0,-100.0,-100.0
46367,-100.0,-100.0,,-40.0,-100.0,-100.0
46380,-100.0,-100.0,,-40.0,-100.0,-100.0
46383,-100.0,-100.0,,-40.0,-100.0,-100.0
46397,-100.0,-100.0,,-40.0,-100.0,-100.0
46399,-100.0,-100.0,,-40.0,-100.0,-100.0
46413,-100.0,-100.0,,-40.0,-100.0,-100.0
46415,-100.0,-100.0,,-40.0,-100.0,-100.0
46431,-100.0,-100.0,,-40.0,-100.0,-100.0
46606,-100.0,-100.0,,-40.0,-100.0,-100.0
46622,-100.0,-100.0,,-40.0,-100.0,-100.0
46640,-100.0,-100.0,,-40.0,-100.0,-100.0
46655,-100.0,-100.0,,-40.0,-100.0,-100.0
46673,-100.0,-100.0,,-40.0,-100.0,-100.0
46676,-100.0,-100.0,,-40.0,-100.0,-100.0
46689,-100.0,-100.0,,-40.5,-100.0,-100.0
46692,-100.0,-100.0,,-41.0,-100.0,-100.0
46706,-100.0,-100.0,,-41.333333333333336,-100.0,-100.0
46723,-100.0,-100.0,,-41.666666666666664,-100.0,-100.0
46725,-100.0,-100.0,,-42.0,-100.0,-100.0
46740,-100.0,-100.0,,-43.0,-100.0,-100.0
