,A1GFGZJPLCHHF,A3ST8XFT4X93K
66949,-100.0,-100.0
66968,-100.0,-100.0
67004,-100.0,-100.0
68118,-100.0,-100.0
68136,-100.0,-100.0
68170,-100.0,-100.0
68188,-100.0,-100.0
68205,-100.0,-100.0
68223,-100.0,-100.0
68230,-100.0,-100.0
68247,-100.0,-100.0
68265,-100.0,-100.0
68282,-100.0,-100.0
68300,-100.0,-100.0
68316,-100.0,-100.0
68335,-100.0,-100.0
68351,-100.0,-100.0
68388,-100.0,-100.0
68404,-100.0,-100.0
68422,-100.0,-100.0
68425,-100.0,-100.0
68429,-100.0,-100.0
68446,-100.0,-100.0
68463,-100.0,-100.0
68482,-100.0,-100.0
68498,-100.0,-100.0
68517,-100.0,-100.0
68533,-100.0,-100.0
68550,-100.0,-100.0
68569,-100.0,-100.0
68586,-100.0,-100.0
68589,-100.0,-100.0
68604,-100.0,-100.0
68609,-100.0,-100.0
68622,-100.0,-100.0
68638,-100.0,-100.0
68640,-100.0,-100.0
68656,-100.0,-100.0
68657,-100.0,-100.0
68663,-100.0,-100.0
68682,-100.0,-100.0
68698,-100.0,-100.0
68716,-100.0,-100.0
68733,-100.0,-100.0
68750,-100.0,-100.0
68756,-100.0,-100.0
68768,-100.0,-100.0
68775,-100.0,-100.0
68786,-100.0,-100.0
68793,-100.0,-100.0
68803,-100.0,-100.0
68805,-100.0,-100.0
68809,-100.0,-100.0
68815,-100.0,-100.0
68821,-100.0,-100.0
68826,-100.0,-100.0
68838,-100.0,-100.0
68849,-100.0,-100.0
68850,-100.0,-100.0
68856,-100.0,-100.0
68859,-100.0,-100.0
68863,-100.0,-100.0
68868,-100.0,-100.0
68880,-100.0,-100.0
68885,-100.0,-100.0
68898,-100.0,-100.0
68902,-100.0,-100.0
68915,-100.0,-100.0
68932,-100.0,-100.0
68937,-100.0,-100.0
68950,-100.0,-100.0
68967,-100.0,-100.0
68986,-100.0,-100.0
69002,-100.0,-100.0
69021,-100.0,-100.0
69037,-100.0,-100.0
69038,-100.0,-100.0
69054,-100.0,-100.0
69059,-100.0,-100.0
69073,-100.0,-100.0
69080,-100.0,-100.0
69085,-100.0,-100.0
69095,-100.0,-100.0
69098,-100.0,-100.0
69113,-100.0,-100.0
69132,-100.0,-100.0
69150,-100.0,-100.0
69167,-100.0,-100.0
69186,-100.0,-100.0
69202,-100.0,-100.0
69240,-100.0,-100.0
69258,-100.0,-100.0
69277,-100.0,-100.0
69289,-100.0,-100.0
69307,-100.0,-100.0
69424,-100.0,-100.0
69442,-100.0,-100.0
69460,-100.0,-100.0
69474,-100.0,-100.0
69493,-100.0,-100.0
69507,-100.0,-100.0
69553,-100.0,-100.0
69572,-100.0,-100.0
69591,-100.0,-100.0
69605,-100.0,-100.0
69610,-100.0,-100.0
69625,-100.0,-100.0
69629,-100.0,-100.0
69641,-100.0,-100.0
69658,-100.0,-100.0
69665,-100.0,-100.0
69683,-100.0,-100.0
69719,-100.0,-100.0
69753,-100.0,-100.0
70078,-100.0,-100.0
70122,-100.0,-100.0
70138,-100.0,-100.0
70143,-100.0,-100.0
70148,-100.0,-100.0
70156,-100.0,-100.0
70162,-100.0,-100.0
70175,-100.0,-100.0
70181,-100.0,-100.0
70189,-100.0,-100.0
70201,-100.0,-100.0
70235,-100.0,-100.0
70249,-100.0,-100.0
70254,-100.0,-100.0
70260,-100.0,-100.0
70269,-100.0,-100.0
70303,-100.0,-100.0
70320,-100.0,-100.0
70338,-100.0,-100.0
70356,-100.0,-100.0
70364,-100.0,-100.0
70380,-100.0,-100.0
70397,-100.0,-100.0
70415,-100.0,-100.0
70432,-100.0,-100.0
70450,-100.0,-100.0
70468,-100.0,-100.0
70485,-100.0,-100.0
70520,-100.0,-100.0
70538,-100.0,-100.0
70555,-100.0,-100.0
70563,-100.0,-100.0
70579,-100.0,-100.0
70596,-100.0,-100.0
70614,-100.0,-100.0
70632,-100.0,-100.0
70666,-100.0,-100.0
70684,-100.0,-100.0
70702,-100.0,-100.0
70720,-100.0,-100.0
70738,-100.0,-100.0
70755,-100.0,-100.0
70771,-100.0,-100.0
70789,-100.0,-100.0
70797,-100.0,-100.0
70813,-100.0,-100.0
70832,-100.0,-100.0
70848,-100.0,-100.0
70856,-100.0,-100.0
70867,-100.0,-100.0
70875,-100.0,-100.0
70883,-100.0,-100.0
70892,-100.0,-100.0
70901,-100.0,-100.0
70910,-100.0,-100.0
70919,-100.0,-100.0
70926,-100.0,-100.0
70942,-100.0,-100.0
70943,-100.0,-100.0
70950,-100.0,-100.0
70969,-100.0,-100.0
70985,-100.0,-100.0
70994,-100.0,-100.0
71003,-100.0,-100.0
71013,-100.0,-100.0
71022,-100.0,-100.0
71038,-100.0,-100.0
71053,-100.0,-100.0
71076,-100.0,-100.0
71104,-100.0,-100.0
71135,-100.0,-100.0
71154,-100.0,-100.0
71180,-100.0,-100.0
71206,-100.0,-100.0
71235,-100.0,-100.0
71254,-100.0,-100.0
71276,-100.0,-100.0
71288,-100.0,-100.0
71323,-100.0,-100.0
71369,-100.0,-100.0
71373,-100.0,-100.0
71388,-100.0,-100.0
