,nan_x,nan_y,ASPRULQHB8B1F,AQP4PHYDXRBPI
10175,-100.0,-100.0,-100.0,-100.0
10178,-100.0,-100.0,-100.0,-100.0
10203,-100.0,-100.0,-100.0,-100.0
10207,-100.0,-100.0,-100.0,-100.0
10208,-100.0,-100.0,-100.0,-100.0
10253,-100.0,-100.0,-100.0,-100.0
10268,-100.0,-100.0,-100.0,-100.0
10273,-100.0,-100.0,-100.0,-100.0
10295,-100.0,-100.0,-100.0,-100.0
10298,-100.0,-100.0,-100.0,-100.0
10309,-100.0,-100.0,-100.0,-100.0
10316,-100.0,-100.0,-100.0,-100.0
10321,-100.0,-100.0,-100.0,-100.0
10335,-100.0,-100.0,-100.0,-100.0
10346,-100.0,-100.0,-100.0,-100.0
10373,-100.0,-100.0,-100.0,-100.0
10384,-100.0,-100.0,-100.0,-100.0
10397,-100.0,-100.0,-100.0,-100.0
10418,-100.0,-100.0,-100.0,-100.0
10440,-100.0,-100.0,-100.0,-100.0
10469,-100.0,-100.0,-100.0,-100.0
10472,-100.0,-100.0,-100.0,-100.0
10477,-100.0,-100.0,-100.0,-100.0
10487,-100.0,-100.0,-100.0,-100.0
10510,-100.0,-100.0,-100.0,-100.0
10512,-100.0,-100.0,-100.0,-100.0
10522,-100.0,-100.0,-100.0,-100.0
10537,-100.0,-100.0,-100.0,-100.0
10546,-100.0,-100.0,-100.0,-100.0
10560,-100.0,-100.0,-100.0,-100.0
10597,-100.0,-100.0,-100.0,-100.0
10615,-100.0,-100.0,-100.0,-100.0
10622,-100.0,-100.0,-100.0,-100.0
10631,-100.0,-100.0,-100.0,-100.0
10636,-100.0,-100.0,-100.0,-100.0
10647,-100.0,-100.0,-100.0,-100.0
10664,-100.0,-100.0,-100.0,-100.0
10681,-100.0,-100.0,-100.0,-100.0
10697,-100.0,-100.0,-100.0,-100.0
10706,-100.0,-100.0,-100.0,-100.0
10714,-100.0,-100.0,-100.0,-100.0
10731,-100.0,-100.0,-100.0,-100.0
10747,-100.0,-100.0,-100.0,-100.0
10755,-100.0,-100.0,-100.0,-100.0
10764,-100.0,-100.0,-100.0,-100.0
10777,-100.0,-100.0,-100.0,-100.0
10781,-100.0,-100.0,-100.0,-100.0
10798,-100.0,-100.0,-100.0,-100.0
10814,-100.0,-100.0,-100.0,-100.0
10859,-100.0,-100.0,-100.0,-100.0
10911,-100.0,-100.0,-100.0,-100.0
10987,-100.0,-100.0,-100.0,-100.0
11083,-100.0,-100.0,-100.0,-100.0
11129,-100.0,-100.0,-100.0,-100.0
11252,-100.0,-100.0,-100.0,-100.0
11253,-100.0,-100.0,-100.0,-100.0
11256,-100.0,-100.0,-100.0,-100.0
11271,-100.0,-100.0,-100.0,-100.0
11276,-100.0,-100.0,-100.0,-100.0
11289,-100.0,-100.0,-100.0,-100.0
11293,-100.0,-100.0,-100.0,-100.0
11294,-100.0,-100.0,-100.0,-100.0
11305,-100.0,-100.0,-100.0,-100.0
11308,-100.0,-100.0,-100.0,-100.0
11311,-100.0,-100.0,-100.0,-100.0
11324,-100.0,-100.0,-100.0,-100.0
11330,-100.0,-100.0,-100.0,-100.0
11332,-100.0,-100.0,-100.0,-100.0
11341,-100.0,-100.0,-100.0,-100.0
11346,-100.0,-100.0,-100.0,-100.0
11369,-100.0,-100.0,-100.0,-100.0
11374,-100.0,-100.0,-100.0,-100.0
11393,-100.0,-100.0,-100.0,-100.0
11394,-100.0,-100.0,-100.0,-100.0
11397,-100.0,-100.0,-100.0,-100.0
11407,-100.0,-100.0,-100.0,-100.0
11412,-100.0,-100.0,-100.0,-100.0
11413,-100.0,-100.0,-100.0,-100.0
11422,-100.0,-100.0,-100.0,-100.0
11425,-100.0,-100.0,-100.0,-100.0
11429,-100.0,-100.0,-100.0,-100.0
11441,-100.0,-100.0,-100.0,-100.0
11445,-100.0,-100.0,-100.0,-100.0
11446,-100.0,-100.0,-100.0,-100.0
11451,-100.0,-100.0,-100.0,-100.0
11455,-100.0,-100.0,-100.0,-100.0
11476,-100.0,-100.0,-100.0,-100.0
11483,-100.0,-100.0,-100.0,-100.0
11494,-100.0,-100.0,-100.0,-100.0
11500,-100.0,-100.0,-100.0,-100.0
11509,-100.0,-100.0,-100.0,-100.0
11510,-100.0,-100.0,-100.0,-100.0
11513,-100.0,-100.0,-100.0,-100.0
11523,-100.0,-100.0,-100.0,-100.0
11527,-100.0,-100.0,-100.0,-100.0
11544,-100.0,-100.0,-100.0,-100.0
11546,-100.0,-100.0,-100.0,-100.0
11550,-100.0,-100.0,-100.0,-100.0
11554,-100.0,-100.0,-100.0,-100.0
11560,-100.0,-100.0,-100.0,-100.0
11573,-100.0,-100.0,-100.0,-100.0
11576,-100.0,-100.0,-100.0,-100.0
11577,-100.0,-100.0,-100.0,-100.0
11585,-100.0,-100.0,-100.0,-100.0
11594,-100.0,-100.0,-100.0,-100.0
11607,-100.0,-100.0,-100.0,-100.0
11612,-100.0,-100.0,-100.0,-100.0
11614,-100.0,-100.0,-100.0,-100.0
11630,-100.0,-100.0,-100.0,-100.0
11644,-100.0,-100.0,-100.0,-100.0
11652,-100.0,-100.0,-100.0,-100.0
11662,-100.0,-100.0,-100.0,-100.0
11667,-100.0,-100.0,-100.0,-100.0
11680,-100.0,-100.0,-100.0,-100.0
11684,-100.0,-100.0,-100.0,-100.0
11693,-100.0,-100.0,-100.0,-100.0
11700,-100.0,-100.0,-100.0,-100.0
11711,-100.0,-100.0,-100.0,-100.0
11719,-100.0,-100.0,-100.0,-100.0
11728,-100.0,-100.0,-100.0,-100.0
11731,-100.0,-100.0,-100.0,-100.0
11732,-100.0,-100.0,-100.0,-100.0
11744,-100.0,-100.0,-100.0,-100.0
11761,-100.0,-100.0,-100.0,-100.0
11778,-100.0,-100.0,-100.0,-100.0
11780,-100.0,-100.0,-100.0,-100.0
11796,-100.0,-100.0,-100.0,-100.0
11812,-100.0,-100.0,-100.0,-100.0
11813,-100.0,-100.0,-100.0,-100.0
11815,-100.0,-100.0,-100.0,-100.0
11822,-100.0,-100.0,-100.0,-100.0
11834,-100.0,-100.0,-100.0,-100.0
11842,-100.0,-100.0,-100.0,-100.0
11845,-100.0,-100.0,-100.0,-100.0
11863,-100.0,-100.0,-100.0,-100.0
11878,-100.0,-100.0,-100.0,-100.0
11882,-100.0,-100.0,-100.0,-100.0
11893,-100.0,-100.0,-100.0,-100.0
11895,-100.0,-100.0,-100.0,-100.0
11907,-100.0,-100.0,-100.0,-100.0
11910,-100.0,-100.0,-100.0,-100.0
11913,-100.0,-100.0,-100.0,-100.0
11930,-100.0,-100.0,-100.0,-100.0
11944,-100.0,-100.0,-100.0,-100.0
11946,-100.0,-100.0,-100.0,-100.0
11962,-100.0,-100.0,-100.0,-100.0
11963,-100.0,-100.0,-100.0,-100.0
11983,-100.0,-100.0,-100.0,-100.0
11995,-100.0,-100.0,-100.0,-100.0
12003,-100.0,-100.0,-100.0,-100.0
12014,-100.0,-100.0,-100.0,-100.0
12020,-100.0,-100.0,-100.0,-100.0
12032,-100.0,-100.0,-100.0,-100.0
12046,-100.0,-100.0,-100.0,-100.0
12063,-100.0,-100.0,-100.0,-100.0
12079,-100.0,-100.0,-100.0,-100.0
12097,-100.0,-100.0,-100.0,-100.0
12101,-100.0,-100.0,-100.0,-100.0
12114,-100.0,-100.0,-100.0,-100.0
12127,-100.0,-100.0,-100.0,-100.0
12130,-100.0,-100.0,-100.0,-100.0
12147,-100.0,-100.0,-100.0,-100.0
12152,-100.0,-100.0,-100.0,-100.0
12163,-100.0,-100.0,-100.0,-100.0
12175,-100.0,-100.0,-100.0,-100.0
12177,-100.0,-100.0,-100.0,-100.0
12181,-100.0,-100.0,-100.0,-100.0
12195,-100.0,-100.0,-100.0,-100.0
12198,-100.0,-100.0,-100.0,-100.0
12213,-100.0,-100.0,-100.0,-100.0
12220,-100.0,-100.0,-100.0,-100.0
12231,-100.0,-100.0,-100.0,-100.0
12233,-100.0,-100.0,-100.0,-100.0
12246,-100.0,-100.0,-100.0,-100.0
