,A9DEGNR0707LR,A2PM3OLCOW52S
33754,-100.0,-100.0
33763,-100.0,-100.0
33779,-100.0,-100.0
33796,-100.0,-100.0
33813,-100.0,-100.0
33829,-100.0,-100.0
33846,-100.0,-100.0
33863,-100.0,-100.0
33881,-100.0,-100.0
33896,-100.0,-100.0
33913,-100.0,-100.0
33930,-100.0,-100.0
33946,-100.0,-100.0
33963,-100.0,-100.0
33980,-100.0,-100.0
36727,-100.0,-100.0
36728,-100.0,-100.0
36747,-100.0,-100.0
36781,-100.0,-100.0
36807,-100.0,-100.0
36835,-100.0,-100.0
36861,-100.0,-100.0
36891,-100.0,-100.0
36906,-100.0,-100.0
36911,-100.0,-100.0
36943,-100.0,-100.0
36956,-100.0,-100.0
36962,-100.0,-100.0
36976,-100.0,-100.0
36982,-100.0,-100.0
36991,-100.0,-100.0
37015,-100.0,-100.0
37025,-100.0,-100.0
37055,-100.0,-100.0
37073,-100.0,-100.0
37098,-100.0,-100.0
37107,-100.0,-100.0
37138,-100.0,-100.0
37149,-100.0,-100.0
37190,-100.0,-100.0
37200,-100.0,-100.0
37228,-100.0,-100.0
37252,-100.0,-100.0
37285,-100.0,-100.0
37296,-100.0,-100.0
37316,-100.0,-100.0
37336,-100.0,-100.0
37386,-100.0,-100.0
37398,-100.0,-100.0
37407,-100.0,-100.0
37424,-100.0,-100.0
37457,-100.0,-100.0
37475,-100.0,-100.0
37503,-100.0,-100.0
37510,-100.0,-100.0
37537,-100.0,-100.0
37544,-100.0,-100.0
37567,-100.0,-100.0
37580,-100.0,-100.0
37605,-100.0,-100.0
37611,-100.0,-100.0
37615,-100.0,-100.0
37625,-100.0,-100.0
37634,-100.0,-100.0
37639,-100.0,-100.0
37652,-100.0,-100.0
37663,-100.0,-100.0
37666,-100.0,-100.0
37675,-100.0,-100.0
37694,-100.0,-100.0
37705,-100.0,-100.0
37708,-100.0,-100.0
37726,-100.0,-100.0
37735,-100.0,-100.0
37745,-100.0,-100.0
37751,-100.0,-100.0
37762,-100.0,-100.0
37792,-100.0,-100.0
37813,-100.0,-100.0
37837,-100.0,-100.0
37838,-100.0,-100.0
37868,-100.0,-100.0
37876,-100.0,-100.0
37899,-100.0,-100.0
37908,-100.0,-100.0
37936,-100.0,-100.0
37948,-100.0,-100.0
37961,-100.0,-100.0
37964,-100.0,-100.0
37986,-100.0,-100.0
37992,-100.0,-100.0
37996,-100.0,-100.0
38006,-100.0,-100.0
38022,-100.0,-100.0
38031,-100.0,-100.0
38038,-100.0,-100.0
38052,-100.0,-100.0
38062,-100.0,-100.0
38075,-100.0,-100.0
38079,-100.0,-100.0
38090,-100.0,-100.0
38105,-100.0,-100.0
38112,-100.0,-100.0
38119,-100.0,-100.0
38128,-100.0,-100.0
38149,-100.0,-100.0
38159,-100.0,-100.0
38160,-100.0,-100.0
38177,-100.0,-100.0
38192,-100.0,-100.0
38202,-100.0,-100.0
38210,-100.0,-100.0
38212,-100.0,-100.0
38216,-100.0,-100.0
38228,-100.0,-100.0
38238,-100.0,-100.0
38247,-100.0,-100.0
38256,-100.0,-100.0
38263,-100.0,-100.0
38267,-100.0,-100.0
38273,-100.0,-100.0
38294,-100.0,-100.0
38301,-100.0,-100.0
38307,-100.0,-100.0
38309,-100.0,-100.0
