,AY5QB85BMBVU8,A3P9TMATWBA1Q,A8DMLATJZOF4Q,A8WWSKUYQ4X5N
9045,-100.0,-100.0,-100.0,-100.0
9061,-100.0,-100.0,-100.0,-100.0
9067,-100.0,-100.0,-100.0,-100.0
9095,-100.0,-100.0,-100.0,-100.0
9104,-100.0,-100.0,-100.0,-100.0
9110,-100.0,-100.0,-100.0,-100.0
9130,-100.0,-100.0,-100.0,-100.0
9132,-100.0,-100.0,-100.0,-100.0
9156,-100.0,-100.0,-100.0,-100.0
9174,-100.0,-100.0,-100.0,-100.0
9191,-100.0,-100.0,-100.0,-100.0
9200,-100.0,-100.0,-100.0,-100.0
9220,-100.0,-100.0,-100.0,-100.0
9224,-100.0,-100.0,-100.0,-100.0
9233,-100.0,-100.0,-100.0,-100.0
9260,-100.0,-100.0,-100.0,-100.0
9280,-100.0,-100.0,-100.0,-100.0
9282,-100.0,-100.0,-100.0,-100.0
9294,-100.0,-100.0,-100.0,-100.0
9303,-100.0,-100.0,-100.0,-100.0
9321,-100.0,-100.0,-100.0,-100.0
9349,-100.0,-100.0,-100.0,-100.0
9403,-100.0,-100.0,-100.0,-100.0
9437,-100.0,-100.0,-100.0,-100.0
9456,-100.0,-100.0,-100.0,-100.0
9506,-100.0,-100.0,-100.0,-100.0
9535,-100.0,-100.0,-100.0,-100.0
9578,-100.0,-100.0,-100.0,-100.0
9591,-100.0,-100.0,-100.0,-100.0
9607,-100.0,-100.0,-100.0,-100.0
9627,-100.0,-100.0,-100.0,-100.0
9640,-100.0,-100.0,-100.0,-100.0
9648,-100.0,-100.0,-100.0,-100.0
9661,-100.0,-100.0,-100.0,-100.0
9674,-100.0,-100.0,-100.0,-100.0
9685,-100.0,-100.0,-100.0,-100.0
9700,-100.0,-100.0,-100.0,-100.0
9704,-100.0,-100.0,-100.0,-100.0
9732,-100.0,-100.0,-100.0,-100.0
9740,-100.0,-100.0,-100.0,-100.0
10195,-100.0,-100.0,-100.0,-100.0
10232,-100.0,-100.0,-100.0,-100.0
10249,-100.0,-100.0,-100.0,-100.0
10291,-100.0,-100.0,-100.0,-100.0
10342,-100.0,-100.0,-100.0,-100.0
10379,-100.0,-100.0,-100.0,-100.0
10412,-100.0,-100.0,-100.0,-100.0
10421,-100.0,-100.0,-100.0,-100.0
10430,-100.0,-100.0,-100.0,-100.0
10436,-100.0,-100.0,-100.0,-100.0
10462,-100.0,-100.0,-100.0,-100.0
10470,-100.0,-100.0,-100.0,-100.0
10484,-100.0,-100.0,-100.0,-100.0
10499,-100.0,-100.0,-100.0,-100.0
10504,-100.0,-100.0,-100.0,-100.0
10516,-100.0,-100.0,-100.0,-100.0
10521,-100.0,-100.0,-100.0,-100.0
10536,-100.0,-100.0,-100.0,-100.0
10541,-100.0,-100.0,-100.0,-100.0
10546,-100.0,-100.0,-100.0,-100.0
10552,-100.0,-100.0,-100.0,-100.0
10575,-100.0,-100.0,-100.0,-100.0
10581,-100.0,-100.0,-100.0,-100.0
10591,-100.0,-100.0,-100.0,-100.0
10610,-100.0,-100.0,-100.0,-100.0
10616,-100.0,-100.0,-100.0,-100.0
10628,-100.0,-100.0,-100.0,-100.0
10632,-100.0,-100.0,-100.0,-100.0
10662,-100.0,-100.0,-100.0,-100.0
10668,-100.0,-100.0,-100.0,-100.0
10680,-100.0,-100.0,-100.0,-100.0
10685,-100.0,-100.0,-100.0,-100.0
10697,-100.0,-100.0,-100.0,-100.0
10715,-100.0,-100.0,-100.0,-100.0
10720,-100.0,-100.0,-100.0,-100.0
10723,-100.0,-100.0,-100.0,-100.0
10732,-100.0,-100.0,-100.0,-100.0
10739,-100.0,-100.0,-100.0,-100.0
10746,-100.0,-100.0,-100.0,-100.0
10756,-100.0,-100.0,-100.0,-100.0
10761,-100.0,-100.0,-100.0,-100.0
10777,-100.0,-100.0,-100.0,-100.0
10792,-100.0,-100.0,-100.0,-100.0
10797,-100.0,-100.0,-100.0,-100.0
10826,-100.0,-100.0,-100.0,-100.0
10832,-100.0,-100.0,-100.0,-100.0
10844,-100.0,-100.0,-100.0,-100.0
10851,-100.0,-100.0,-100.0,-100.0
10880,-100.0,-100.0,-100.0,-100.0
10884,-100.0,-100.0,-100.0,-100.0
10914,-100.0,-100.0,-100.0,-100.0
10919,-100.0,-100.0,-100.0,-100.0
10931,-100.0,-100.0,-100.0,-100.0
10939,-100.0,-100.0,-100.0,-100.0
10956,-100.0,-100.0,-100.0,-100.0
10961,-100.0,-100.0,-100.0,-100.0
10962,-100.0,-100.0,-100.0,-100.0
10992,-100.0,-100.0,-100.0,-100.0
10993,-100.0,-100.0,-100.0,-100.0
10998,-100.0,-100.0,-100.0,-100.0
11008,-100.0,-100.0,-100.0,-100.0
11147,-100.0,-100.0,-100.0,-100.0
11187,-100.0,-100.0,-100.0,-100.0
11236,-100.0,-100.0,-100.0,-100.0
11266,-100.0,-100.0,-100.0,-100.0
11275,-100.0,-100.0,-100.0,-100.0
11335,-100.0,-100.0,-100.0,-100.0
11394,-100.0,-100.0,-100.0,-100.0
11436,-100.0,-100.0,-100.0,-100.0
11567,-100.0,-100.0,-100.0,-100.0
11597,-100.0,-100.0,-100.0,-100.0
11631,-100.0,-100.0,-100.0,-100.0
11681,-100.0,-100.0,-100.0,-100.0
11707,-100.0,-100.0,-100.0,-100.0
11737,-100.0,-100.0,-100.0,-100.0
11780,-100.0,-100.0,-100.0,-100.0
11812,-100.0,-100.0,-100.0,-100.0
11870,-100.0,-100.0,-100.0,-100.0
11894,-100.0,-100.0,-100.0,-100.0
11905,-100.0,-100.0,-100.0,-100.0
11948,-100.0,-100.0,-100.0,-100.0
12037,-100.0,-100.0,-100.0,-100.0
12068,-100.0,-100.0,-100.0,-100.0
12241,-100.0,-100.0,-100.0,-100.0
12267,-100.0,-100.0,-100.0,-100.0
12339,-100.0,-100.0,-100.0,-100.0
12373,-100.0,-100.0,-100.0,-100.0
12388,-100.0,-100.0,-100.0,-100.0
12425,-100.0,-100.0,-100.0,-100.0
12469,-100.0,-100.0,-100.0,-100.0
12503,-100.0,-100.0,-100.0,-100.0
12543,-100.0,-100.0,-100.0,-100.0
12581,-100.0,-100.0,-100.0,-100.0
12600,-100.0,-100.0,-100.0,-100.0
12606,-100.0,-100.0,-100.0,-100.0
12607,-100.0,-100.0,-100.0,-100.0
12618,-100.0,-100.0,-100.0,-100.0
12632,-100.0,-100.0,-100.0,-100.0
12638,-100.0,-100.0,-100.0,-100.0
12674,-100.0,-100.0,-100.0,-100.0
12679,-100.0,-100.0,-100.0,-100.0
12681,-100.0,-100.0,-100.0,-100.0
12708,-100.0,-100.0,-100.0,-100.0
12713,-100.0,-100.0,-100.0,-100.0
12743,-100.0,-100.0,-100.0,-100.0
12749,-100.0,-100.0,-100.0,-100.0
12778,-100.0,-100.0,-100.0,-100.0
12784,-100.0,-100.0,-100.0,-100.0
12785,-100.0,-100.0,-100.0,-100.0
12813,-100.0,-100.0,-100.0,-100.0
12818,-100.0,-100.0,-100.0,-100.0
12826,-100.0,-100.0,-100.0,-100.0
12831,-100.0,-100.0,-100.0,-100.0
12836,-100.0,-100.0,-100.0,-100.0
12840,-100.0,-100.0,-100.0,-100.0
12849,-100.0,-100.0,-100.0,-100.0
12889,-100.0,-100.0,-100.0,-100.0
13017,-100.0,-100.0,-100.0,-100.0
13036,-100.0,-100.0,-100.0,-100.0
13121,-100.0,-100.0,-100.0,-100.0
13122,-100.0,-100.0,-100.0,-100.0
13141,-100.0,-100.0,-100.0,-100.0
13186,-100.0,-100.0,-100.0,-100.0
13200,-100.0,-100.0,-100.0,-100.0
13214,-100.0,-100.0,-100.0,-100.0
13232,-100.0,-100.0,-100.0,-100.0
13248,-100.0,-100.0,-100.0,-100.0
13270,-100.0,-100.0,-100.0,-100.0
13277,-100.0,-100.0,-100.0,-100.0
13280,-100.0,-100.0,-100.0,-100.0
13308,-100.0,-100.0,-100.0,-100.0
13315,-100.0,-100.0,-100.0,-100.0
13331,-100.0,-100.0,-100.0,-100.0
13349,-100.0,-100.0,-100.0,-100.0
13376,-100.0,-100.0,-100.0,-100.0
13397,-100.0,-100.0,-100.0,-100.0
13416,-100.0,-100.0,-100.0,-100.0
13430,-100.0,-100.0,-100.0,-100.0
13445,-100.0,-100.0,-100.0,-100.0
13460,-100.0,-100.0,-100.0,-100.0
13472,-100.0,-100.0,-100.0,-100.0
13484,-100.0,-100.0,-100.0,-100.0
13491,-100.0,-100.0,-100.0,-100.0
13509,-100.0,-100.0,-100.0,-100.0
13527,-100.0,-100.0,-100.0,-100.0
13528,-100.0,-100.0,-100.0,-100.0
13549,-100.0,-100.0,-100.0,-100.0
13551,-100.0,-100.0,-100.0,-100.0
13563,-100.0,-100.0,-100.0,-100.0
13576,-100.0,-100.0,-100.0,-100.0
13591,-100.0,-100.0,-100.0,-100.0
13593,-100.0,-100.0,-100.0,-100.0
13595,-100.0,-100.0,-100.0,-100.0
13612,-100.0,-100.0,-100.0,-100.0
13615,-100.0,-100.0,-100.0,-100.0
13618,-100.0,-100.0,-100.0,-100.0
13622,-100.0,-100.0,-100.0,-100.0
13628,-100.0,-100.0,-100.0,-100.0
13632,-100.0,-100.0,-100.0,-100.0
13663,-100.0,-100.0,-100.0,-100.0
13667,-100.0,-100.0,-100.0,-100.0
13669,-100.0,-100.0,-100.0,-100.0
13673,-100.0,-100.0,-100.0,-100.0
13680,-100.0,-100.0,-100.0,-100.0
13681,-100.0,-100.0,-100.0,-100.0
13686,-100.0,-100.0,-100.0,-100.0
13690,-100.0,-100.0,-100.0,-100.0
13697,-100.0,-100.0,-100.0,-100.0
13701,-100.0,-100.0,-100.0,-100.0
13703,-100.0,-100.0,-100.0,-100.0
13716,-100.0,-100.0,-100.0,-100.0
13718,-100.0,-100.0,-100.0,-100.0
13723,-100.0,-100.0,-100.0,-100.0
13729,-100.0,-100.0,-100.0,-100.0
13741,-100.0,-100.0,-100.0,-100.0
13754,-100.0,-100.0,-100.0,-100.0
13758,-100.0,-100.0,-100.0,-100.0
13760,-100.0,-100.0,-100.0,-100.0
13763,-100.0,-100.0,-100.0,-100.0
13766,-100.0,-100.0,-100.0,-100.0
13771,-100.0,-100.0,-100.0,-100.0
13775,-100.0,-100.0,-100.0,-100.0
13776,-100.0,-100.0,-100.0,-100.0
13782,-100.0,-100.0,-100.0,-100.0
13783,-100.0,-100.0,-100.0,-100.0
