,A2RG35OL29USI,A2YP8M9VHFXZV,A1L7EVNM2HF85,A2YN6Z2DAW88X,A2Q3SM0KEI497,A1R09GS9W47R5
58619,,-100.0,,-100.0,-100.0,
58627,,-100.0,,-100.0,-100.0,
58640,,-100.0,,-100.0,-100.0,
58645,,-100.0,,-100.0,-100.0,
58661,,-100.0,,-100.0,-100.0,
58669,,-100.0,,-100.0,-100.0,
58682,,-100.0,,-100.0,-100.0,
58698,,-100.0,,-100.0,-100.0,
58703,,-100.0,,-100.0,-100.0,
58722,,-100.0,,-100.0,-100.0,
58724,,-100.0,,-100.0,-100.0,
58745,,-100.0,,-100.0,-100.0,
58756,,-100.0,,-100.0,-100.0,
58776,,-100.0,,-100.0,-100.0,
58797,,-100.0,,-100.0,-100.0,
58802,,-100.0,,-100.0,-100.0,
58817,,-100.0,,-100.0,-100.0,
58830,,-100.0,,-100.0,-100.0,
58839,,-100.0,,-100.0,-100.0,
58860,,-100.0,,-100.0,-100.0,
58861,,-100.0,,-100.0,-100.0,
58880,,-100.0,,-100.0,-100.0,
58902,,-100.0,,-100.0,-100.0,
58923,,-100.0,,-100.0,-100.0,
58943,,-100.0,,-100.0,-100.0,
58965,,-100.0,,-100.0,-100.0,
58975,,-100.0,,-100.0,-100.0,
58997,,-100.0,,-100.0,-100.0,
59017,,-100.0,,-100.0,-100.0,
59038,,-100.0,,-100.0,-100.0,
59059,,-100.0,,-100.0,-100.0,
59083,,-100.0,,-100.0,-100.0,
59122,,-100.0,,-100.0,-100.0,
59127,,-100.0,,-100.0,-100.0,
59143,,-100.0,,-100.0,-100.0,
59153,,-100.0,,-100.0,-100.0,
59164,,-100.0,,-100.0,-100.0,
59185,,-100.0,,-100.0,-100.0,
59195,,-100.0,,-100.0,-100.0,
59217,,-100.0,,-100.0,-100.0,
59237,,-100.0,,-100.0,-100.0,
59258,,-100.0,,-100.0,-100.0,
59280,,-100.0,,-100.0,-100.0,
59301,,-100.0,,-100.0,-100.0,
59302,,-100.0,,-100.0,-100.0,
59321,,-100.0,,-100.0,-100.0,
59328,,-100.0,,-100.0,-100.0,
59359,,-100.0,,-100.0,-100.0,
59362,,-100.0,,-99.6,-100.0,
59364,,-100.0,,-99.2,-100.0,
59376,,-100.0,,-98.8,-100.0,
59384,,-100.0,,-98.4,-100.0,
59390,,-100.0,,-98.0,-100.0,
59395,,-100.0,,-98.0,-100.0,
59402,,-100.0,,-98.0,-100.0,
59416,,-100.0,,-98.0,-100.0,
59432,,-100.0,,-98.0,-100.0,
59437,,-100.0,,-97.5,-100.0,
59445,,-100.0,,-97.0,-100.0,
59453,,-100.0,,-97.0,-100.0,
59458,,-100.0,,-96.5,-100.0,
59471,,-100.0,,-96.0,-100.0,
59479,,-100.0,,-96.0,-100.0,
59480,,-100.0,,-96.0,-100.0,
59499,,-100.0,,-96.0,-100.0,
59500,,-100.0,,-96.0,-100.0,
59512,,-100.0,,-96.0,-100.0,
59521,,-100.0,,-95.5,-100.0,
59523,,-100.0,,-95.0,-100.0,
59529,,-100.0,,-95.0,-100.0,
59542,,-100.0,,-95.0,-100.0,
59554,,-100.0,,-94.5,-100.0,
59556,,-100.0,,-94.0,-100.0,
59564,,-100.0,,-94.0,-100.0,
59578,,-100.0,,-93.0,-100.0,
59584,,-100.0,,-93.0,-100.0,
59589,,-100.0,,-93.0,-100.0,
59602,,-100.0,,-92.0,-100.0,
59605,,-100.0,,-92.0,-100.0,
59610,,-100.0,,-92.0,-100.0,
59616,,-100.0,,-91.5,-100.0,
59618,,-100.0,,-91.0,-100.0,
59633,,-100.0,,-91.0,-100.0,
59636,,-100.0,,-90.5,-100.0,
59647,,-100.0,,-90.0,-100.0,
59655,,-100.0,,-90.0,-100.0,
59658,,-100.0,,-89.66666666666667,-100.0,
59659,,-100.0,,-89.33333333333333,-100.0,
59672,,-100.0,,-89.0,-100.0,
59679,,-100.0,,-89.0,-100.0,
59685,,-100.0,,-89.0,-100.0,
59695,,-100.0,,-88.0,-100.0,
59699,,-100.0,,-88.0,-100.0,
59706,,-100.0,,-88.0,-100.0,
59719,,-100.0,,-87.0,-100.0,
59721,,-100.0,,-87.0,-100.0,
59729,,-100.0,,-87.0,-100.0,
59739,,-100.0,,-86.0,-100.0,
59742,,-100.0,,-85.66666666666667,-100.0,
59762,,-100.0,,-85.33333333333333,-100.0,
59776,,-100.0,,-85.0,-100.0,
59784,,-100.0,,-84.5,-100.0,
59791,,-100.0,,-84.0,-100.0,
59805,,-100.0,,-84.0,-100.0,
59806,,-100.0,,-84.0,-100.0,
59809,,-100.0,,-83.66666666666667,-100.0,
59815,,-100.0,,-83.33333333333333,-100.0,
59817,,-100.0,,-83.0,-100.0,
59836,,-100.0,,-83.0,-100.0,
