,A12FTSX85NQ89
49837,-100.0
49856,-100.0
49867,-100.0
49896,-100.0
49907,-100.0
49927,-100.0
49941,-100.0
49975,-100.0
50019,-100.0
50040,-100.0
50056,-100.0
50067,-100.0
50087,-100.0
50096,-100.0
50118,-100.0
50143,-100.0
50155,-100.0
50168,-100.0
50182,-100.0
50197,-100.0
50220,-100.0
50250,-100.0
50268,-100.0
50281,-100.0
50296,-100.0
50316,-100.0
50334,-100.0
50345,-100.0
50367,-100.0
50384,-100.0
50397,-100.0
50417,-100.0
50469,-100.0
50485,-100.0
50506,-100.0
50532,-100.0
50546,-100.0
50566,-100.0
50584,-100.0
50607,-100.0
50617,-100.0
50638,-100.0
50651,-100.0
50673,-100.0
50736,-100.0
51753,-100.0
51788,-100.0
51798,-100.0
51815,-100.0
51835,-100.0
51838,-100.0
51850,-100.0
51879,-100.0
51881,-100.0
51891,-100.0
51916,-100.0
51920,-100.0
51935,-100.0
51962,-100.0
51963,-100.0
51978,-100.0
51997,-100.0
52032,-100.0
52078,-100.0
52535,-100.0
52555,-100.0
52587,-100.0
52602,-100.0
55378,-100.0
55405,-100.0
55425,-100.0
55440,-100.0
55459,-100.0
55477,-100.0
55491,-100.0
55508,-100.0
55529,-100.0
55608,-100.0
55630,-100.0
55646,-100.0
55658,-100.0
55677,-100.0
55699,-100.0
55711,-100.0
55727,-100.0
55743,-100.0
55757,-100.0
55776,-100.0
55794,-100.0
55814,-100.0
55830,-100.0
55844,-100.0
55858,-100.0
55878,-100.0
55901,-100.0
55996,-100.0
56018,-100.0
56029,-100.0
56039,-100.0
56057,-100.0
56076,-100.0
56091,-100.0
56105,-100.0
56126,-100.0
56148,-100.0
56160,-100.0
56177,-100.0
56280,-100.0
56299,-100.0
56320,-100.0
56329,-100.0
56346,-100.0
56365,-100.0
56436,-100.0
56501,-100.0
56511,-100.0
60763,-100.0
60809,-100.0
60844,-100.0
60890,-100.0
60937,-100.0
60972,-100.0
60973,-100.0
64688,-100.0
64711,-100.0
64733,-100.0
64739,-100.0
64756,-100.0
64767,-100.0
64825,-100.0
64837,-100.0
64850,-100.0
64868,-100.0
64887,-100.0
64907,-100.0
64961,-100.0
64974,-100.0
64986,-100.0
65319,-100.0
65342,-100.0
65372,-100.0
65389,-100.0
65481,-100.0
65499,-100.0
65516,-100.0
65533,-100.0
65548,-100.0
65600,-100.0
65616,-100.0
65631,-100.0
65651,-100.0
65675,-100.0
65732,-100.0
65756,-100.0
65770,-100.0
65790,-100.0
65819,-100.0
65841,-100.0
65880,-100.0
65893,-100.0
65955,-100.0
65963,-100.0
65987,-100.0
66011,-100.0
66071,-100.0
66099,-100.0
66113,-100.0
66132,-100.0
66139,-100.0
66167,-100.0
66185,-100.0
66199,-100.0
66226,-100.0
66249,-100.0
66258,-100.0
66696,-100.0
66718,-100.0
66740,-100.0
66748,-100.0
66768,-100.0
66780,-100.0
66826,-100.0
66849,-100.0
66885,-100.0
66891,-100.0
66912,-100.0
66919,-100.0
66957,-100.0
66969,-100.0
66986,-100.0
66997,-100.0
67030,-100.0
68168,-100.0
68186,-100.0
68191,-100.0
68209,-100.0
68213,-100.0
68227,-100.0
68232,-100.0
68261,-100.0
68266,-100.0
68279,-100.0
68283,-100.0
68314,-100.0
68318,-100.0
68348,-100.0
68514,-100.0
68531,-100.0
68536,-100.0
68566,-100.0
68570,-100.0
68600,-100.0
68843,-100.0
68861,-100.0
68867,-100.0
68894,-100.0
68900,-100.0
68928,-100.0
68933,-100.0
68947,-100.0
68951,-100.0
68980,-100.0
75756,-100.0
75841,-100.0
75866,-100.0
75873,-100.0
75892,-100.0
75906,-100.0
75927,-100.0
75943,-100.0
75957,-100.0
75986,-100.0
75996,-100.0
76010,-100.0
76030,-100.0
76060,-100.0
76073,-100.0
76099,-100.0
76111,-100.0
76127,-100.0
76142,-100.0
76158,-100.0
76169,-100.0
76187,-100.0
76205,-100.0
76219,-100.0
76237,-100.0
76260,-100.0
76280,-100.0
76295,-100.0
76305,-100.0
76322,-100.0
76337,-100.0
76357,-100.0
76369,-100.0
76387,-100.0
76410,-100.0
76419,-100.0
76447,-100.0
76457,-100.0
76476,-100.0
76486,-100.0
76510,-100.0
76537,-100.0
76562,-100.0
76578,-100.0
76597,-100.0
76610,-100.0
76617,-100.0
76627,-100.0
76633,-100.0
76639,-100.0
76649,-100.0
76665,-100.0
76668,-100.0
76672,-100.0
76682,-100.0
76690,-100.0
76696,-100.0
76700,-100.0
76708,-100.0
76710,-100.0
76718,-100.0
76724,-100.0
76725,-100.0
76731,-100.0
76742,-100.0
76745,-100.0
76749,-100.0
76757,-100.0
76759,-100.0
76781,-100.0
76782,-100.0
76794,-100.0
76796,-100.0
76807,-100.0
76817,-100.0
76831,-100.0
76848,-100.0
76866,-100.0
76906,-100.0
76919,-100.0
76957,-100.0
76977,-100.0
77022,-100.0
77040,-100.0
77049,-100.0
77065,-100.0
77083,-100.0
77099,-100.0
77106,-100.0
77117,-100.0
77123,-100.0
77135,-100.0
77146,-100.0
77158,-100.0
77165,-100.0
77176,-100.0
77301,-100.0
77317,-100.0
77323,-100.0
77333,-100.0
77355,-100.0
77357,-100.0
77379,-100.0
77392,-100.0
77398,-100.0
77411,-100.0
77431,-100.0
77444,-100.0
77612,-100.0
77630,-100.0
77652,-100.0
77662,-100.0
77692,-100.0
77704,-100.0
77726,-100.0
77735,-100.0
80412,-100.0
80447,-100.0
80452,-100.0
80480,-100.0
80506,-100.0
80516,-100.0
80522,-100.0
80551,-100.0
80564,-100.0
80575,-100.0
80601,-100.0
80614,-100.0
80935,-100.0
80952,-100.0
80979,-100.0
80989,-100.0
80998,-100.0
81010,-100.0
81499,-100.0
81513,-100.0
81536,-100.0
81547,-100.0
81554,-100.0
81565,-100.0
81589,-100.0
81600,-100.0
81628,-100.0
81642,-100.0
81665,-100.0
81675,-100.0
81683,-100.0
81695,-100.0
81718,-100.0
81729,-100.0
81753,-100.0
81766,-100.0
81788,-100.0
81804,-100.0
81825,-100.0
81837,-100.0
81849,-100.0
81861,-100.0
81884,-100.0
81895,-100.0
81917,-100.0
81933,-100.0
81956,-100.0
81968,-100.0
81989,-100.0
81999,-100.0
82021,-100.0
82035,-100.0
82046,-100.0
82059,-100.0
82081,-100.0
82092,-100.0
82117,-100.0
82129,-100.0
82154,-100.0
82167,-100.0
82192,-100.0
82203,-100.0
82239,-100.0
82259,-100.0
82275,-100.0
82289,-100.0
82318,-100.0
82336,-100.0
82377,-100.0
82396,-100.0
82430,-100.0
82449,-100.0
82480,-100.0
82502,-100.0
82536,-100.0
82549,-100.0
82575,-100.0
82591,-100.0
82621,-100.0
82635,-100.0
82663,-100.0
82674,-100.0
82698,-100.0
82707,-100.0
82731,-100.0
82745,-100.0
82769,-100.0
82780,-100.0
82783,-100.0
82798,-100.0
82836,-100.0
82840,-100.0
82858,-100.0
82872,-100.0
82888,-100.0
82898,-100.0
82920,-100.0
82932,-100.0
82952,-100.0
82967,-100.0
82982,-100.0
83001,-100.0
83058,-100.0
83070,-100.0
83107,-100.0
83130,-100.0
83152,-100.0
83167,-100.0
83199,-100.0
83221,-100.0
83251,-100.0
83269,-100.0
83288,-100.0
83299,-100.0
83326,-100.0
83339,-100.0
83356,-100.0
83365,-100.0
83380,-100.0
83398,-100.0
83502,-100.0
83514,-100.0
83521,-100.0
83556,-100.0
83557,-100.0
83562,-100.0
83568,-100.0
83570,-100.0
83579,-100.0
83584,-100.0
83587,-100.0
83588,-100.0
83596,-100.0
83618,-100.0
83625,-100.0
83634,-100.0
83639,-100.0
83655,-100.0
83656,-100.0
83664,-100.0
83667,-100.0
83669,-100.0
83672,-100.0
83684,-100.0
83688,-100.0
83690,-100.0
83706,-100.0
83715,-100.0
83716,-100.0
83717,-100.0
83718,-100.0
83730,-100.0
83750,-100.0
83751,-100.0
83769,-100.0
83800,-100.0
83819,-100.0
83833,-100.0
83847,-100.0
83849,-100.0
83858,-100.0
83879,-100.0
83883,-100.0
83890,-100.0
83895,-100.0
83899,-100.0
83909,-100.0
83920,-100.0
83921,-100.0
83922,-100.0
83931,-100.0
83955,-100.0
83967,-100.0
83968,-100.0
83979,-100.0
83989,-100.0
83999,-100.0
84006,-100.0
84011,-100.0
84023,-100.0
84025,-100.0
84035,-100.0
84081,-100.0
84101,-100.0
84103,-100.0
84116,-100.0
84137,-100.0
84142,-100.0
84149,-100.0
84171,-100.0
84175,-100.0
84182,-100.0
84190,-100.0
84203,-100.0
84220,-100.0
84237,-100.0
84254,-100.0
84257,-100.0
84271,-100.0
84301,-100.0
84335,-100.0
84336,-100.0
84337,-100.0
84346,-100.0
84353,-100.0
84356,-100.0
84369,-100.0
84376,-100.0
84384,-100.0
84388,-100.0
84403,-100.0
84411,-100.0
84413,-100.0
84415,-100.0
84422,-100.0
84457,-100.0
84472,-100.0
84495,-100.0
84507,-100.0
84519,-100.0
84523,-100.0
84539,-100.0
84550,-100.0
84569,-100.0
84579,-100.0
84597,-100.0
84602,-100.0
84604,-100.0
84609,-100.0
84611,-100.0
84624,-100.0
84631,-100.0
84641,-100.0
84642,-100.0
84651,-100.0
84670,-100.0
84681,-100.0
84705,-100.0
84717,-100.0
84719,-100.0
84731,-100.0
84749,-100.0
84767,-100.0
84779,-100.0
84835,-100.0
84836,-100.0
84842,-100.0
84843,-100.0
84866,-100.0
84872,-100.0
84880,-100.0
84882,-100.0
84900,-100.0
84903,-100.0
84911,-100.0
84915,-100.0
84939,-100.0
84951,-100.0
84957,-100.0
85045,-100.0
85064,-100.0
85082,-100.0
85088,-100.0
85106,-100.0
85118,-100.0
85126,-100.0
85140,-100.0
85154,-100.0
85155,-100.0
85159,-100.0
85162,-100.0
85166,-100.0
85175,-100.0
85196,-100.0
85206,-100.0
85219,-100.0
85224,-100.0
85239,-100.0
85246,-100.0
85248,-100.0
85255,-100.0
85283,-100.0
85299,-100.0
85319,-100.0
85323,-100.0
85329,-100.0
85334,-100.0
85335,-100.0
85346,-100.0
85364,-100.0
85378,-100.0
85384,-100.0
85398,-100.0
85411,-100.0
85434,-100.0
85447,-100.0
85448,-100.0
85457,-100.0
85462,-100.0
85468,-100.0
85470,-100.0
85483,-100.0
85491,-100.0
85492,-100.0
85501,-100.0
85512,-100.0
85517,-100.0
85527,-100.0
85531,-100.0
85532,-100.0
85552,-100.0
85571,-100.0
85587,-100.0
85590,-100.0
85605,-100.0
85634,-100.0
85638,-100.0
85661,-100.0
85668,-100.0
85695,-100.0
