,AMWN796XA8EMA,A2RG35OL29USI,A1CF1W8CP0DHB,A21LNC7SH15DN
70067,-100.0,-100.0,-100.0,-100.0
70156,-100.0,-100.0,-100.0,-100.0
70198,-100.0,-100.0,-100.0,-100.0
70292,-100.0,-100.0,-100.0,-100.0
70313,-100.0,-100.0,-100.0,-100.0
70436,-100.0,-100.0,-100.0,-100.0
70535,-100.0,-100.0,-100.0,-100.0
70582,-100.0,-100.0,-100.0,-100.0
70665,-100.0,-100.0,-100.0,-100.0
70725,-100.0,-100.0,-100.0,-100.0
70800,-100.0,-100.0,-100.0,-100.0
70835,-100.0,-100.0,-100.0,-100.0
70930,-100.0,-100.0,-100.0,-100.0
70963,-100.0,-100.0,-100.0,-100.0
70998,-100.0,-100.0,-100.0,-100.0
71122,-100.0,-100.0,-100.0,-100.0
71157,-100.0,-100.0,-100.0,-100.0
71179,-100.0,-100.0,-100.0,-100.0
71210,-100.0,-100.0,-100.0,-100.0
71232,-100.0,-100.0,-100.0,-100.0
71339,-100.0,-100.0,-100.0,-100.0
71403,-100.0,-100.0,-100.0,-100.0
71474,-100.0,-100.0,-100.0,-100.0
71668,-100.0,-100.0,-100.0,-100.0
71714,-100.0,-100.0,-100.0,-100.0
71951,-100.0,-100.0,-100.0,-100.0
72048,-100.0,-100.0,-100.0,-100.0
72092,-100.0,-100.0,-100.0,-100.0
72122,-100.0,-100.0,-100.0,-100.0
72139,-100.0,-100.0,-100.0,-100.0
72173,-100.0,-100.0,-100.0,-100.0
72217,-100.0,-100.0,-100.0,-100.0
72242,-100.0,-100.0,-100.0,-100.0
72264,-100.0,-100.0,-100.0,-100.0
72282,-100.0,-100.0,-100.0,-100.0
72297,-100.0,-100.0,-100.0,-100.0
72318,-100.0,-100.0,-100.0,-100.0
72414,-100.0,-100.0,-100.0,-100.0
72458,-100.0,-100.0,-100.0,-100.0
72473,-100.0,-100.0,-100.0,-100.0
72498,-100.0,-100.0,-100.0,-100.0
72516,-100.0,-100.0,-100.0,-100.0
72535,-100.0,-100.0,-100.0,-100.0
72572,-100.0,-100.0,-100.0,-100.0
72614,-100.0,-100.0,-100.0,-100.0
72629,-100.0,-100.0,-100.0,-100.0
72666,-100.0,-100.0,-100.0,-100.0
72679,-100.0,-100.0,-100.0,-100.0
72702,-100.0,-100.0,-100.0,-100.0
72716,-100.0,-100.0,-100.0,-100.0
72740,-100.0,-100.0,-100.0,-100.0
