,ACBG07QLGIDP0
652353,-100.0
653052,-100.0
653070,-100.0
653085,-100.0
653102,-100.0
653119,-100.0
653135,-100.0
653152,-100.0
653169,-100.0
653185,-100.0
653202,-100.0
653219,-100.0
653236,-100.0
653535,-100.0
653554,-100.0
653569,-100.0
653585,-100.0
653602,-100.0
653619,-100.0
653635,-100.0
653652,-100.0
653669,-100.0
653686,-100.0
654752,-100.0
654770,-100.0
654785,-100.0
654802,-100.0
658152,-100.0
658170,-100.0
658185,-100.0
658202,-100.0
658219,-100.0
658236,-100.0
658252,-100.0
658269,-100.0
658285,-100.0
658302,-100.0
658319,-100.0
659031,-100.0
659049,-100.0
659065,-100.0
659082,-100.0
659098,-100.0
659115,-100.0
659281,-100.0
659299,-100.0
659315,-100.0
659332,-100.0
659348,-100.0
659652,-100.0
659670,-100.0
659686,-100.0
659702,-100.0
659719,-100.0
659735,-100.0
659752,-100.0
659769,-100.0
659786,-100.0
659802,-100.0
659819,-100.0
661465,-100.0
661482,-100.0
661498,-100.0
661515,-100.0
661532,-100.0
661549,-100.0
661565,-100.0
661582,-100.0
661598,-100.0
661615,-100.0
661631,-100.0
661748,-100.0
661766,-100.0
661782,-100.0
661798,-100.0
661815,-100.0
661832,-100.0
661848,-100.0
661865,-100.0
661882,-100.0
661898,-100.0
661915,-100.0
664551,-100.0
664567,-100.0
664571,-100.0
664583,-100.0
664587,-100.0
664633,-100.0
664770,-100.0
664802,-100.0
664806,-100.0
664819,-100.0
664823,-100.0
664834,-100.0
664838,-100.0
664851,-100.0
664855,-100.0
664869,-100.0
665658,-100.0
665674,-100.0
665677,-100.0
665690,-100.0
665693,-100.0
665708,-100.0
665710,-100.0
665723,-100.0
665726,-100.0
665740,-100.0
665743,-100.0
665757,-100.0
665760,-100.0
665774,-100.0
665778,-100.0
665791,-100.0
668352,-100.0
668370,-100.0
668386,-100.0
668402,-100.0
668419,-100.0
668431,-100.0
668435,-100.0
668449,-100.0
668454,-100.0
668465,-100.0
668482,-100.0
668498,-100.0
668515,-100.0
668532,-100.0
668549,-100.0
668569,-100.0
668586,-100.0
668602,-100.0
668619,-100.0
668632,-100.0
668636,-100.0
668649,-100.0
668652,-100.0
668665,-100.0
668669,-100.0
668682,-100.0
668698,-100.0
668715,-100.0
668832,-100.0
668849,-100.0
