,A141CB4BKDYKD,AOSBRJKYSSGDA_x,AOEGJLWFISOZQ,AW62F9SMXXTFH,ACM1CEGHXTKZP
18279,-100.0,-100.0,-100.0,-100.0,-100.0
18317,-100.0,-100.0,-100.0,-100.0,-100.0
18501,-100.0,-100.0,-100.0,-100.0,-100.0
18532,-100.0,-100.0,-100.0,-100.0,-100.0
18573,-100.0,-100.0,-100.0,-100.0,-100.0
18638,-100.0,-100.0,-100.0,-100.0,-100.0
18683,-100.0,-100.0,-100.0,-100.0,-100.0
18725,-100.0,-100.0,-100.0,-100.0,-100.0
18817,-100.0,-100.0,-100.0,-100.0,-100.0
18862,-100.0,-100.0,-100.0,-100.0,-100.0
18883,-100.0,-100.0,-100.0,-100.0,-100.0
18901,-100.0,-100.0,-100.0,-100.0,-100.0
18937,-100.0,-100.0,-100.0,-100.0,-100.0
18990,-100.0,-100.0,-100.0,-100.0,-100.0
19015,-100.0,-100.0,-100.0,-100.0,-100.0
19032,-100.0,-100.0,-100.0,-100.0,-100.0
19042,-100.0,-100.0,-100.0,-100.0,-100.0
19060,-100.0,-100.0,-100.0,-100.0,-100.0
19165,-100.0,-100.0,-100.0,-100.0,-100.0
19232,-100.0,-100.0,-100.0,-100.0,-100.0
19266,-100.0,-100.0,-100.0,-100.0,-100.0
19297,-100.0,-100.0,-100.0,-100.0,-100.0
19320,-100.0,-100.0,-100.0,-100.0,-100.0
19554,-100.0,-100.0,-100.0,-100.0,-100.0
19558,-100.0,-100.0,-100.0,-100.0,-100.0
19573,-100.0,-100.0,-100.0,-100.0,-100.0
