,AM2RT8BYNQFDR,A3TDR6MXS6UO5,A1CF1W8CP0DHB,A1CRR9EZ64R0P
29274,-40.0,-93.0,,
29288,-40.0,-93.0,,
29355,-40.0,-93.0,,
29366,-40.0,-93.0,,
29402,-40.0,-93.0,,
29417,-40.0,-93.0,,
29455,-40.0,-93.0,,
29543,-40.0,-93.0,,
29555,-40.0,-93.0,,
29588,-40.0,-93.0,,
29596,-40.0,-93.0,,
29745,-40.0,-93.0,,
29748,-40.0,-93.0,,
29759,-40.0,-93.0,,
29794,-40.0,-93.0,,
29930,-40.0,-93.0,,
29939,-40.0,-93.0,,
29956,-40.0,-93.0,,
29972,-40.0,-93.0,,
30095,-40.0,-93.0,,
30137,-40.0,-93.0,,
30243,-40.0,-93.0,,
30250,-40.0,-93.0,,
30404,-40.0,-93.0,,
30421,-40.0,-93.0,,
30431,-40.0,-93.0,,
30448,-40.0,-93.0,,
30462,-40.0,-93.0,,
30552,-40.0,-93.0,,
30571,-40.0,-93.0,,
30588,-40.0,-93.0,,
30604,-40.0,-93.0,,
30612,-40.0,-93.0,,
30624,-40.0,-93.0,,
30633,-40.0,-93.0,,
30644,-40.0,-93.0,,
30683,-40.0,-93.0,,
30703,-40.0,-93.0,,
30761,-40.0,-93.0,,
30771,-40.0,-93.0,,
30827,-40.0,-93.0,,
30834,-40.0,-93.0,,
30869,-40.0,-93.0,,
30893,-40.0,-93.0,,
30905,-40.0,-93.0,,
30920,-40.0,-93.0,,
30933,-40.0,-93.0,,
30951,-40.0,-93.0,,
30967,-40.0,-93.0,,
31028,-40.0,-93.0,,
31137,-40.0,-93.0,,
31209,-40.0,-93.0,,
31269,-40.0,-93.0,,
31285,-40.0,-93.0,,
31300,-40.0,-93.0,,
31315,-40.0,-93.0,,
31447,-40.0,-93.0,,
31457,-40.0,-93.0,,
31466,-40.0,-93.0,,
31556,-40.0,-93.0,,
31608,-40.0,-93.0,,
31688,-40.0,-93.0,,
31699,-40.0,-93.0,,
31714,-40.0,-93.0,,
31742,-40.0,-93.0,,
31829,-40.0,-93.0,,
31837,-40.0,-93.0,,
31853,-40.0,-93.0,,
31860,-40.0,-93.0,,
31930,-40.0,-93.0,,
31950,-40.0,-93.0,,
31970,-40.0,-93.0,,
31984,-40.0,-93.0,,
31999,-40.0,-93.0,,
32008,-40.0,-93.0,,
32028,-40.0,-93.0,,
32034,-40.0,-93.0,,
32035,-40.0,-93.0,,
32962,-40.0,-93.0,,
32980,-39.0,-93.0,,
33011,-38.0,-93.0,,
33045,-35.0,-93.0,,
33062,-34.0,-93.0,,
33079,-33.0,-93.0,,
33113,-31.0,-93.0,,
37766,-31.0,-93.0,,
37785,-31.0,-93.0,,
37817,-31.0,-93.0,,
37837,-31.0,-93.0,,
37872,-31.0,-93.0,,
37906,-31.0,-93.0,,
37941,-31.0,-93.0,,
37947,-31.0,-93.0,,
37967,-31.0,-93.0,,
37983,-31.0,-93.0,,
38016,-31.0,-93.0,,
38035,-31.0,-93.0,,
38053,-31.0,-93.0,,
38087,-31.0,-93.0,,
38121,-31.0,-93.0,,
38140,-31.0,-93.0,,
38163,-31.0,-93.0,,
38199,-31.0,-93.0,,
38216,-31.0,-93.0,,
38251,-31.0,-93.0,,
38286,-31.0,-93.0,,
38305,-31.0,-93.0,,
38341,-31.0,-93.0,,
38358,-31.0,-93.0,,
38381,-31.0,-93.0,,
38416,-31.0,-93.0,,
38451,-31.0,-93.0,,
38468,-31.0,-93.0,,
38503,-31.0,-93.0,,
38523,-31.0,-93.0,,
38544,-31.0,-93.0,,
38561,-31.0,-93.0,,
38576,-31.0,-93.0,,
38589,-31.0,-93.0,,
38601,-31.0,-93.0,,
38619,-31.0,-93.0,,
38639,-31.0,-93.0,,
38652,-31.0,-93.0,,
38670,-31.0,-93.0,,
38688,-31.0,-93.0,,
38705,-31.0,-93.0,,
38724,-31.0,-93.0,,
38738,-31.0,-93.0,,
38756,-31.0,-93.0,,
38773,-31.0,-93.0,,
38791,-31.0,-93.0,,
38798,-31.0,-93.0,,
38820,-31.0,-93.0,,
38832,-31.0,-93.0,,
38849,-31.0,-93.0,,
38867,-31.0,-93.0,,
38887,-31.0,-93.0,,
38901,-31.0,-93.0,,
38920,-31.0,-93.0,,
38940,-31.0,-93.0,,
38955,-31.0,-93.0,,
38973,-31.0,-93.0,,
38990,-31.0,-93.0,,
39006,-31.0,-93.0,,
39014,-31.0,-93.0,,
39032,-31.0,-93.0,,
39048,-31.0,-93.0,,
39067,-31.0,-93.0,,
39074,-31.0,-93.0,,
39075,-31.0,-93.0,-100.0,
39084,-31.0,-93.0,-99.5,
39089,-31.0,-93.0,-99.0,
39096,-31.0,-93.0,-99.0,
39101,-31.0,-93.0,-98.33333333333333,
39121,-31.0,-93.0,-97.66666666666667,
39122,-31.0,-93.0,-97.0,
39137,-31.0,-93.0,-97.0,
39150,-31.0,-93.0,-97.0,
39156,-31.0,-93.0,-96.25,
39172,-31.0,-93.0,-95.5,
39188,-31.0,-93.0,-94.75,
39190,-31.0,-93.0,-94.0,
39198,-31.0,-93.0,-94.0,
39206,-31.0,-93.0,-93.5,
39211,-31.0,-93.0,-93.0,
39224,-31.0,-93.0,-93.0,
39231,-31.0,-93.0,-93.0,
39240,-31.0,-93.0,-93.0,
39249,-31.0,-93.0,-92.5,
39255,-31.0,-93.0,-92.0,
39262,-31.0,-93.0,-92.0,
39267,-31.0,-93.0,-91.5,
39274,-31.0,-93.0,-91.0,
39283,-31.0,-93.0,-91.0,
39297,-31.0,-93.0,-91.0,
39302,-31.0,-93.0,-90.5,
39306,-31.0,-93.0,-90.0,
39318,-31.0,-93.0,-90.0,
39328,-31.0,-93.0,-90.0,
39336,-31.0,-93.0,-89.5,
39341,-31.0,-93.0,-89.0,
39350,-31.0,-93.0,-89.0,
39354,-31.0,-93.0,-88.5,
39363,-31.0,-93.0,-88.0,
39370,-31.0,-93.0,-88.0,
39388,-31.0,-93.0,-88.0,
39390,-31.0,-93.0,-87.5,
39399,-31.0,-93.0,-87.0,
39406,-31.0,-93.0,-87.0,
39420,-31.0,-93.0,-87.0,
39424,-31.0,-93.0,-86.5,
39429,-31.0,-93.0,-86.0,
39432,-31.0,-93.0,-86.0,
39451,-31.0,-93.0,-86.0,
39455,-31.0,-93.0,-86.0,
39463,-31.0,-93.0,-85.0,
39465,-31.0,-93.0,-85.0,
39481,-31.0,-93.0,-85.0,
39490,-31.0,-93.0,-85.0,
39499,-31.0,-93.0,-84.0,
39500,-31.0,-93.0,-84.0,
39518,-31.0,-93.0,-84.0,
39521,-31.0,-93.0,-84.0,
39531,-31.0,-93.0,-83.0,
39536,-31.0,-93.0,-83.0,
39552,-31.0,-93.0,-83.0,
39558,-31.0,-93.0,-83.0,
39570,-31.0,-93.0,-82.5,
39572,-31.0,-93.0,-82.0,
39587,-31.0,-93.0,-82.0,
39600,-31.0,-93.0,-82.0,
39605,-31.0,-93.0,-81.5,
39612,-31.0,-93.0,-81.0,
39622,-31.0,-93.0,-81.0,
39636,-31.0,-93.0,-81.0,
39642,-31.0,-93.0,-80.5,
39646,-31.0,-93.0,-80.0,
39657,-31.0,-93.0,-80.0,
39665,-31.0,-93.0,-80.0,
39667,-31.0,-93.0,-80.0,
39676,-31.0,-93.0,-79.0,
39681,-31.0,-93.0,-79.0,
39699,-31.0,-93.0,-79.0,
39701,-31.0,-93.0,-79.0,
39712,-31.0,-93.0,-78.0,
39718,-31.0,-93.0,-78.0,
39734,-31.0,-93.0,-78.0,
39736,-31.0,-93.0,-78.0,
39745,-31.0,-93.0,-77.0,
39752,-31.0,-93.0,-77.0,
39767,-31.0,-93.0,-77.0,
39769,-31.0,-93.0,-76.5,
39779,-31.0,-93.0,-76.0,
39790,-31.0,-93.0,-76.0,
39803,-31.0,-93.0,-76.0,
39805,-31.0,-93.0,-75.5,
39814,-31.0,-93.0,-75.0,
39836,-31.0,-93.0,-75.0,
39848,-31.0,-93.0,-74.0,
39871,-31.0,-93.0,-74.0,
39884,-31.0,-93.0,-73.0,
39909,-31.0,-93.0,-73.0,
39919,-31.0,-93.0,-72.0,
39940,-31.0,-93.0,-72.0,
39952,-31.0,-93.0,-71.0,
39980,-31.0,-93.0,-71.0,
39990,-31.0,-93.0,-70.0,
40013,-31.0,-93.0,-70.0,
40024,-31.0,-93.0,-69.0,
40049,-31.0,-93.0,-69.0,
40060,-31.0,-93.0,-68.0,
40066,-31.0,-93.0,-68.0,
