,AYYSG3O9FNU15,AOEGJLWFISOZQ,A4FNENGCDFSOG,AJE5OG666CBAC
237515,-100.0,-88.0,-100.0,
237530,-100.0,-88.0,-100.0,
237531,-100.0,-88.0,-100.0,
237546,-100.0,-88.0,-100.0,
237548,-100.0,-88.0,-100.0,
237563,-100.0,-88.0,-100.0,
237916,-100.0,-88.0,-100.0,
237957,-99.0,-88.0,-100.0,
237961,-98.8,-88.0,-100.0,
237977,-98.6,-88.0,-100.0,
237981,-98.4,-88.0,-100.0,
237995,-98.2,-88.0,-100.0,
237997,-98.0,-88.0,-100.0,
238001,-97.4,-88.0,-100.0,
238010,-96.8,-88.0,-100.0,
238018,-96.2,-88.0,-100.0,
238036,-95.6,-88.0,-100.0,
238038,-95.0,-88.0,-100.0,
238042,-94.66666666666667,-88.0,-100.0,
238054,-94.33333333333333,-88.0,-100.0,
238061,-94.0,-88.0,-100.0,
238075,-93.66666666666667,-88.0,-100.0,
238079,-93.33333333333333,-88.0,-100.0,
238080,-93.0,-88.0,-100.0,
238094,-93.0,-88.0,-100.0,
238103,-93.0,-88.0,-100.0,
238115,-93.0,-88.0,-100.0,
238119,-93.0,-88.0,-100.0,
238151,-93.0,-88.0,-100.0,
238155,-93.0,-88.0,-100.0,
238165,-93.0,-88.0,-100.0,
238170,-93.0,-88.0,-100.0,
238191,-93.0,-88.0,-100.0,
238197,-93.0,-88.0,-100.0,
238210,-93.0,-88.0,-100.0,
238214,-93.0,-88.0,-100.0,
238241,-93.0,-88.0,-100.0,
238242,-93.2,-88.0,-100.0,
238251,-93.4,-88.0,-100.0,
238261,-93.6,-88.0,-100.0,
238275,-93.8,-88.0,-100.0,
238282,-94.0,-88.0,-100.0,
238288,-94.4,-88.0,-100.0,
238293,-94.8,-88.0,-100.0,
238304,-95.2,-88.0,-100.0,
238308,-95.6,-88.0,-100.0,
238323,-96.0,-88.0,-100.0,
238325,-96.5,-88.0,-100.0,
238344,-97.0,-88.0,-100.0,
238357,-97.5,-88.0,-100.0,
238363,-98.0,-88.0,-100.0,
238364,,-88.0,-100.0,
238374,,-88.0,-100.0,
238380,,-88.0,-100.0,
238394,,-88.0,-100.0,
238397,,-88.0,-100.0,
238410,,-88.0,-100.0,
238416,,-88.0,-100.0,
238428,,-88.0,-100.0,
238435,,-88.0,-100.0,
238444,,-88.0,-100.0,
238454,,-88.0,-100.0,
238468,,-88.0,-100.0,
238482,,-88.0,-100.0,
238496,,-88.0,-100.0,
238515,,-88.0,-100.0,
238524,,-88.0,-100.0,
238528,,-88.0,-100.0,
238542,,-88.0,-100.0,
238548,,-88.0,-100.0,
238561,,-88.0,-100.0,
238565,,-88.0,-100.0,
238582,,-88.0,-100.0,
238586,,-88.0,-100.0,
238599,,-88.0,-100.0,
238603,,-88.0,-100.0,
238614,,-88.0,-100.0,
238617,,-88.0,-100.0,
238625,,-88.0,-100.0,
238631,,-88.0,-100.0,
238651,,-88.0,-100.0,
238826,,-88.0,-100.0,
238839,,-88.0,-100.0,
238845,,-88.0,-100.0,
238864,,-88.0,-100.0,
238896,,-88.0,-100.0,
238911,,-88.0,-100.0,
238920,,-88.0,-100.0,
238934,,-88.0,-100.0,
238965,,-88.0,-100.0,
238979,,-88.0,-100.0,
238985,,-88.0,-100.0,
239014,,-88.0,-100.0,
239025,,-88.0,-100.0,
239040,,-88.0,-100.0,
239048,,-88.0,-100.0,
239067,,-88.0,-100.0,
239076,,-88.0,-100.0,
239094,,-88.0,-100.0,
239101,,-88.0,-100.0,
239114,,-88.0,-100.0,
239115,,-88.0,-100.0,
239503,,-88.0,-100.0,
239520,,-89.0,-100.0,
239537,,-90.0,-100.0,
241911,,-90.0,-100.0,
241912,,-90.0,-100.0,
241926,,-90.0,-100.0,
241931,,-90.0,-100.0,
241941,,-90.0,-100.0,
241946,,-90.0,-100.0,
241970,,-90.0,-100.0,
241974,,-90.0,-100.0,
241991,,-90.0,-100.0,
242014,,-90.0,-100.0,
242024,,-90.0,-100.0,
242031,,-90.0,-100.0,
242057,,-90.0,-100.0,
242067,,-90.0,-100.0,
242089,,-90.0,-100.0,
242094,,-90.0,-100.0,
242119,,-90.0,-100.0,
242126,,-90.0,-100.0,
242137,,-90.0,-100.0,
242142,,-90.0,-100.0,
242158,,-90.0,-100.0,
242162,,-90.0,-100.0,
242183,,-90.0,-100.0,
242188,,-90.0,-100.0,
242199,,-90.0,-100.0,
242204,,-90.0,-100.0,
242215,,-90.0,-100.0,
242223,,-90.0,-100.0,
242234,,-90.0,-100.0,
242238,,-90.0,-100.0,
242255,,-90.0,-100.0,
242256,,-90.0,-100.0,
243693,,-90.0,-100.0,
243694,,-90.0,-100.0,
243709,,-90.0,-100.0,
243720,,-90.0,-100.0,
243746,,-90.0,-100.0,
243772,,-90.0,-100.0,
243794,,-90.0,-100.0,
243802,,-90.0,-100.0,
243817,,-90.0,-100.0,
243852,,-90.0,-100.0,
243866,,-90.0,-100.0,
243878,,-90.0,-100.0,
243903,,-90.0,-100.0,
243915,,-90.0,-100.0,
243930,,-90.0,-100.0,
243942,,-90.0,-100.0,
243960,,-90.0,-100.0,
244262,,-90.0,-100.0,
