,ACBG07QLGIDP0,AOEGJLWFISOZQ,ACM1CEGHXTKZP
91076,-100.0,-100.0,-100.0
91092,-100.0,-100.0,-100.0
91109,-100.0,-100.0,-100.0
91125,-100.0,-100.0,-100.0
91959,-100.0,-100.0,-100.0
91975,-100.0,-100.0,-100.0
91992,-100.0,-100.0,-100.0
92009,-100.0,-100.0,-100.0
92025,-100.0,-100.0,-100.0
92042,-100.0,-100.0,-100.0
92059,-100.0,-100.0,-100.0
92075,-100.0,-100.0,-100.0
92092,-100.0,-100.0,-100.0
92109,-100.0,-100.0,-100.0
92125,-100.0,-100.0,-100.0
92292,-100.0,-100.0,-100.0
92309,-100.0,-100.0,-100.0
92326,-100.0,-100.0,-100.0
92342,-100.0,-100.0,-100.0
92359,-100.0,-100.0,-100.0
92375,-100.0,-100.0,-100.0
92392,-100.0,-100.0,-100.0
92409,-100.0,-100.0,-100.0
92425,-100.0,-100.0,-100.0
92509,-100.0,-100.0,-100.0
92525,-100.0,-100.0,-100.0
92542,-100.0,-100.0,-100.0
92559,-100.0,-100.0,-100.0
92575,-100.0,-100.0,-100.0
92592,-100.0,-100.0,-100.0
92609,-100.0,-100.0,-100.0
92625,-100.0,-100.0,-100.0
92642,-100.0,-100.0,-100.0
92659,-100.0,-100.0,-100.0
93592,-100.0,-100.0,-100.0
93609,-100.0,-100.0,-100.0
93625,-100.0,-100.0,-100.0
93642,-100.0,-100.0,-100.0
93659,-100.0,-100.0,-100.0
93675,-100.0,-100.0,-100.0
93692,-100.0,-100.0,-100.0
93709,-100.0,-100.0,-100.0
93725,-100.0,-100.0,-100.0
93742,-100.0,-100.0,-100.0
93758,-100.0,-100.0,-100.0
93775,-100.0,-100.0,-100.0
94209,-100.0,-100.0,-100.0
94225,-100.0,-100.0,-100.0
94242,-100.0,-100.0,-100.0
94259,-100.0,-100.0,-100.0
94275,-100.0,-100.0,-100.0
94291,-100.0,-100.0,-100.0
94309,-100.0,-100.0,-100.0
94326,-100.0,-100.0,-100.0
94342,-100.0,-100.0,-100.0
94359,-100.0,-100.0,-100.0
94375,-100.0,-100.0,-100.0
95491,-100.0,-100.0,-100.0
95508,-100.0,-100.0,-100.0
95524,-100.0,-100.0,-100.0
95542,-100.0,-100.0,-100.0
95559,-100.0,-100.0,-100.0
95575,-100.0,-100.0,-100.0
95592,-100.0,-100.0,-100.0
95608,-100.0,-100.0,-100.0
95626,-100.0,-100.0,-100.0
95642,-100.0,-100.0,-100.0
95659,-100.0,-100.0,-100.0
95959,-100.0,-100.0,-100.0
95975,-100.0,-100.0,-100.0
95992,-100.0,-100.0,-100.0
96008,-100.0,-100.0,-100.0
96025,-100.0,-100.0,-100.0
96042,-100.0,-100.0,-100.0
96059,-100.0,-100.0,-100.0
96075,-100.0,-100.0,-100.0
96092,-100.0,-100.0,-100.0
96108,-100.0,-100.0,-100.0
99225,-100.0,-100.0,-100.0
99242,-100.0,-100.0,-100.0
99259,-100.0,-100.0,-100.0
99275,-100.0,-100.0,-100.0
99292,-100.0,-100.0,-100.0
99309,-100.0,-100.0,-100.0
99326,-100.0,-100.0,-100.0
99342,-100.0,-100.0,-100.0
99358,-100.0,-100.0,-100.0
99375,-100.0,-100.0,-100.0
99392,-100.0,-100.0,-100.0
99410,-100.0,-100.0,-100.0
99425,-100.0,-100.0,-100.0
99442,-100.0,-100.0,-100.0
99675,-100.0,-100.0,-100.0
99692,-100.0,-100.0,-100.0
99709,-100.0,-100.0,-100.0
99725,-100.0,-100.0,-100.0
99742,-100.0,-100.0,-100.0
99759,-100.0,-100.0,-100.0
99775,-100.0,-100.0,-100.0
99792,-100.0,-100.0,-100.0
99809,-100.0,-100.0,-100.0
99825,-100.0,-100.0,-100.0
99842,-100.0,-100.0,-100.0
99859,-100.0,-100.0,-100.0
100992,-100.0,-100.0,-100.0
101008,-100.0,-100.0,-100.0
101025,-100.0,-100.0,-100.0
101042,-100.0,-100.0,-100.0
101059,-100.0,-100.0,-100.0
101075,-100.0,-100.0,-100.0
101092,-100.0,-100.0,-100.0
101108,-100.0,-100.0,-100.0
101126,-100.0,-100.0,-100.0
101142,-100.0,-100.0,-100.0
101159,-100.0,-100.0,-100.0
101175,-100.0,-100.0,-100.0
102792,-100.0,-100.0,-100.0
102808,-100.0,-100.0,-100.0
102825,-100.0,-100.0,-100.0
102842,-100.0,-100.0,-100.0
102859,-100.0,-100.0,-100.0
102874,-100.0,-100.0,-100.0
102891,-100.0,-100.0,-100.0
102909,-100.0,-100.0,-100.0
102925,-100.0,-100.0,-100.0
102942,-100.0,-100.0,-100.0
120749,-100.0,-100.0,-100.0
120767,-100.0,-100.0,-100.0
120783,-100.0,-100.0,-100.0
120800,-100.0,-100.0,-100.0
120816,-100.0,-100.0,-100.0
120833,-100.0,-100.0,-100.0
120850,-100.0,-100.0,-100.0
120867,-100.0,-100.0,-100.0
120883,-100.0,-100.0,-100.0
