,A2APLCDM5WB4D,AZSSG2REHDX18,AF8GOPFSTWCH8,AD2M4BF7KYVQW,ASL9LVC97FUCZ
8532,-31.0,-100.0,,-100.0,-32.0
8545,-31.0,-100.0,,-100.0,-32.0
8547,-31.0,-100.0,,-100.0,-32.0
8562,-31.0,-100.0,,-100.0,-32.0
8564,-31.0,-100.0,,-100.0,-32.0
8579,-31.0,-100.0,,-100.0,-32.0
8580,-31.0,-100.0,,-100.0,-32.0
8596,-31.0,-100.0,,-100.0,-32.0
8599,-31.0,-100.0,,-100.0,-32.0
8612,-31.0,-100.0,,-100.0,-32.0
8621,-31.0,-100.0,,-100.0,-32.0
8629,-30.5,-100.0,,-100.0,-32.0
8661,-30.0,-100.0,,-100.0,-32.0
8716,-29.625,-100.0,,-100.0,-32.0
8731,-29.25,-100.0,,-100.0,-32.0
8747,-28.875,-100.0,,-100.0,-32.0
8763,-28.5,-100.0,,-100.0,-32.0
8780,-28.125,-100.0,,-100.0,-32.0
8797,-27.75,-100.0,,-100.0,-32.0
8814,-27.375,-100.0,,-100.0,-32.0
8861,-27.0,-100.0,,-100.0,-32.0
8921,-26.0,-100.0,,-100.0,-32.0
8950,-25.5,-100.0,,-100.0,-32.0
8967,-25.0,-100.0,,-100.0,-32.0
8980,-24.5,-100.0,,-100.0,-32.0
9003,-24.0,-100.0,,-100.0,-32.0
9014,-23.5,-100.0,,-100.0,-32.0
9029,-23.0,-100.0,,-100.0,-32.0
9046,-22.5,-100.0,,-100.0,-32.0
9081,-22.0,-100.0,,-100.0,-32.0
9141,-21.0,-100.0,,-100.0,-32.0
9201,-19.0,-100.0,,-100.0,-32.0
9501,-15.0,-100.0,,-100.0,-32.0
9561,-14.0,-100.0,,-100.0,-32.0
9621,-11.0,-100.0,,-100.0,-32.0
9661,-10.0,-100.0,,-100.0,-32.0
9711,-8.0,-100.0,,-100.0,-32.0
10731,-8.0,-100.0,,-100.0,-32.0
10791,-7.0,-100.0,,-100.0,-32.0
10851,-5.0,-100.0,,-100.0,-32.0
10911,-2.0,-100.0,,-100.0,-32.0
10912,,-100.0,,-100.0,-32.0
10965,,-100.0,,-100.0,-32.0
10982,,-100.0,,-100.0,-32.0
10998,,-100.0,,-100.0,-32.0
11015,,-100.0,,-100.0,-32.0
11032,,-100.0,,-100.0,-32.0
