,AYTF9Q5TZX4IK,AF50K5H2FJWW0,AF8GOPFSTWCH8
38450,,-100.0,-95.0
38452,,-100.0,-95.02564102564102
38463,,-100.0,-95.05128205128206
38478,,-100.0,-95.07692307692308
38487,,-100.0,-95.1025641025641
38498,,-99.5,-95.12820512820512
38506,,-99.0,-95.15384615384616
38513,,-99.0,-95.17948717948718
38529,,-99.0,-95.2051282051282
38548,,-98.0,-95.23076923076923
38561,,-97.0,-95.25641025641026
38573,,-96.0,-95.28205128205128
38577,,-96.0,-95.3076923076923
38580,,-96.0,-95.33333333333333
38593,,-95.0,-95.35897435897436
38598,,-94.5,-95.38461538461539
38614,,-94.0,-95.41025641025641
38617,,-94.0,-95.43589743589743
38632,,-94.0,-95.46153846153847
38636,,-93.5,-95.48717948717949
38646,,-93.0,-95.51282051282051
38665,,-92.0,-95.53846153846153
38668,,-91.5,-95.56410256410257
38688,,-91.0,-95.58974358974359
38697,,-91.0,-95.61538461538461
38718,,-91.0,-95.64102564102564
38731,,-91.0,-95.66666666666667
38742,,-91.0,-95.6923076923077
38761,,-91.0,-95.71794871794872
38779,,-91.0,-95.74358974358974
38798,,-91.0,-95.76923076923077
38811,,-91.0,-95.7948717948718
38831,,-91.0,-95.82051282051282
38840,,-91.0,-95.84615384615384
38878,,-91.0,-95.87179487179488
38888,,-91.0,-95.8974358974359
38915,,-91.0,-95.92307692307692
38929,,-91.0,-95.94871794871794
38967,,-91.0,-95.97435897435898
38984,,-91.0,-96.0
39008,,-91.0,-96.5
39030,,-91.0,-97.0
39064,,-91.0,-98.5
39065,,-91.0,-100.0
39066,,-91.0,
39076,,-91.0,
39103,,-91.0,
39119,,-91.0,
39139,,-91.0,
39149,,-91.0,
39170,,-91.0,
39174,,-91.0,
39197,,-90.0,
39439,,-90.0,
39457,,-90.0,
39473,,-90.0,
39489,,-90.0,
39493,,-90.0,
39506,,-90.0,
39507,,-90.0,
39523,,-90.0,
39527,,-90.0,
39539,,-90.0,
39543,,-90.0,
39556,,-90.0,
39573,,-90.0,
39581,,-90.0,
39589,,-90.0,
39592,,-90.0,
39606,,-90.0,
39613,,-90.0,
39623,,-90.0,
39629,,-90.0,
39640,,-90.0,
39656,,-90.0,
39660,,-90.0,
39673,,-90.0,
39676,,-90.0,
39689,,-90.0,
39706,,-90.0,
39719,,-90.0,
39723,,-90.0,
39729,,-90.0,
39747,,-90.0,
39758,,-90.0,
39780,,-90.0,
39797,,-90.0,
39798,,-90.0,
39808,,-89.5,
39817,,-89.0,
39829,,-89.0,
39838,,-89.0,
39839,,-88.66666666666667,
39840,,-88.33333333333333,
39853,,-88.0,
39857,,-88.0,
39860,,-88.0,
39864,,-88.0,
39873,,-87.66666666666667,
39874,,-87.33333333333333,
39878,,-87.0,
39889,,-87.0,
39890,,-87.0,
39897,,-87.0,
39906,,-86.66666666666667,
39907,,-86.33333333333333,
39911,,-86.0,
39923,,-85.66666666666667,
39924,,-85.33333333333333,
39929,,-85.0,
39940,,-84.0,
39947,,-83.0,
39956,,-82.5,
39964,,-82.0,
39968,,-81.75,
39973,,-81.5,
39978,,-81.25,
39982,,-81.0,
39989,,-80.66666666666667,
39993,,-80.33333333333333,
39999,,-80.0,
40006,,-79.66666666666667,
40007,,-79.33333333333333,
40016,,-79.0,
40023,,-78.66666666666667,
40024,,-78.33333333333333,
40033,,-78.0,
40039,,-77.66666666666667,
40048,,-77.33333333333333,
40052,,-77.0,
40056,,-76.66666666666667,
40065,,-76.33333333333333,
40069,,-76.0,
40073,,-75.66666666666667,
40076,,-75.33333333333333,
40078,,-75.0,
40089,,-74.5,
40097,,-74.0,
40106,,-74.0,
40107,,-74.0,
40123,,-74.0,
40126,,-74.0,
40253,,-74.0,
40284,,-72.0,
40316,,-72.0,
40331,,-71.0,
40557,,-71.0,
40570,,-70.0,
40592,,-70.0,
40602,,-69.0,
40622,,-68.0,
40642,,-68.0,
40654,,-67.0,
40739,,-67.0,
40760,,-67.0,
40800,,-67.0,
40808,,-67.0,
40830,,-67.0,
40840,,-67.0,
40860,,-67.0,
40875,,-67.0,
40906,,-67.0,
41158,,-67.0,
41178,,-67.0,
41196,,-67.0,
41206,,-67.0,
41227,,-67.0,
41238,,-67.0,
41256,,-67.0,
41274,,-67.0,
41299,,-67.0,
41309,,-67.0,
41376,,-67.0,
41393,,-66.0,
41416,,-66.0,
41431,,-65.0,
41448,,-65.0,
41465,,-64.0,
41473,,-64.0,
41484,,-64.0,
41490,,-63.5,
41498,,-63.0,
41506,,-63.0,
41521,,-63.0,
41523,,-62.0,
41534,,-61.0,
41539,,-61.0,
41556,,-61.0,
41573,,-61.0,
41582,,-61.0,
41592,,-61.0,
41595,,-61.0,
41609,,-61.0,
41628,,-61.0,
41648,,-61.0,
41659,,-61.0,
41672,,-61.0,
41695,,-61.0,
41713,,-61.0,
41733,,-61.0,
41739,,-61.0,
41757,,-61.0,
41773,,-61.0,
41782,,-61.0,
41789,,-61.0,
41794,,-61.0,
41806,,-61.0,
41823,,-61.0,
41839,,-61.0,
41861,,-61.0,
41873,,-61.0,
41900,,-61.0,
41911,,-61.0,
41951,,-61.0,
41963,,-61.0,
41972,,-61.0,
41984,,-61.0,
42007,,-61.0,
42011,,-61.0,
42029,,-61.0,
42050,,-61.0,
42067,,-61.0,
42082,,-61.0,
42092,,-61.0,
42106,,-61.0,
42126,,-61.0,
42244,,-61.0,
42270,,-61.0,
42296,,-61.0,
42327,,-61.0,
42333,,-61.0,
42347,,-61.0,
42388,,-61.0,
42399,,-61.0,
42456,,-61.0,
42480,,-61.0,
42505,,-61.0,
42515,,-61.0,
42528,,-61.0,
42529,,-61.0,
42539,,-61.0,
42553,,-61.0,
42556,,-61.0,
42564,,-61.0,
42578,,-61.0,
42592,,-61.0,
42639,,-61.0,
42652,,-61.0,
42657,,-61.0,
42693,,-61.0,
42711,,-61.0,
42714,,-61.0,
42727,,-61.0,
42736,,-61.0,
42755,,-61.0,
42760,,-61.0,
42791,,-61.0,
42847,,-61.0,
42865,,-61.0,
42879,,-61.0,
42887,,-61.0,
42906,,-61.0,
42922,,-61.0,
43055,,-61.0,
43072,,-61.0,
43080,,-61.0,
43081,-88.0,-61.0,
43086,-87.66666666666667,-61.0,
43116,-87.33333333333333,-61.0,
43127,-87.0,-61.0,
43132,-86.0,-61.0,
43162,-85.0,-61.0,
43208,-82.0,-61.0,
43245,-82.0,-61.0,
43275,-82.0,-61.0,
43295,-82.0,-61.0,
43306,-82.0,-61.0,
43329,-82.0,-61.0,
43349,-82.0,-61.0,
43452,-82.0,-61.0,
43479,-82.0,-61.0,
43505,-82.0,-61.0,
43521,-82.0,-61.0,
43558,-82.0,-61.0,
43570,-82.0,-61.0,
43685,-82.0,-61.0,
43697,-82.0,-61.0,
43719,-82.0,-61.0,
43725,-82.0,-61.0,
43738,-82.0,-61.0,
43755,-82.0,-61.0,
43887,-82.0,-61.0,
43909,-82.0,-61.0,
43929,-82.0,-61.0,
43939,-82.0,-61.0,
44065,-82.0,-61.0,
44122,-82.0,-61.0,
44145,-82.0,-61.0,
44152,-82.0,-61.0,
44170,-82.0,-61.0,
44188,-82.0,-61.0,
46017,-82.0,-61.0,
46038,-82.0,-61.0,
46089,-82.0,-61.0,
46119,-82.0,-61.0,
46157,-82.0,-61.0,
47281,-82.0,-61.0,
47296,-82.0,-61.0,
47303,-82.0,-61.0,
47326,-82.0,-61.0,
47334,-82.0,-61.0,
47377,-82.0,-61.0,
47386,-82.0,-61.0,
47427,-82.0,-61.0,
47433,-82.0,-61.0,
47442,-82.0,-61.0,
47448,-82.0,-61.0,
47459,-82.0,-61.0,
47465,-82.0,-61.0,
47476,-82.0,-61.0,
47483,-82.0,-61.0,
47509,-82.0,-61.0,
47515,-82.0,-61.0,
47526,-82.0,-61.0,
47532,-82.0,-61.0,
47543,-82.0,-61.0,
47548,-82.0,-61.0,
47559,-82.0,-61.0,
47565,-82.0,-61.0,
47576,-82.0,-61.0,
48906,-82.0,-61.0,
48932,-82.0,-61.0,
48990,-82.0,-61.0,
49007,-82.0,-61.0,
49118,-82.0,-61.0,
49141,-82.0,-61.0,
49156,-82.0,-61.0,
49173,-82.0,-61.0,
49188,-82.0,-61.0,
49208,-82.0,-61.0,
49233,-82.0,-61.0,
49252,-82.0,-61.0,
49280,-82.0,-61.0,
49288,-82.0,-61.0,
49338,-82.0,-61.0,
49357,-82.0,-61.0,
49460,-82.0,-61.0,
49547,-82.0,-61.0,
49566,-82.0,-61.0,
49579,-82.0,-61.0,
49589,-82.0,-61.0,
49608,-82.0,-61.0,
49652,-82.0,-61.0,
49696,-82.0,-61.0,
49718,-82.0,-61.0,
49728,-82.0,-61.0,
49748,-82.0,-61.0,
49775,-82.0,-61.0,
49799,-82.0,-61.0,
49807,-82.0,-61.0,
49822,-82.0,-61.0,
49837,-82.0,-61.0,
49856,-82.0,-61.0,
49867,-82.0,-61.0,
49896,-82.0,-61.0,
49907,-82.0,-61.0,
49927,-82.0,-61.0,
49941,-82.0,-61.0,
49975,-82.0,-61.0,
50019,-82.0,-61.0,
50040,-82.0,-61.0,
50056,-82.0,-61.0,
50067,-82.0,-61.0,
50087,-82.0,-61.0,
50096,-82.0,-61.0,
50118,-82.0,-61.0,
50143,-82.0,-61.0,
50155,-82.0,-61.0,
50168,-82.0,-61.0,
50182,-82.0,-61.0,
50197,-82.0,-61.0,
50220,-82.0,-61.0,
50250,-82.0,-61.0,
50268,-82.0,-61.0,
50281,-82.0,-61.0,
50296,-82.0,-61.0,
50316,-82.0,-61.0,
50334,-82.0,-61.0,
50345,-82.0,-61.0,
50367,-82.0,-61.0,
50384,-82.0,-61.0,
50397,-82.0,-61.0,
50417,-82.0,-61.0,
50469,-82.0,-61.0,
50485,-82.0,-61.0,
50506,-82.0,-61.0,
50532,-82.0,-61.0,
50546,-82.0,-61.0,
50566,-82.0,-61.0,
50584,-82.0,-61.0,
50607,-82.0,-61.0,
50617,-82.0,-61.0,
50638,-82.0,-61.0,
50651,-82.0,-61.0,
50673,-82.0,-61.0,
50736,-82.0,-61.0,
51753,-82.0,-61.0,
51788,-83.0,-61.0,
51798,-84.0,-61.0,
51815,-85.0,-62.0,
51835,-86.0,-62.0,
51838,-86.5,-62.0,
51850,-87.0,-63.0,
51879,-87.5,-63.0,
51881,-88.0,-63.5,
51891,-89.0,-64.0,
51916,-90.0,-64.0,
51920,-91.0,-64.0,
51935,-92.0,-65.0,
51962,-93.0,-65.0,
51963,-93.66666666666667,-65.0,
51978,-94.33333333333333,-66.0,
51997,-95.0,-66.0,
52032,-98.0,-66.0,
52078,-100.0,-66.0,
52535,-100.0,-66.0,
52555,-100.0,-67.0,
52587,-100.0,-67.0,
52602,-100.0,-68.0,
55378,-100.0,-68.0,
55405,-100.0,-68.0,
55425,-100.0,-68.0,
55440,-100.0,-68.0,
55459,-100.0,-68.0,
55477,-100.0,-68.0,
55491,-100.0,-68.0,
55508,-100.0,-68.0,
55529,-100.0,-68.0,
55608,-100.0,-68.0,
55630,-100.0,-68.0,
55646,-100.0,-68.0,
55658,-100.0,-68.0,
55677,-100.0,-68.0,
55699,-100.0,-68.0,
55711,-100.0,-68.0,
55727,-100.0,-68.0,
55743,-100.0,-68.0,
55757,-100.0,-68.0,
55776,-100.0,-68.0,
55794,-100.0,-68.0,
55814,-100.0,-68.0,
55830,-100.0,-68.0,
55844,-100.0,-68.0,
55858,-100.0,-68.0,
55878,-100.0,-68.0,
55901,-100.0,-68.0,
55996,-100.0,-68.0,
56018,-100.0,-68.0,
56029,-100.0,-68.0,
56039,-100.0,-68.0,
56057,-100.0,-68.0,
56076,-100.0,-68.0,
56091,-100.0,-68.0,
56105,-100.0,-68.0,
56126,-100.0,-68.0,
56148,-100.0,-68.0,
56160,-100.0,-68.0,
56177,-100.0,-68.0,
56280,-100.0,-68.0,
56299,-100.0,-68.0,
56320,-100.0,-68.0,
56329,-100.0,-68.0,
56346,-100.0,-68.0,
56365,-100.0,-68.0,
56436,-100.0,-68.0,
56501,-100.0,-68.0,
56511,-100.0,-68.0,
60763,-100.0,-68.0,
60809,-99.0,-68.0,
60844,-97.0,-68.0,
60890,-94.0,-68.0,
60937,-92.0,-68.0,
60972,-89.0,-68.0,
60973,,-68.0,
64688,,-68.0,
64711,,-68.0,
64733,,-68.0,
64739,,-68.0,
64756,,-68.0,
64767,,-68.0,
64825,,-68.0,
64837,,-68.0,
64850,,-68.0,
64868,,-68.0,
64887,,-68.0,
64907,,-68.0,
64961,,-68.0,
64974,,-68.0,
64986,,-68.0,
65319,,-68.0,
65342,,-68.0,
65372,,-68.0,
65389,,-68.0,
65481,,-68.0,
65499,,-68.0,
65516,,-68.0,
65533,,-68.0,
65548,,-68.0,
65600,,-68.0,
65616,,-68.0,
65631,,-68.0,
65651,,-68.0,
65675,,-68.0,
65732,,-68.0,
65756,,-68.0,
65770,,-68.0,
65790,,-68.0,
65819,,-68.0,
65841,,-68.0,
65880,,-68.0,
65893,,-68.0,
65955,,-68.0,
65963,,-68.0,
65987,,-68.0,
66011,,-68.0,
66071,,-68.0,
66099,,-68.0,
66113,,-68.0,
66132,,-68.0,
66139,,-68.0,
66167,,-68.0,
66185,,-68.0,
66199,,-68.0,
66226,,-68.0,
66249,,-68.0,
66258,,-68.0,
66696,,-68.0,
66718,,-68.0,
66740,,-68.0,
66748,,-68.0,
66768,,-68.0,
66780,,-68.0,
66826,,-68.0,
66849,,-68.0,
66885,,-68.0,
66891,,-68.0,
66912,,-68.0,
66919,,-68.0,
66957,,-68.0,
66969,,-68.0,
66986,,-68.0,
66997,,-68.0,
67030,,-68.0,
68168,,-68.0,
68186,,-67.0,
68191,,-67.0,
68209,,-65.0,
68213,,-65.0,
68227,,-64.0,
68232,,-64.0,
68261,,-62.0,
68266,,-62.0,
68279,,-60.0,
68283,,-60.0,
68314,,-58.0,
68318,,-58.0,
68348,,-56.0,
68514,,-56.0,
68531,,-55.0,
68536,,-55.0,
68566,,-53.0,
68570,,-53.0,
68600,,-51.0,
68843,,-51.0,
68861,,-50.0,
68867,,-50.0,
68894,,-48.0,
68900,,-48.0,
68928,,-46.0,
68933,,-46.0,
68947,,-44.0,
68951,,-44.0,
68980,,-42.0,
75756,,-42.0,
75841,,-42.0,
75866,,-42.0,
75873,,-42.0,
75892,,-42.0,
75906,,-42.0,
75927,,-42.0,
75943,,-42.0,
75957,,-42.0,
75986,,-42.0,
75996,,-42.0,
76010,,-42.0,
76030,,-42.0,
76060,,-42.0,
76073,,-42.0,
76099,,-42.0,
76111,,-42.0,
76127,,-42.0,
76142,,-42.0,
76158,,-42.0,
76169,,-42.0,
76187,,-42.0,
76205,,-42.0,
