,A9ZBEA4T2FNZ3,ADYYCYVBZE1V
60438,85.33333333333333,-39.0
60444,86.0,-39.0
60447,86.33333333333333,-39.0
60463,86.66666666666667,-39.0
60466,87.0,-39.0
60475,88.0,-39.0
60476,88.5,-39.0
60483,89.0,-39.0
60495,89.5,-39.0
60497,90.0,-39.0
60504,90.33333333333333,-39.0
60508,90.66666666666667,-39.0
60518,91.0,-38.666666666666664
60520,91.33333333333333,-38.333333333333336
60533,91.66666666666667,-38.0
60538,92.0,-37.333333333333336
60557,93.0,-36.666666666666664
60560,94.0,-36.0
60564,94.5,-36.0
60581,95.0,-36.0
60590,95.5,-36.0
60601,96.0,-36.0
60607,96.25,-36.0
60612,96.5,-36.0
60614,96.75,-36.0
60624,97.0,-36.0
60637,97.0,-36.0
60647,97.0,-36.0
60657,97.0,-36.0
60674,97.0,-36.0
60684,97.0,-36.0
60697,97.0,-36.0
60706,97.0,-36.0
60719,97.0,-36.0
60744,97.0,-36.0
60756,97.0,-36.0
60758,97.0,-36.0
60774,97.0,-35.0
60778,97.0,-34.75
60793,97.0,-34.5
60797,97.0,-34.25
60806,97.0,-34.0
60809,97.0,-33.666666666666664
60825,97.0,-33.333333333333336
60828,97.0,-33.0
60838,97.0,-33.0
60850,97.0,-33.0
60869,97.0,-33.0
60878,97.0,-33.0
60888,97.0,-33.0
60899,97.0,-33.0
60917,97.0,-33.0
60927,97.0,-33.0
60933,97.0,-33.0
60941,97.0,-32.666666666666664
60951,97.0,-32.333333333333336
60960,97.0,-32.0
60967,97.0,-31.666666666666668
60972,97.0,-31.333333333333332
60982,97.0,-31.0
60984,97.0,-31.0
60988,97.0,-31.0
61003,97.0,-31.0
61012,97.0,-31.0
61021,97.0,-31.0
61026,97.0,-31.0
61040,97.0,-31.0
61048,97.0,-31.0
61051,97.0,-31.0
61060,97.0,-31.0
61066,97.0,-31.0
61081,97.0,-31.0
61091,97.0,-31.0
61101,97.0,-31.0
61106,97.0,-31.0
61122,97.0,-31.0
61128,97.0,-31.0
61131,97.0,-31.0
61138,97.0,-30.5
61158,97.0,-30.0
61160,97.0,-30.0
61186,97.0,-30.0
61187,97.0,-30.0
61198,97.0,-28.0
61277,97.0,-28.0
61308,97.0,-27.0
61332,97.0,-27.0
61357,97.0,-25.0
61453,97.0,-25.0
61478,97.0,-24.0
61505,97.0,-23.0
61531,97.0,-21.0
61607,97.0,-21.0
61678,97.0,-18.0
61780,97.0,-18.0
61811,97.0,-17.0
61848,97.0,-15.0
61927,97.0,-15.0
61954,97.0,-14.0
62007,97.0,-11.0
62098,97.0,-11.0
62128,97.0,-10.0
62153,97.0,-9.0
62230,97.0,-9.0
62273,97.0,-7.0
62378,97.0,-7.0
62407,97.0,-5.0
62430,97.0,-4.0
62458,97.0,-3.0
62525,97.0,-3.0
62554,97.0,-2.0
62580,97.0,-1.0
62606,97.0,1.0
62701,97.0,1.0
62755,97.0,4.0
62806,97.0,5.0
62855,97.0,5.0
62884,97.0,6.0
62897,97.0,7.0
62923,97.0,9.0
63028,97.0,9.0
63057,97.0,10.0
63112,97.0,12.0
63176,97.0,12.0
63205,97.0,13.0
63257,97.0,16.0
63324,97.0,16.0
63351,97.0,17.0
63376,97.0,19.0
63482,97.0,19.0
63509,97.0,20.0
63538,97.0,21.0
63629,97.0,21.0
63655,97.0,22.0
63681,97.0,24.0
63774,97.0,24.0
63803,97.0,25.0
63826,97.0,26.0
63867,97.0,28.0
63975,97.0,28.0
64001,97.0,29.0
64030,97.0,31.0
64259,97.0,31.0
64285,97.0,32.0
64340,97.0,33.0
64401,97.0,33.0
64432,97.0,34.0
64462,97.0,35.0
64531,97.0,37.0
64583,97.0,37.0
64602,97.0,39.0
64626,97.0,40.0
64652,97.0,41.0
64732,97.0,41.0
64761,97.0,42.0
64783,97.0,43.0
64814,97.0,44.0
64905,97.0,44.0
64938,97.0,46.0
64959,97.0,47.0
65053,97.0,47.0
65082,97.0,48.0
65106,97.0,49.0
65211,97.0,49.0
65237,97.0,50.0
65252,97.0,52.0
65277,97.0,53.0
65408,97.0,53.0
65438,97.0,54.0
65809,97.0,54.0
65836,97.0,55.0
65860,97.0,56.0
65955,97.0,56.0
65982,97.0,57.0
66008,97.0,58.0
66034,97.0,60.0
66061,97.0,61.0
66285,97.0,61.0
66313,97.0,62.0
66353,97.0,64.0
66432,97.0,64.0
66461,97.0,65.0
66485,97.0,67.0
66511,97.0,68.0
66580,97.0,68.0
66606,97.0,69.0
66632,97.0,71.0
66659,97.0,72.0
66754,97.0,72.0
66781,97.0,73.0
66810,97.0,74.0
66858,97.0,76.0
66911,97.0,76.0
66939,97.0,77.0
66981,97.0,79.0
67057,97.0,79.0
67087,97.0,80.0
67138,97.0,83.0
67163,97.0,85.0
67232,97.0,85.0
67258,97.0,86.0
67283,97.0,88.0
67310,97.0,89.0
67388,97.0,89.0
67404,97.0,90.0
67430,97.0,91.0
67475,97.0,92.0
67562,97.0,92.0
67591,97.0,93.0
67632,97.0,95.0
68292,97.0,95.0
68357,97.0,94.0
68423,97.0,94.0
68466,97.0,93.0
68490,97.0,93.0
68511,97.0,92.0
68640,97.0,92.0
68667,97.0,91.0
68681,97.0,90.0
68710,97.0,88.0
68785,97.0,88.0
68817,97.0,87.0
68846,97.0,86.0
68868,97.0,85.0
68934,97.0,85.0
68964,97.0,84.0
68986,97.0,82.0
69013,97.0,81.0
69041,97.0,79.0
69106,97.0,79.0
69134,97.0,78.0
69160,97.0,76.0
69187,97.0,75.0
69216,97.0,74.0
69266,97.0,74.0
69294,97.0,73.0
69307,97.0,72.0
69334,97.0,70.0
69362,97.0,69.0
69439,97.0,69.0
69469,97.0,68.0
69493,97.0,66.0
69519,97.0,65.0
69586,97.0,65.0
69614,97.0,64.0
69638,97.0,63.0
69664,97.0,61.0
69690,97.0,60.0
70488,97.0,60.0
70523,97.0,59.0
70574,97.0,57.0
70596,97.0,55.0
70637,97.0,53.0
70719,97.0,53.0
70769,97.0,51.0
70810,97.0,49.0
70887,97.0,49.0
70914,97.0,48.0
70965,97.0,46.0
71060,97.0,46.0
71089,97.0,45.0
71142,97.0,43.0
71266,97.0,43.0
71291,97.0,42.0
71399,97.0,42.0
71422,97.0,41.0
71619,97.0,41.0
71648,97.0,42.0
71661,97.0,43.0
71690,97.0,45.0
71722,97.0,46.0
71740,97.0,48.0
71888,97.0,48.0
71915,97.0,49.0
71947,97.0,51.0
71976,97.0,52.0
71995,97.0,53.0
72025,97.0,54.0
72392,97.0,54.0
72420,97.0,55.0
72453,97.0,55.0
72472,97.0,57.0
72496,97.0,58.0
72514,97.0,60.0
72700,97.0,60.0
72715,97.0,61.0
72737,97.0,63.0
72766,97.0,65.0
72789,97.0,66.0
72825,97.0,68.0
72845,97.0,69.0
72965,97.0,69.0
73042,97.0,72.0
73067,97.0,73.0
73093,97.0,75.0
73119,97.0,77.0
73135,97.0,78.0
73162,97.0,80.0
73344,97.0,80.0
73362,97.0,81.0
73387,97.0,82.0
73412,97.0,84.0
73439,97.0,86.0
73465,97.0,88.0
73492,97.0,89.0
73520,97.0,91.0
73718,97.0,91.0
73745,97.0,92.0
73770,97.0,93.0
73786,97.0,95.0
73813,97.0,96.0
73839,97.0,98.0
73865,97.0,100.0
75567,97.0,100.0
75595,97.0,99.0
75646,97.0,96.0
75674,97.0,95.0
75699,97.0,94.0
75715,97.0,92.0
75742,97.0,91.0
75872,97.0,91.0
75900,97.0,89.0
75923,97.0,88.0
75940,97.0,86.0
75966,97.0,85.0
76071,97.0,85.0
76100,97.0,84.0
76124,97.0,83.0
76139,97.0,81.0
76166,97.0,80.0
76244,97.0,80.0
76272,97.0,79.0
76297,97.0,77.0
76323,97.0,75.0
76350,97.0,74.0
76418,97.0,74.0
76447,97.0,73.0
76497,97.0,70.0
76565,97.0,70.0
76593,97.0,69.0
76618,97.0,68.0
76644,97.0,67.0
76670,97.0,65.0
76749,97.0,65.0
76775,97.0,64.0
76790,97.0,62.0
76817,97.0,61.0
76922,97.0,61.0
76951,97.0,60.0
76990,97.0,57.0
77069,97.0,57.0
77098,97.0,56.0
77148,97.0,53.0
77175,97.0,52.0
77243,97.0,52.0
77271,97.0,51.0
77323,97.0,48.0
77400,97.0,48.0
77417,97.0,47.0
77442,97.0,46.0
77469,97.0,44.0
77547,97.0,44.0
77575,97.0,43.0
77626,97.0,41.0
77641,97.0,40.0
77694,97.0,40.0
77721,97.0,39.0
77799,97.0,36.0
77999,97.0,36.0
78027,97.0,35.0
78067,97.0,32.0
78097,97.0,31.0
78172,97.0,31.0
78202,97.0,30.0
78252,97.0,27.0
78320,97.0,27.0
78347,97.0,26.0
78372,97.0,25.0
78398,97.0,24.0
78425,97.0,23.0
78477,97.0,23.0
78492,97.0,22.0
78518,97.0,21.0
78545,97.0,19.0
78572,97.0,18.0
78651,97.0,18.0
78678,97.0,17.0
78692,97.0,16.0
78746,97.0,14.0
78797,97.0,14.0
78827,97.0,13.0
78876,97.0,11.0
78904,97.0,10.0
78949,97.0,10.0
78973,97.0,9.0
79023,97.0,6.0
79102,97.0,6.0
79118,97.0,4.0
79144,97.0,3.0
79171,97.0,1.0
79197,97.0,-1.0
79249,97.0,-1.0
79276,97.0,-2.0
79302,97.0,-4.0
79328,97.0,-5.0
79401,97.0,-5.0
79424,97.0,-6.0
79462,97.0,-7.0
79529,97.0,-8.0
79568,97.0,-8.0
79601,97.0,-9.0
79651,97.0,-11.0
79708,97.0,-11.0
79755,97.0,-12.0
79795,97.0,-15.0
79874,97.0,-15.0
79902,97.0,-16.0
79956,97.0,-17.0
80030,97.0,-17.0
80052,97.0,-18.0
80082,97.0,-19.0
80159,97.0,-20.0
80242,97.0,-21.0
80380,97.0,-21.0
80398,97.0,-22.0
80410,97.0,-22.5
80421,97.0,-23.0
80433,97.0,-24.0
80452,97.0,-25.0
80490,97.0,-25.0
80497,97.0,-25.0
80514,97.0,-25.0
80526,97.0,-25.0
80540,97.0,-26.0
80554,97.0,-27.0
80580,97.0,-28.0
80586,97.0,-29.0
80606,97.0,-30.0
80608,97.0,-30.5
80622,97.0,-31.0
80627,97.0,-31.0
80648,97.0,-31.0
80677,97.0,-32.0
80717,97.0,-33.0
80742,97.0,-33.0
80752,97.0,-34.0
80786,97.0,-35.0
80821,97.0,-35.0
80849,97.0,-36.0
80872,97.0,-38.0
80901,97.0,-40.0
80926,97.0,-41.0
80954,97.0,-42.0
81031,97.0,-42.0
81047,97.0,-44.0
81073,97.0,-45.0
81099,97.0,-47.0
81126,97.0,-48.0
81204,97.0,-48.0
81233,97.0,-49.0
81246,97.0,-50.0
81272,97.0,-52.0
81378,97.0,-52.0
81406,97.0,-53.0
81432,97.0,-55.0
81457,97.0,-56.0
81474,97.0,-58.0
81803,97.0,-58.0
81829,97.0,-58.0
81859,97.0,-58.0
81874,97.0,-58.0
81909,97.0,-58.0
81921,97.0,-58.0
81959,97.0,-58.0
81980,97.0,-58.0
82018,97.0,-58.0
82046,97.0,-58.0
82100,97.0,-58.0
82121,97.0,-58.0
82173,97.0,-58.0
82197,97.0,-58.0
82228,97.0,-58.0
82241,97.0,-57.0
82255,97.0,-56.0
82258,97.0,-55.5
82280,97.0,-55.0
82307,97.0,-53.0
82308,97.0,-52.0
82322,97.0,-51.0
82327,97.0,-50.5
82348,97.0,-50.0
82375,97.0,-48.0
82383,97.0,-48.0
82407,97.0,-48.0
82449,97.0,-48.0
82475,97.0,-48.0
82522,97.0,-48.0
82527,97.0,-47.666666666666664
82546,97.0,-47.333333333333336
82549,97.0,-47.0
82574,97.0,-45.0
82591,97.0,-44.5
82600,97.0,-44.0
82611,97.0,-43.0
82627,97.0,-42.0
82645,97.0,-41.0
82653,97.0,-40.0
82664,97.0,-39.5
82679,97.0,-39.0
82707,97.0,-38.0
82711,97.0,-38.0
82734,97.0,-38.0
