,AHLS6AZ1VTNH7,A3UTSRN8QLKWE,A21V0SPZ59EEA
69453,-100.0,-64.0,
69464,-100.0,-63.0,
69473,-100.0,-63.0,
69480,-100.0,-62.0,
69488,-100.0,-61.0,
69494,-100.0,-60.0,
69505,-100.0,-60.0,
69511,-100.0,-59.0,
69521,-100.0,-59.0,
69531,-100.0,-58.0,
69540,-100.0,-58.0,
69546,-100.0,-57.0,
69556,-100.0,-57.0,
69563,-100.0,-56.0,
69573,-100.0,-56.0,
69583,-100.0,-55.0,
69594,-100.0,-55.0,
69601,-100.0,-54.0,
69609,-100.0,-54.0,
69619,-100.0,-53.0,
69630,-100.0,-53.0,
69637,-100.0,-52.0,
69650,-100.0,-52.0,
69659,-100.0,-51.0,
69666,-100.0,-51.0,
69678,-100.0,-50.0,
69686,-100.0,-50.0,
69694,-100.0,-49.0,
69699,-100.0,-48.0,
69705,-100.0,-48.0,
69711,-100.0,-47.0,
69718,-100.0,-47.0,
69729,-100.0,-46.0,
69737,-100.0,-46.0,
69746,-100.0,-45.0,
69754,-100.0,-45.0,
69763,-100.0,-43.0,
69774,-100.0,-43.0,
69782,-100.0,-42.0,
69791,-100.0,-42.0,
69798,-100.0,-41.0,
69807,-100.0,-41.0,
69817,-100.0,-40.0,
69845,-100.0,-40.0,
69851,-100.0,-39.0,
69860,-100.0,-39.0,
69870,-100.0,-38.0,
69881,-100.0,-38.0,
69887,-100.0,-37.0,
69896,-100.0,-37.0,
69904,-100.0,-36.0,
69913,-100.0,-36.0,
69916,-100.0,-35.0,
69926,-100.0,-35.0,
69934,-100.0,-34.0,
69943,-100.0,-34.0,
69953,-100.0,-33.0,
69963,-100.0,-33.0,
69968,-100.0,-32.0,
69979,-100.0,-32.0,
69985,-100.0,-31.0,
69993,-100.0,-31.0,
70002,-100.0,-30.0,
70012,-100.0,-30.0,
70019,-100.0,-29.0,
70029,-100.0,-29.0,
70039,-100.0,-28.0,
70048,-100.0,-28.0,
70055,-100.0,-27.0,
70065,-100.0,-27.0,
70070,-100.0,-26.0,
70079,-100.0,-26.0,
70094,-100.0,-25.0,
70104,-100.0,-25.0,
70111,-100.0,-24.0,
70130,-100.0,-22.0,
70144,-100.0,-21.0,
70152,-100.0,-21.0,
70163,-100.0,-20.0,
70172,-100.0,-20.0,
70180,-100.0,-19.0,
70188,-100.0,-19.0,
70198,-100.0,-18.0,
70207,-100.0,-18.0,
70214,-100.0,-16.0,
70223,-100.0,-16.0,
70232,-100.0,-15.0,
70241,-100.0,-15.0,
70250,-100.0,-14.0,
70259,-100.0,-14.0,
70267,-100.0,-13.0,
70276,-100.0,-13.0,
70286,-100.0,-12.0,
70297,-100.0,-12.0,
70307,-100.0,-11.0,
70316,-100.0,-11.0,
70322,-100.0,-10.0,
70331,-100.0,-10.0,
70342,-100.0,-9.0,
70350,-100.0,-8.0,
70356,-100.0,-8.0,
70365,-100.0,-7.0,
70373,-100.0,-7.0,
70380,-100.0,-6.0,
70388,-100.0,-6.0,
70395,-100.0,-5.0,
70399,-100.0,-5.0,
70408,-100.0,-5.0,
70415,-100.0,-4.0,
70420,-100.0,-4.0,
70427,-100.0,-4.0,
70433,-100.0,-3.0,
70441,-100.0,-3.0,
70450,-100.0,-2.0,
70451,-100.0,-2.0,
70459,-100.0,-2.0,
70467,-100.0,-1.0,
70469,-100.0,-1.0,
70474,-100.0,-1.0,
70484,-100.0,0.0,
70486,-100.0,0.0,
70494,-100.0,0.0,
70504,-100.0,0.5,
70505,-100.0,1.0,
70514,-100.0,1.0,
70522,-100.0,2.0,
70532,-100.0,2.0,
70538,-100.0,2.5,
70539,-100.0,3.0,
70548,-100.0,4.0,
70556,-100.0,4.5,
70561,-100.0,5.0,
70569,-100.0,5.0,
70580,-100.0,5.5,
70585,-100.0,6.0,
70593,-100.0,6.0,
70598,-100.0,6.5,
70599,-100.0,7.0,
70610,-100.0,7.0,
70617,-100.0,7.5,
70620,-100.0,8.0,
70630,-100.0,8.0,
70633,-100.0,8.5,
70638,-100.0,9.0,
70647,-100.0,9.0,
70650,-100.0,9.5,
70656,-100.0,10.0,
70664,-100.0,10.0,
70667,-100.0,10.5,
70674,-100.0,11.0,
70682,-100.0,11.0,
70686,-100.0,11.5,
70691,-100.0,12.0,
70699,-100.0,12.0,
70707,-100.0,13.0,
70717,-100.0,13.0,
70721,-100.0,13.5,
70724,-100.0,14.0,
70737,-100.0,14.0,
70744,-100.0,15.0,
70756,-100.0,15.0,
70757,-100.0,15.5,
70765,-100.0,16.0,
70773,-100.0,16.0,
70774,-100.0,16.5,
70778,-100.0,17.0,
70789,-100.0,17.0,
70794,-100.0,18.0,
70803,-100.0,18.0,
70812,-100.0,19.0,
70815,-100.0,19.0,
70821,-100.0,19.0,
70831,-100.0,20.0,
70833,-100.0,20.0,
70841,-100.0,20.0,
70850,-100.0,20.5,
70852,-100.0,21.0,
70861,-100.0,21.0,
70867,-100.0,22.0,
70878,-100.0,22.0,
70883,-100.0,23.0,
70886,-100.0,23.0,
70894,-100.0,23.0,
70899,-100.0,24.0,
70902,-100.0,24.0,
70908,-100.0,24.0,
70918,-100.0,25.0,
70920,-100.0,25.0,
70927,-100.0,25.0,
70935,-100.0,26.0,
70937,-100.0,26.0,
70943,-100.0,26.0,
70952,-100.0,27.0,
70955,-100.0,27.0,
70962,-100.0,27.0,
70969,-100.0,29.0,
70973,-100.0,29.0,
70975,-100.0,29.0,
70976,-100.0,30.0,
70984,-100.0,30.0,
70991,-100.0,30.5,
70995,-100.0,31.0,
71004,-100.0,31.0,
71013,-100.0,32.0,
71015,-100.0,32.0,
71022,-100.0,32.0,
71031,-100.0,33.0,
71043,-100.0,33.0,
71048,-100.0,34.0,
71058,-100.0,34.0,
71063,-100.0,35.0,
71071,-100.0,35.0,
71082,-100.0,36.0,
71092,-100.0,36.0,
71100,-100.0,37.0,
71109,-100.0,37.0,
71118,-100.0,38.0,
71128,-100.0,38.0,
71138,-100.0,39.0,
71148,-100.0,39.0,
71156,-100.0,40.0,
71166,-100.0,40.0,
71172,-100.0,41.0,
71183,-100.0,41.0,
71193,-100.0,42.0,
71202,-100.0,43.0,
71212,-100.0,44.0,
71222,-100.0,44.0,
71234,-100.0,45.0,
71243,-100.0,45.0,
71249,-100.0,46.0,
71261,-100.0,46.0,
71268,-100.0,47.0,
71278,-100.0,47.0,
71286,-100.0,48.0,
71294,-100.0,48.0,
71302,-100.0,49.0,
71312,-100.0,49.0,
71324,-100.0,50.0,
71336,-100.0,50.0,
71345,-100.0,51.0,
71354,-100.0,51.0,
71361,-100.0,52.0,
71371,-100.0,52.0,
71378,-100.0,53.0,
71389,-100.0,53.0,
71396,-100.0,54.0,
71402,-100.0,54.0,
71404,-100.0,55.0,
71415,-100.0,55.0,
71427,-100.0,56.0,
71437,-100.0,56.0,
71444,-100.0,57.0,
71452,-100.0,57.0,
71464,-100.0,58.0,
71474,-100.0,58.0,
71480,-100.0,59.0,
71489,-100.0,59.0,
71497,-100.0,60.0,
71508,-100.0,60.0,
71514,-100.0,61.0,
71525,-100.0,61.0,
71532,-100.0,62.0,
71540,-100.0,62.0,
71551,-100.0,63.0,
71560,-100.0,63.0,
71570,-100.0,64.0,
71578,-100.0,64.0,
71588,-100.0,65.0,
71599,-100.0,65.0,
71604,-100.0,66.0,
71613,-100.0,66.0,
71619,-100.0,67.0,
71625,-100.0,67.0,
71628,-100.0,68.0,
71639,-100.0,68.0,
71648,-100.0,69.0,
71658,-100.0,69.0,
71667,-100.0,70.0,
71677,-100.0,70.0,
71686,-100.0,71.0,
71694,-100.0,71.0,
71704,-100.0,72.0,
71713,-100.0,72.0,
71719,-100.0,73.0,
71730,-100.0,73.0,
71739,-100.0,74.0,
71748,-100.0,74.0,
71754,-100.0,75.0,
71763,-100.0,75.0,
71773,-100.0,76.0,
71782,-100.0,76.0,
71790,-100.0,77.0,
71799,-100.0,77.0,
71805,-100.0,78.0,
71816,-100.0,78.0,
71824,-100.0,79.0,
71834,-100.0,80.0,
71842,-100.0,80.0,
71847,-100.0,81.0,
71854,-100.0,81.0,
71860,-100.0,82.0,
71871,-100.0,82.0,
71879,-100.0,83.0,
71890,-100.0,83.0,
71899,-100.0,84.0,
71908,-100.0,84.0,
71916,-100.0,85.0,
71924,-100.0,85.0,
71931,-100.0,86.0,
71941,-100.0,86.0,
71949,-100.0,87.0,
71957,-100.0,87.0,
71966,-100.0,88.0,
71977,-100.0,88.0,
71983,-100.0,89.0,
71994,-100.0,89.0,
72020,-100.0,91.0,
72028,-100.0,91.0,
72050,-100.0,92.0,
72067,-100.0,93.0,
72099,-100.0,93.0,
72114,-100.0,94.0,
72123,-100.0,94.0,
72137,-100.0,95.0,
72145,-100.0,95.0,
72159,-100.0,96.0,
72201,-100.0,96.0,
72221,-100.0,97.0,
72231,-100.0,97.0,
72245,-100.0,98.0,
72252,-100.0,98.0,
72261,-100.0,100.0,
72262,-100.0,,
80193,-100.0,,
80219,-98.0,,
80243,-97.0,,
80268,-95.0,,
80293,-93.0,,
80318,-92.0,,
80343,-90.0,,
80395,-86.0,,
80420,-85.0,,
80444,-83.0,,
80470,-81.0,,
80494,-80.0,,
80519,-78.0,,
80544,-76.0,,
80569,-75.0,,
80594,-73.0,,
80619,-71.0,,
80644,-70.0,,
80670,-68.0,,
80695,-66.0,,
80720,-65.0,,
80745,-63.0,,
80770,-61.0,,
80795,-60.0,,
80820,-58.0,,
80845,-56.0,,
80870,-55.0,,
80895,-53.0,,
80920,-51.0,,
80946,-50.0,,
80971,-48.0,,
80996,-46.0,,
81022,-45.0,,
81046,-43.0,,
81072,-41.0,,
81096,-40.0,,
81122,-38.0,,
81146,-36.0,,
81171,-35.0,,
81197,-33.0,,
81221,-31.0,,
81247,-30.0,,
81298,-26.0,,
81322,-25.0,,
81347,-23.0,,
81372,-21.0,,
81397,-20.0,,
81422,-18.0,,
81447,-16.0,,
81472,-15.0,,
81497,-13.0,,
81523,-11.0,,
81547,-10.0,,
81572,-8.0,,
81597,-6.0,,
81648,-3.0,,
81673,-1.0,,
81699,0.0,,
81723,2.0,,
81749,4.0,,
81773,5.0,,
81798,7.0,,
81823,9.0,,
81848,10.0,,
81875,12.0,,
82551,12.0,,
82577,14.0,,
82601,15.0,,
82627,17.0,,
82652,19.0,,
82676,20.0,,
82702,22.0,,
82726,24.0,,
82752,25.0,,
82777,27.0,,
82802,29.0,,
82827,30.0,,
82852,32.0,,
82877,34.0,,
82902,35.0,,
82927,37.0,,
82952,39.0,,
82977,40.0,,
83003,42.0,,
83028,44.0,,
83052,45.0,,
83078,47.0,,
83103,49.0,,
83129,51.0,,
83153,52.0,,
83178,54.0,,
83204,56.0,,
83228,57.0,,
83253,59.0,,
83278,61.0,,
83303,62.0,,
83329,64.0,,
83354,66.0,,
83379,67.0,,
83404,69.0,,
83429,71.0,,
83454,72.0,,
83479,74.0,,
83505,76.0,,
83530,77.0,,
83554,79.0,,
83580,81.0,,
83604,82.0,,
83630,84.0,,
83654,86.0,,
83680,87.0,,
83757,87.0,,
83775,87.0,,
83780,87.0,,
83807,87.0,,
83817,87.0,,
83840,87.0,,
83844,87.0,,
83857,87.0,,
83861,87.0,,
83875,87.0,,
83878,87.0,,
83890,87.0,,
84208,87.0,,
84224,87.0,,
84228,87.0,,
84241,87.0,,
84246,87.0,,
84257,87.0,,
84262,87.0,,
84274,87.0,,
84277,87.0,,
84290,87.0,,
84293,87.0,,
84307,87.0,,
84375,87.0,,
84390,87.0,,
