,A3BPENSX5EVJ2,AWE3BMS01D2F9
82393,,2.0
82404,,1.0
82411,,0.0
82415,,-0.5
82432,,-1.0
82435,,-1.3333333333333333
82445,,-1.6666666666666665
82447,,-2.0
82464,,-3.0
82473,,-3.5
82480,,-4.0
82481,,-4.5
82499,,-5.0
82518,,-6.0
82523,,-7.0
82542,,-8.0
82553,,-9.0
82557,,-10.0
82572,,-10.5
82575,,-11.0
82586,,-11.5
82593,,-12.0
82595,,-12.5
82611,,-13.0
82619,,-13.5
82631,,-14.0
82637,,-14.5
82646,,-15.0
82654,,-15.5
82663,,-16.0
82674,,-16.5
82680,,-17.0
82694,,-17.5
82698,,-18.0
82712,,-19.0
82719,,-20.0
82725,,-20.5
82736,,-21.0
82743,,-21.5
82750,,-22.0
82759,,-23.0
82774,,-24.0
82777,,-24.5
82794,,-25.0
82810,,-26.0
82812,,-26.5
82826,,-27.0
82830,,-27.5
82846,,-28.0
82862,,-30.0
82881,,-31.0
82897,,-32.0
82915,,-33.0
82933,,-34.0
82949,,-35.0
82959,,-36.0
82974,,-37.0
82992,,-38.0
83012,,-40.0
83037,,-41.0
83062,,-42.0
83085,,-43.0
83098,,-44.0
83115,,-44.0
83132,,-45.0
83167,,-47.0
83186,,-47.0
83195,,-48.0
83215,,-48.0
83227,,-49.0
83250,,-49.0
83262,,-50.0
83280,,-50.0
83297,,-51.0
83315,,-52.0
83330,,-53.0
83350,,-54.0
83366,,-55.0
83373,,-56.0
83390,,-57.0
83408,,-58.0
83429,,-58.0
83442,,-59.0
83461,,-61.0
83477,,-62.0
