,AF50K5H2FJWW0,A4WBW7FVQASZE,AQ3KPKZ6UIYPF
12713,-70.0,-100.0,-100.0
12743,-72.0,-100.0,-100.0
12749,-72.0,-100.0,-100.0
12778,-74.0,-100.0,-100.0
12784,-74.0,-100.0,-100.0
12785,-74.0,-100.0,-100.0
12813,-76.0,-100.0,-100.0
12818,-76.0,-100.0,-100.0
12826,-76.5,-100.0,-100.0
12831,-77.0,-100.0,-100.0
12836,-77.0,-100.0,-100.0
12840,-77.5,-100.0,-100.0
12849,-78.0,-100.0,-100.0
12889,-78.0,-100.0,-100.0
13017,-78.0,-100.0,-100.0
13036,-78.0,-100.0,-100.0
13121,-78.0,-100.0,-100.0
13122,-78.0,-100.0,-100.0
13141,-78.0,-100.0,-100.0
13186,-78.0,-100.0,-100.0
13200,-78.0,-100.0,-100.0
13214,-78.0,-100.0,-100.0
13232,-78.0,-100.0,-100.0
13248,-78.0,-100.0,-100.0
13270,-78.0,-100.0,-100.0
13277,-78.0,-100.0,-100.0
13280,-78.0,-100.0,-100.0
13308,-78.0,-100.0,-100.0
13315,-78.0,-100.0,-100.0
13331,-78.0,-100.0,-100.0
13349,-78.0,-100.0,-100.0
13376,-78.0,-100.0,-100.0
13397,-78.0,-100.0,-100.0
13416,-78.0,-100.0,-100.0
13430,-78.0,-100.0,-100.0
13445,-78.0,-100.0,-100.0
13460,-78.0,-100.0,-100.0
13472,-78.0,-100.0,-100.0
13484,-78.0,-100.0,-100.0
13491,-78.0,-100.0,-100.0
13509,-78.0,-100.0,-100.0
13527,-78.0,-100.0,-100.0
13528,-78.0,-100.0,-100.0
13549,-78.0,-100.0,-100.0
13551,-78.0,-100.0,-100.0
13563,-78.0,-100.0,-100.0
13576,-78.0,-100.0,-100.0
13591,-78.0,-100.0,-100.0
13593,-78.0,-100.0,-100.0
13595,-78.0,-100.0,-100.0
13612,-79.0,-100.0,-100.0
13615,-79.0,-100.0,-100.0
13618,-79.0,-100.0,-100.0
13622,-79.5,-100.0,-100.0
13628,-80.0,-100.0,-100.0
13632,-80.0,-100.0,-100.0
13663,-82.0,-100.0,-100.0
13667,-82.0,-100.0,-100.0
13669,-82.0,-100.0,-100.0
13673,-82.33333333333333,-100.0,-100.0
