Time(sec),2VKACLXTMOQWO
254.0,-59.39583333333333
255.0,-57.9547619047619
256.0,-58.99396825396825
257.0,-61.0
258.0,-61.0
259.0,-61.0
260.0,-61.0
261.0,-59.36194805194806
262.0,-58.75476190476191
263.0,-57.72099867724868
264.0,-57.6875
265.0,-57.9375
266.0,-58.0
267.0,-57.28571428571429
268.0,-56.458928571428565
269.0,-55.34964285714286
270.0,-48.355086580086585
271.0,-39.575
272.0,-38.32612554112554
273.0,-39.461333333333336
274.0,-39.52964285714286
275.0,-40.425714285714285
276.0,-44.18392857142857
277.0,-45.83958333333333
278.0,-46.0
279.0,-46.0
280.0,-46.0
281.0,-46.0
282.0,-46.0
283.0,-46.0
284.0,-42.757777777777775
285.0,-42.651666666666664
286.0,-39.99860347985348
287.0,-40.706111111111106
288.0,-42.0609126984127
289.0,-41.43541666666667
290.0,-37.982321428571424
291.0,-37.611352813852804
292.0,-37.09112310075545
293.0,-39.65890692640693
294.0,-50.92642857142857
295.0,-57.48715213879689
296.0,-63.5725677830941
297.0,-66.02930303030303
298.0,-67.876
299.0,-67.0682251082251
300.0,-67.75358467023173
301.0,-67.86444444444444
302.0,-68.0
303.0,-68.0
304.0,-66.9112043049543
305.0,-66.65694444444445
306.0,-64.03539957849168
307.0,-71.29344155844156
308.0,-71.81634615384615
309.0,-72.20933911174296
310.0,-76.10892857142856
311.0,-76.29166666666666
312.0,-76.29166666666666
313.0,-76.29166666666666
314.0,-76.29166666666666
315.0,-76.29166666666666
316.0,-77.477297008547
317.0,-90.66725829725831
318.0,-97.51343253968254
319.0,-100.0
320.0,-100.0
321.0,-100.0
322.0,-100.0
323.0,-100.0
324.0,-100.0
325.0,-98.81666666666666
326.0,-98.35499999999999
327.0,-99.0
328.0,-95.94
329.0,-95.73692307692305
330.0,-91.10231962481961
331.0,-88.61000000000003
332.0,-89.08380952380952
333.0,-92.60499999999999
334.0,-97.9768253968254
335.0,-98.93166666666666
336.0,-99.0467857142857
337.0,-93.84785714285717
338.0,-93.2857142857143
339.0,-94.09976190476192
340.0,-98.51625
341.0,-96.89142138532763
342.0,-98.8059375
343.0,-96.3544580256345
344.0,-99.62872053872056
345.0,-98.50878787878786
346.0,-99.51194444444445
347.0,-98.43553571428572
348.0,-90.54393939393938
349.0,-89.44533333333334
350.0,-89.44494047619048
351.0,-89.0
352.0,-88.72564102564102
353.0,-85.37342857142858
354.0,-88.6875
355.0,-89.0
356.0,-89.0
357.0,-89.0
358.0,-89.0
359.0,-90.45333333333335
360.0,-96.98333333333333
361.0,-90.18766233766233
362.0,-83.7139880952381
363.0,-86.29402777777779
364.0,-86.57440476190477
365.0,-89.0
366.0,-89.13333333333334
367.0,-92.68593939393939
368.0,-93.0
369.0,-93.0
370.0,-93.0
371.0,-93.0
372.0,-93.0
373.0,-93.0
374.0,-93.0
375.0,-93.0
376.0,-91.87731481481481
377.0,-87.17612103174602
378.0,-78.74041666666668
379.0,-73.45882936507937
380.0,-72.15208333333334
381.0,-71.61531249999999
382.0,-69.60571428571428
383.0,-64.49503246753247
384.0,-70.07000000000001
385.0,-87.99444444444444
386.0,-90.42083333333332
387.0,-90.65
388.0,-90.84285714285714
389.0,-91.0
390.0,-91.0
391.0,-91.0
392.0,-91.0
393.0,-91.0
394.0,-91.0
395.0,-91.0
396.0,-91.0
397.0,-91.0
398.0,-90.22833333333332
399.0,-89.38777777777777
400.0,-88.16428571428571
401.0,-83.91666666666667
402.0,-81.32142857142857
403.0,-79.80499999999999
404.0,-84.0
405.0,-84.0
406.0,-82.995
407.0,-81.44111111111111
408.0,-79.51
409.0,-79.1875
410.0,-81.0375
411.0,-81.5
412.0,-81.5
413.0,-80.13000000000001
414.0,-78.27916666666667
415.0,-76.30865384615386
416.0,-77.12234848484849
417.0,-75.4602380952381
418.0,-74.58624999999999
419.0,-74.5628549382716
420.0,-78.40559523809523
421.0,-80.0
422.0,-80.0
423.0,-80.0
424.0,-80.0
425.0,-79.96666666666667
426.0,-78.03361111111111
427.0,-77.91880952380953
428.0,-78.49583333333332
429.0,-78.39666666666668
430.0,-78.46458333333334
431.0,-77.41928571428573
432.0,-72.54058333333333
433.0,-74.85087606837607
434.0,-84.5875
435.0,-84.675
436.0,-84.0952619047619
437.0,-85.325
438.0,-86.0
439.0,-83.485
440.0,-90.3290476190476
441.0,-91.56327380952382
442.0,-91.49023809523808
443.0,-93.46541666666667
444.0,-97.20333333333333
445.0,-99.77083333333334
446.0,-100.0
447.0,-97.84345238095237
448.0,-99.9
449.0,-100.0
450.0,-100.0
451.0,-100.0
452.0,-100.0
453.0,-100.0
454.0,-100.0
455.0,-100.0
456.0,-100.0
457.0,-100.0
458.0,-98.51875
459.0,-89.29916666666666
460.0,-86.25160714285714
461.0,-91.05333333333334
462.0,-93.24916666666667
463.0,-93.99781746031746
464.0,-96.64238095238095
465.0,-98.34414814814815
466.0,-98.08250000000001
467.0,-99.73333333333332
468.0,-99.9
469.0,-100.0
470.0,-99.05416666666666
471.0,-98.0875
472.0,-99.85
473.0,-99.88333333333333
474.0,-99.62975
475.0,-99.905
476.0,-99.95
477.0,-99.975
478.0,-99.76666666666667
479.0,-97.83916666666667
480.0,-99.9125
481.0,-100.0
482.0,-99.32777777777777
483.0,-98.39500000000001
484.0,-98.9388888888889
485.0,-99.8702380952381
486.0,-100.0
487.0,-100.0
488.0,-100.0
489.0,-100.0
490.0,-100.0
491.0,-97.9057619047619
492.0,-97.14434523809524
493.0,-95.0
494.0,-96.28166666666667
495.0,-99.08623737373738
496.0,-99.66719696969697
497.0,-99.83571428571429
498.0,-99.72222222222223
499.0,-99.85
500.0,-99.64166666666668
501.0,-99.8725
502.0,-99.88333333333334
503.0,-99.68244047619046
504.0,-100.0
505.0,-99.92999999999999
506.0,-97.78208333333335
507.0,-99.01654761904761
508.0,-99.96428571428571
509.0,-100.0
510.0,-99.75777777777778
511.0,-99.85
512.0,-100.0
513.0,-100.0
514.0,-97.69069444444445
515.0,-98.18733333333333
516.0,-98.51666666666668
517.0,-99.96666666666667
518.0,-99.4
519.0,-100.0
520.0,-100.0
521.0,-100.0
522.0,-100.0
523.0,-98.83666666666666
524.0,-98.19333333333333
525.0,-98.53571428571429
526.0,-97.79583333333333
527.0,-97.98166666666665
528.0,-100.0
529.0,-99.52125
530.0,-99.7385119047619
531.0,-99.79833333333332
532.0,-100.0
533.0,-100.0
534.0,-100.0
535.0,-100.0
536.0,-100.0
537.0,-100.0
538.0,-100.0
539.0,-100.0
540.0,-100.0
541.0,-100.0
542.0,-99.68869047619049
543.0,-94.6225
544.0,-95.65
545.0,-93.89277777777777
546.0,-94.7125
547.0,-96.73916666666666
548.0,-98.975
549.0,-99.0
550.0,-99.0
551.0,-99.0
552.0,-99.0
553.0,-97.73333333333333
554.0,-95.28125
555.0,-95.9
556.0,-95.35916666666665
557.0,-93.95055555555557
558.0,-93.29190476190476
559.0,-93.44690476190476
560.0,-94.28444444444445
561.0,-94.71666666666667
562.0,-95.0
563.0,-95.0
564.0,-95.0
565.0,-95.0
566.0,-94.43222222222224
567.0,-93.34583333333333
568.0,-93.625
569.0,-90.17428571428572
570.0,-86.46666666666667
571.0,-84.09416666666667
572.0,-84.80722222222224
573.0,-84.29166666666667
574.0,-84.68333333333334
575.0,-91.33958333333334
576.0,-94.0
577.0,-94.0
578.0,-94.0
579.0,-94.0
580.0,-94.0
581.0,-94.0
582.0,-94.0
583.0,-94.0
584.0,-92.7875
585.0,-92.50166666666667
586.0,-93.0
587.0,-91.59196428571428
588.0,-84.49416666666667
589.0,-82.10166666666666
590.0,-80.64027777777777
591.0,-79.31166666666667
592.0,-78.8375
593.0,-76.55625
594.0,-73.94702380952381
595.0,-72.4
596.0,-72.15642857142856
597.0,-69.19333333333333
598.0,-68.53333333333333
599.0,-64.79452380952381
600.0,-61.795952380952386
601.0,-58.42999999999999
602.0,-57.43571428571429
603.0,-59.882297979797976
604.0,-61.95
605.0,-60.625
606.0,-61.28666666666667
607.0,-62.81428571428571
608.0,-65.0
609.0,-63.591666666666676
610.0,-60.28916666666667
611.0,-58.82444444444444
612.0,-65.34166666666667
613.0,-76.15
614.0,-78.0
615.0,-78.0
616.0,-78.0
617.0,-78.0
618.0,-78.0
619.0,-78.0
620.0,-78.0
621.0,-78.0
622.0,-78.0
623.0,-78.0
624.0,-74.51583333333335
625.0,-73.55833333333332
626.0,-74.5142361111111
627.0,-73.83666666666667
628.0,-71.01785714285714
629.0,-66.225
630.0,-64.43839285714286
631.0,-64.79249999999999
632.0,-61.69375
633.0,-60.8
634.0,-61.0
635.0,-61.0
636.0,-61.0
637.0,-61.0
638.0,-61.0
639.0,-64.65
640.0,-66.88
641.0,-66.68541666666667
642.0,-67.0
643.0,-67.0
644.0,-67.0
645.0,-67.0
646.0,-67.0
647.0,-67.0
648.0,-67.0
649.0,-67.0
650.0,-67.0
651.0,-67.0
652.0,-63.7
653.0,-61.103571428571435
654.0,-63.67857142857143
655.0,-62.301190476190484
656.0,-59.7588888888889
657.0,-59.01583333333333
658.0,-58.15
659.0,-57.50833333333334
660.0,-54.741666666666674
661.0,-52.282500000000006
662.0,-52.09690476190476
663.0,-50.88952380952381
664.0,-51.64666666666667
665.0,-50.7125
666.0,-55.75
667.0,-57.5
668.0,-57.5
669.0,-57.5
670.0,-57.5
671.0,-57.5
672.0,-57.38333333333334
673.0,-55.09166666666666
674.0,-55.86666666666666
675.0,-54.89166666666667
676.0,-52.0875
677.0,-52.64
678.0,-48.82749999999999
679.0,-47.849999999999994
680.0,-49.57083333333333
681.0,-47.27333333333333
682.0,-41.98833333333334
683.0,-37.68452380952381
684.0,-40.170833333333334
685.0,-50.93333333333334
686.0,-51.0
687.0,-51.0
688.0,-51.0
689.0,-51.0
690.0,-51.0
691.0,-50.88333333333333
692.0,-49.79166666666667
693.0,-48.69166666666666
694.0,-47.42916666666666
695.0,-45.8901388888889
696.0,-47.082499999999996
697.0,-49.5
698.0,-49.5
699.0,-49.5
700.0,-49.2
701.0,-48.36666666666666
702.0,-48.0
703.0,-48.0
704.0,-48.0
705.0,-48.0
706.0,-48.0
